"","Acinonyx jubatus","Addax nasomaculatus","Aepyceros melampus","Antidorcas marsupialis","Aonyx cinereus","Apodemus sylvaticus","Bos taurus","Callithrix geoffroyi","Callithrix jacchus","Canis lupus familiaris","Capreolus capreolus","Cavia porcellus","Cephalorhynchus commersonii","Ceratotherium simum simum","Cheirogaleus medius","Chlorocebus aethiops sabaeus","Choloepus didactylus","Choloepus hoffmanni","Chrysocyon brachyurus","Connochaetes taurinus albojubatus","Crocuta crocuta","Cryptomys hottentotus","Daubentonia madagascariensis","Delphinapterus leucas","Delphinus delphis","Diceros bicornis","Didelphis virginiana","Elephas maximus","Enhydra lutris","Equus africanus somaliensis","Equus caballus","Equus grevyi","Equus quagga","Eudorcas thomsonii","Eulemur albifrons","Eulemur collaris","Eulemur coronatus","Eulemur flavifrons","Eulemur fulvus","Eulemur macaco","Eulemur mongoz","Eulemur rubriventer","Eulemur rufus","Eulemur sanfordi","Felis catus","Galago moholi","Gazella leptoceros","Giraffa camelopardalis","Globicephala macrorhynchus","Gorilla gorilla","Hapalemur griseus","Heterocephalus glaber","Hippotragus equinus","Hippotragus niger","Homo sapiens","Hystrix cristata","Kobus megaceros","Lagenorhynchus obliquidens","Lemur catta","Litocranius walleri","Loris tardigradus","Loxodonta africana","Lynx rufus","Macaca mulatta","Macropus agilis","Macropus fuliginosus","Macropus giganteus","Macropus robustus","Macropus rufogriseus","Macropus rufus","Marmota flaviventris","Microcebus murinus","Mirza zaza","Muntiacus muntjak vaginalis","Mus musculus","Mustela putorius furo","Nanger dama","Nanger granti","Nanger soemmerringii","Nycticebus coucang","Nycticebus pygmaeus","Odobenus rosmarus divergens","Okapia johnstoni","Orcinus orca","Ornithorhynchus anatinus","Orycteropus afer","Oryctolagus cuniculus","Otolemur crassicaudatus","Ovis aries","Pagophilus groenlandicus","Pan troglodytes","Panthera leo nubica","Panthera tigris","Perodicticus potto","Phascolarctos cinereus","Phoca vitulina","Phocoena phocoena","Pongo pygmaeus","Procavia capensis","Propithecus coquereli","Propithecus diadema","Propithecus tattersalli","Puma concolor","Rattus norvegicus","Rhinoceros unicornis","Steno bredanensis","Sus scrofa domesticus","Sus scrofa minusculus","Tachyglossus aculeatus","Taurotragus oryx","Tragelaphus angasii","Tragelaphus eurycerus","Tragelaphus imberbis","Tragelaphus spekii","Tragelaphus strepsiceros","Trichechus manatus","Tursiops truncatus","Ursus americanus","Varecia rubra","Varecia variegata","Vicugna pacos","Vombatus ursinus","Vulpes vulpes","Zalophus californianus"
"Acinonyx jubatus",1,0.545785363492698,0.515055299021287,0.536254182223947,0.616718915859887,0.373640445493385,0.483979999802911,0.52345267642584,0.485414761157072,0.648579937728736,0.504270709528418,0.384855041151125,0.488417715598135,0.566900009763723,0.411256480034581,0.571760868042794,0.340550920773819,0.409257163500545,0.636611661977402,0.516568682870872,0.681614983228385,0.27062216328497,0.522837053467298,0.502367949770477,0.546834925734049,0.49274012122587,0.303041905113926,0.446565391676981,0.572117573961508,0.557830525218277,0.532262219416877,0.573164285140419,0.540607043402695,0.481721458191606,0.399687448202165,0.534362109911912,0.498985838686646,0.508010461239473,0.504585321606599,0.510273939413106,0.541824239975029,0.530523689702578,0.503629842264319,0.501793079453013,0.855724427709586,0.461036331116489,0.536514250465298,0.518508433965553,0.512830428409223,0.535153650093975,0.46076190944924,0.363333832659849,0.544210578153943,0.529877762327266,0.526220879580164,0.493032416128274,0.562480254761326,0.532194192230414,0.456267577095,0.549981462262753,0.411155502612117,0.4589963717399,0.829000744747505,0.557064715799852,0.296895197455685,0.306663484267812,0.29815038248266,0.281933946004514,0.259267153319938,0.293730171809769,0.509213983014428,0.49206380996442,0.452067385069582,0.489330235080089,0.411880591324029,0.596681111915008,0.564779795757223,0.525450617987424,0.529507177016971,0.367605126050331,0.306151121308453,0.604262917425306,0.535314012931793,0.509086975304439,0.258895032011129,0.429115520790685,0.31570471879171,0.471547036259999,0.508330130363767,0.540690876718986,0.537816959749,0.829582233460683,0.855954607892039,0.458132843942862,0.294814678131932,0.613847642471493,0.53179083958354,0.548399044802247,0.381597576898712,0.50815746838868,0.503060904005661,0.488320877277008,0.851372352240201,0.413928577256858,0.554164343345987,0.532601586223326,0.553297470872308,0.555409750686087,0.223648108265588,0.544693139171627,0.531149697502717,0.554246111358169,0.567917001729772,0.54062722061934,0.539392919417737,0.461159715164614,0.533874181479328,0.613733316147833,0.474203286068915,0.444099878137123,0.541209118759306,0.306052336746929,0.616968069888471,0.58818308965915
"Addax nasomaculatus",0.545785363492698,1,0.733107222085265,0.779484576637038,0.56294192023518,0.386295456289716,0.670333308107616,0.548588842137487,0.510032147885531,0.560003845791821,0.673088684432698,0.451962097985928,0.591288398955991,0.583682060044866,0.487277190032979,0.588643802914874,0.412885160305697,0.430994585239135,0.503438748291856,0.80314403393835,0.542308091894285,0.351112513946337,0.530956406573748,0.596453781185381,0.564077437084251,0.561086112731726,0.390208221545879,0.482786003211994,0.528448609598965,0.586571019009927,0.572470264284057,0.582086211575924,0.580352745573492,0.716278904771302,0.486734979068429,0.582352849578204,0.5556936158223,0.583640182904143,0.581555749701964,0.579447105436266,0.566726713230666,0.566736373615562,0.5826807847988,0.570827952394649,0.547524014826619,0.503380628468633,0.77053066285187,0.710068636861683,0.582422819737783,0.534535783047541,0.534654414691745,0.432794080385203,0.854469861410186,0.870380364068601,0.514108386536544,0.501585529791515,0.70563584571843,0.602633241369405,0.528427396348298,0.769087987145767,0.483557670643235,0.473048287754996,0.549532097667095,0.601921704638624,0.362761296496069,0.3524357005096,0.337030595588537,0.349183987902335,0.307785510936483,0.344267244629556,0.494510896163511,0.532351647931343,0.532395964994545,0.684501124971844,0.416799811891001,0.551671599261139,0.766644566626236,0.748196817583902,0.757021927891176,0.436174628900313,0.367088328865386,0.500699394193222,0.705394609151744,0.549696121528956,0.324681012303596,0.476334887916399,0.388183671820356,0.509295014514418,0.767298755412582,0.485946070443242,0.539699814827624,0.53618143575867,0.571125897076762,0.483585030862965,0.34775820046208,0.498491103501593,0.597383461221325,0.56432606424191,0.442112073894565,0.569460839621009,0.575968521511087,0.567277098472466,0.579713838711906,0.418057559780772,0.558459165155063,0.611709799620759,0.606606801565225,0.60272386816581,0.293685165944869,0.739202644349532,0.747037812859407,0.736220105202386,0.738535641925825,0.739054580164113,0.740725757632659,0.468725011193881,0.570938186033369,0.545828221251463,0.57171225713043,0.552249796941789,0.576009449587958,0.385488255769743,0.554514879501709,0.506457128770401
"Aepyceros melampus",0.515055299021287,0.733107222085265,0.999999999999999,0.726936794727567,0.548874539662927,0.413040774572925,0.740535088883836,0.556730933741463,0.538566738149625,0.545008104738285,0.711700079883105,0.469445782849878,0.579521214662063,0.566935313572782,0.4944217215723,0.592525540528411,0.40679040736455,0.453818894171691,0.501857321238057,0.759078398680539,0.531347721022589,0.358551297516626,0.525285932970471,0.587300479632654,0.556514246172894,0.553349472551905,0.395149929953073,0.468179841608705,0.552400411908243,0.572003475228389,0.591924656699794,0.561286202910989,0.593090895811421,0.705644169876372,0.476818181988928,0.577009665568883,0.565585065574925,0.554532331073946,0.578108385492866,0.568314692633749,0.567824479018813,0.551611912906151,0.576161805316048,0.566492911897975,0.53441672165929,0.511989069416895,0.731273145652778,0.63317215650303,0.57479202101288,0.532476947906519,0.527242406873181,0.454720247153574,0.729784192415351,0.753273553615645,0.520629802690224,0.480882329733125,0.716729916802516,0.590592945934635,0.516601322354621,0.728102876681781,0.474680630313021,0.473055018826897,0.550797252847819,0.585928731033605,0.375075937461308,0.361692522281798,0.350921510617074,0.364207214574856,0.325486359259852,0.358925994594367,0.528171830348988,0.550227921113051,0.517774772063318,0.682262289818379,0.422483290955244,0.553264237466112,0.722753809465227,0.73617238178816,0.750709032851798,0.446351012424246,0.374756920455653,0.492604676561703,0.664854289490097,0.540496693391055,0.318760406966145,0.472807635257148,0.380184250765498,0.52881539463782,0.773171491154484,0.503456326311922,0.549632253334844,0.517614412841631,0.529925834146968,0.494047177316424,0.367018419533812,0.499872492164908,0.598832161242771,0.554075789893236,0.435476129112279,0.554289194564882,0.556733209487232,0.547910421633238,0.567140190074123,0.450299858245059,0.550383917358837,0.581994906334932,0.630952961642682,0.624062973971048,0.293757803569037,0.686855640477215,0.731867105582442,0.718396222956035,0.702850728388673,0.729790594039129,0.730091702812202,0.485272361547786,0.56358596762509,0.539551634071366,0.543144667079604,0.536923941968678,0.572544354937467,0.376315870772135,0.529043643015065,0.514802419267366
"Antidorcas marsupialis",0.536254182223947,0.779484576637038,0.726936794727567,1,0.566253577590953,0.385463402630349,0.67801677646839,0.57298139586244,0.516611404708321,0.569631175857886,0.683357078217354,0.473250934355871,0.627494335467003,0.574870605602535,0.516737476589151,0.600818931938791,0.442199640123061,0.453338283309692,0.505770035890797,0.781076431374038,0.552766027415601,0.37124598445354,0.527307802169865,0.616810336585006,0.565673423126833,0.559473245845117,0.401028920348705,0.480754651888287,0.532174706470946,0.597865788780348,0.57225416536458,0.584995818486991,0.597730269851758,0.785773076508301,0.516834745034452,0.604350074953658,0.559815241573366,0.610564784836033,0.600785054851697,0.602273203420505,0.591846064628312,0.59771979533366,0.603463119843145,0.604244611357119,0.541201991929816,0.498638600359071,0.83782852478661,0.730351854089532,0.579332193374853,0.53169453810878,0.559125752285364,0.453249198883865,0.791760949985076,0.782979251640193,0.503207172514999,0.49862819469961,0.712789274868198,0.629555635095549,0.561654835462184,0.855901989388133,0.518683473178755,0.473623625582315,0.54495792607408,0.607115391047484,0.378707687496759,0.36109395147353,0.340958535378386,0.37306155590829,0.314583844370438,0.349741113166115,0.492719178369649,0.542502677921624,0.567106719321537,0.691631256214527,0.410423270926822,0.556225943109632,0.822452865958084,0.805058458998866,0.829108485727505,0.463415628411419,0.393849443131385,0.492319483973531,0.739999686574383,0.529443699951364,0.340271616382997,0.49901462167695,0.411396460579234,0.523396159409068,0.773222836262892,0.485422948548204,0.547559198929745,0.519863020396959,0.558873573529364,0.487146680101541,0.355197207544498,0.488643228974287,0.630113793470045,0.594037671889902,0.473105075117417,0.592618088915047,0.597578597040076,0.600445879027512,0.584451952327072,0.416189402150959,0.55788398195764,0.623927470327795,0.651628846027464,0.643385470040442,0.310409235458092,0.7489957218713,0.739638411709517,0.723450546874295,0.709213416517672,0.72666614805352,0.72410377806058,0.471816426638112,0.567808630925981,0.551964621356082,0.596127799925867,0.571916316504543,0.596131605895112,0.407333992698212,0.56396336691214,0.504096493191513
"Aonyx cinereus",0.616718915859887,0.56294192023518,0.548874539662927,0.566253577590953,0.999999999999999,0.411342989567011,0.546393324796156,0.561722396128819,0.548405167876037,0.666501600550956,0.558195846991741,0.438226692002104,0.548726003772552,0.574541088419651,0.48847081950312,0.592178765322395,0.390745527815788,0.441485990248656,0.611233116865339,0.571821568412004,0.620579475721287,0.349969650089035,0.545495851801779,0.557411430270428,0.583689184756252,0.542121166990448,0.351249113831251,0.51710330002384,0.839929800984568,0.571282381855036,0.579779782731946,0.580972697281632,0.561954985246601,0.568919270769936,0.466515104942862,0.580910988258905,0.560190486447723,0.563544050558894,0.573601600147664,0.580014075428783,0.571828360646618,0.568279801348006,0.572600813543718,0.563488964561841,0.643457476067554,0.51735403025192,0.572539056384928,0.541048763211036,0.586258674866961,0.577671639538101,0.542774891762755,0.438435738438846,0.570120090395407,0.578278775808622,0.573397834996687,0.518557453043197,0.570220068807923,0.584830211992675,0.510314634653544,0.561713347933753,0.459650944215133,0.520501046442242,0.63104018743194,0.611662048654296,0.330891917127067,0.319323367878607,0.30957260239104,0.327088733647357,0.290102989651949,0.318446555966302,0.541427236780776,0.556359043875861,0.512885529181988,0.556992312773018,0.453235929850626,0.745674661579221,0.58953127048734,0.581251429176867,0.570494150954556,0.413406461511451,0.353330312507894,0.644181933379616,0.546167458751367,0.584501238737032,0.288991828434843,0.496278298430736,0.383294706361491,0.525287812015443,0.565335747560931,0.634184415825671,0.568021664786879,0.637765769788863,0.631597612073656,0.484100956605562,0.335622538689514,0.644569563113116,0.553670362333855,0.577935923297317,0.411529337079011,0.567492365964846,0.572963531635911,0.573364854348327,0.645446996808894,0.454293187967778,0.547646318877383,0.568697964695398,0.575911367091841,0.575237870344152,0.264941549527456,0.566001117935613,0.574326767356361,0.577402077116049,0.582221638410696,0.572121128371102,0.578369291066931,0.489816791887525,0.59017022785123,0.661581008154501,0.538348454583958,0.52326808750862,0.55025901036389,0.345742815200043,0.634240580370783,0.657864867367411
"Apodemus sylvaticus",0.373640445493385,0.386295456289716,0.413040774572925,0.385463402630349,0.411342989567011,1,0.424932115129585,0.436469120185232,0.433391158821599,0.397867124319817,0.401977744304576,0.373767993421594,0.413291429487273,0.416791724425512,0.409737664708817,0.443827532223247,0.328296157877871,0.364855567907692,0.389645639738922,0.389065999743573,0.376063583340638,0.315262552681839,0.427483276431942,0.40071819485215,0.396884902261332,0.424925874302826,0.302706078633855,0.426308171120845,0.432794792726575,0.400296872247963,0.427391424401685,0.399012527700433,0.415462943324879,0.420974642203323,0.36231627346098,0.436601573233169,0.461202105434653,0.427403150684865,0.432055316586649,0.438662266650089,0.432680294313421,0.414726983234616,0.439922665735899,0.427697124095521,0.408735396635792,0.436498689226479,0.402831892655592,0.358687057238341,0.41168989205513,0.431231943538782,0.435676135761562,0.399642244432594,0.398598481461965,0.406230527820614,0.432470796701797,0.409883167451922,0.389003078576394,0.413233377425679,0.413486162557284,0.378374457106284,0.3827626652699,0.434649321885757,0.402495452961199,0.464005445042127,0.314334615058983,0.299124900315318,0.298266267871245,0.309128208132373,0.293164501192532,0.297175654985889,0.451623315108683,0.471363206375359,0.409438517099212,0.39114528195705,0.634798382342309,0.400075841791163,0.406971482044909,0.417564687792306,0.417403333160708,0.350887636626582,0.317739837844286,0.38481994437332,0.370860494844383,0.41518617068629,0.270152389944276,0.376039304454623,0.314241676721321,0.415218279030267,0.404831761110042,0.409626539797545,0.421094905714876,0.395498821727998,0.392342187146697,0.421759385196968,0.296234133852795,0.4078188889818,0.403975922463903,0.424876949684709,0.351372593007608,0.42321181309822,0.429309307991026,0.420387670967118,0.407001298122159,0.597418431991098,0.408323603298234,0.387654510352206,0.419859752065714,0.433077552666235,0.259397599710831,0.387951994541726,0.399479241647485,0.411237247230504,0.406729569366892,0.404190318812699,0.408481279322282,0.394731652510677,0.407912665435631,0.406217445290132,0.417292421612404,0.425520926145742,0.386467208741605,0.307074923752988,0.385765417541355,0.401351048324047
"Bos taurus",0.483979999802911,0.670333308107616,0.740535088883836,0.67801677646839,0.546393324796156,0.424932115129585,1,0.565712877542254,0.537334265234672,0.54447913616071,0.742727192873745,0.52599877362191,0.598348137196594,0.560702259349681,0.557111300430527,0.591425224071984,0.43861011422964,0.472696958287682,0.483034808296584,0.720825288751764,0.518199398271321,0.389349306647663,0.542530447038444,0.588945579495509,0.547080106651004,0.567817112572222,0.449517923295347,0.480287870784806,0.567267811654778,0.580133665876071,0.608972347155593,0.562954824443742,0.620213184632764,0.681067602937214,0.517191428458266,0.579603589314492,0.587074688969761,0.582444858840668,0.609749575438822,0.589103556690188,0.575660832893687,0.554504876003005,0.605039569312943,0.595213847370783,0.51309327473665,0.519026038272173,0.697514648926892,0.63135797276753,0.571476419778354,0.531203335883036,0.555770263250404,0.478876826810858,0.663551501774472,0.704536745610772,0.531659095965051,0.488549267872624,0.672904591635034,0.583868670043421,0.551141589087912,0.665258405244134,0.4857240792104,0.489279136081114,0.525489988867134,0.60559306645786,0.416805502844252,0.387084450430295,0.374010770349237,0.40489943117516,0.352343426088445,0.38217111700307,0.52508086861426,0.577056488291575,0.548754116672101,0.686203726296015,0.456464622016098,0.550638400451297,0.657388417601325,0.694552865235761,0.713411377640771,0.505162920387135,0.420917565240519,0.493181865592359,0.659908924338179,0.549429765860669,0.342811553433779,0.499081857442969,0.421596407557074,0.553530230121779,0.78066614270611,0.525140932176534,0.540851646608979,0.494731060906339,0.499912214824335,0.509686641368377,0.375001848585228,0.500602070520915,0.597492852397936,0.565524821023855,0.443911511355086,0.553144209050208,0.566238562043062,0.552769622228897,0.551096110679474,0.473073667084686,0.541969687879256,0.564183063892043,0.634846653088182,0.624690607616092,0.315298123776751,0.677298782314522,0.739304231846908,0.70476578262148,0.682300597710576,0.725746027078583,0.711140943694007,0.472767807978346,0.560133581812274,0.529811639183759,0.565468902855736,0.577242407039931,0.565383297201427,0.405677582349669,0.515434540955941,0.52185902422395
"Callithrix geoffroyi",0.52345267642584,0.548588842137487,0.556730933741463,0.57298139586244,0.561722396128819,0.436469120185232,0.565712877542254,0.999999999999999,0.914616572640533,0.580131389733072,0.552417346880983,0.482971125010276,0.578093103491461,0.567418468059143,0.545544538712067,0.691214214980298,0.444187190160853,0.502498196828839,0.524576022634355,0.551376177835876,0.552188957511694,0.376419386093461,0.580944344554066,0.554476769558238,0.531623412481034,0.54949989431089,0.410375149293563,0.501433776821382,0.558619863998411,0.580409150898033,0.585488252848952,0.56957168454843,0.595502175688318,0.544822125237089,0.517781220945799,0.611303203435607,0.606509231600852,0.617126929238482,0.622392649525904,0.61533996830172,0.597060575687063,0.604890398920573,0.624653196328387,0.614003397609672,0.552414677049893,0.575399620053988,0.561453603933517,0.520430493377288,0.54833832637738,0.651233989269588,0.581738055806456,0.488138168145326,0.570700703322767,0.567952291826849,0.621446767950482,0.5150201115095,0.553886622339147,0.56056463119962,0.564325050266389,0.549572535879402,0.517310848935518,0.496626771985711,0.551264923157558,0.699571379678995,0.37806963933751,0.363964080677215,0.349830299653972,0.369664063671303,0.311194605289199,0.350213979399575,0.551235804451087,0.59348130658066,0.562877048146043,0.558279085046439,0.483467378337407,0.557944234126357,0.555668897267769,0.547420781041652,0.56560629609752,0.481304773723912,0.408167050789971,0.527602172822405,0.541355369416343,0.527384398772995,0.33874467260897,0.51260447900711,0.412688702966646,0.564946758858467,0.572881723646711,0.509009370410432,0.654731912301922,0.524710560690529,0.532126389316958,0.543010196948466,0.361061901358677,0.521763980268231,0.57598719369604,0.668370994110668,0.448047829207723,0.587383861917184,0.604990721779034,0.593406104476017,0.562823781376305,0.498409316935032,0.543322195012953,0.543074068419186,0.603211399101246,0.601686074172506,0.308310449816391,0.551478683351241,0.568853672159473,0.555366386663916,0.555763545746412,0.550506020640382,0.542838111117102,0.501240466292801,0.544456609897864,0.536648044455163,0.591338242712562,0.576762336517412,0.531604059267851,0.410161060261073,0.56701681233163,0.536329915752959
"Callithrix jacchus",0.485414761157072,0.510032147885531,0.538566738149625,0.516611404708321,0.548405167876037,0.433391158821599,0.537334265234672,0.914616572640533,1,0.547444854737001,0.521479507314788,0.440669678009528,0.526540849677654,0.549291427307204,0.507042876890755,0.647921258608685,0.39896475583787,0.471294020488421,0.500797090933381,0.527482026616402,0.507502333595269,0.374469036645706,0.571447315359101,0.521586841470198,0.513731629638387,0.552847398573267,0.351095176481966,0.515316123629553,0.557373295495542,0.537117366955399,0.574157390036183,0.532439708217281,0.549841825431637,0.541972923886269,0.462742497212168,0.579590307333246,0.600545940882003,0.560896858134046,0.573219281044355,0.586041403219297,0.569188377604896,0.564373516420653,0.578433768074299,0.562902393746772,0.529811775735721,0.584518853347715,0.52149537943325,0.459428460974271,0.556702977883644,0.634020261166074,0.549751827926191,0.480767707305732,0.518695623187836,0.543137086826395,0.652107986322538,0.498176775468608,0.528041545462138,0.526610390030812,0.512333086240883,0.500945594045134,0.470410724683765,0.51602108941342,0.513845820425523,0.668000214355766,0.329840020498343,0.327951025747825,0.314907696229325,0.324794563046641,0.290247279731103,0.319246478310546,0.568072680356621,0.600356151754675,0.517750833869136,0.528933776592687,0.504476985631206,0.51349747330817,0.519349133496384,0.533515472260144,0.525607491774916,0.424474176883381,0.364995252306686,0.519549124848419,0.486523245311475,0.54407872606852,0.295128613679059,0.486887488339642,0.367891438389106,0.53951877956063,0.537250566280113,0.542302182330767,0.626420704521886,0.516919391442893,0.498703356494655,0.525858195822361,0.341247036340327,0.540341189745976,0.519674359772209,0.625800901849902,0.39880173781951,0.56828493436511,0.564745335515745,0.56287116920836,0.522763216211544,0.500315739154481,0.5268616303757,0.493425759096404,0.563730748622512,0.565636292501355,0.281920154310398,0.49665685372054,0.540462735974868,0.526022983988467,0.531143654333385,0.512963082561573,0.522498794193997,0.508220591970098,0.5400885402461,0.531404047868933,0.535101172234562,0.535189586346729,0.492702676092425,0.355676137740241,0.51909113864368,0.541463961994944
"Canis lupus familiaris",0.648579937728736,0.560003845791821,0.545008104738285,0.569631175857886,0.666501600550956,0.397867124319817,0.54447913616071,0.580131389733072,0.547444854737001,1,0.542977106813052,0.417842532430995,0.531425132544682,0.603607476800167,0.465640375466078,0.622811594378668,0.363459480175226,0.434254760167493,0.868287321590351,0.566046812362889,0.645485225011798,0.308280151222881,0.555875474000931,0.550456856880653,0.562825984183752,0.552617845214488,0.354608622074925,0.489821490925036,0.625204043201788,0.607558531288497,0.599019128170923,0.605351971070776,0.597381105626961,0.527777008732844,0.448873204458867,0.578633371314058,0.54688350049379,0.551256934553949,0.562124142597473,0.554185581527688,0.582040963957846,0.56902461074249,0.561013060363673,0.552253020714809,0.662136781689203,0.485594368144053,0.561952187770361,0.541387280004452,0.557659746140608,0.59303017191435,0.503365485292131,0.410344827343845,0.556202187593815,0.553394605648891,0.574224108736945,0.50574072986776,0.570832360145159,0.566513225049686,0.493677611049736,0.562413139404595,0.428147304266111,0.490997122989565,0.64922931617215,0.613012008798066,0.34009413404978,0.337220077700697,0.327702122721097,0.322308449150071,0.289405491650426,0.328517074612479,0.542080732048622,0.539063383917242,0.483761073977564,0.530883655589651,0.436418904656635,0.632990552228466,0.571043787736527,0.545209217379941,0.553314039543037,0.401091923098943,0.332469812922159,0.631158432951986,0.560958230317302,0.551683789914518,0.278652881011024,0.459104519377495,0.353471533181633,0.492712966095184,0.55766626822753,0.596079045184569,0.585998903580856,0.634664058804494,0.647654674799934,0.481981361137366,0.32583030287813,0.636443673664807,0.561549549308012,0.601319531820238,0.417888528051685,0.548026340630732,0.543728735637783,0.537108560621646,0.668456516373403,0.447182490383932,0.588016549428348,0.554305907942069,0.588849603104494,0.580579390613085,0.242047324643995,0.555891675894939,0.57574766273361,0.582574501150846,0.571797552345029,0.567884072924361,0.564607739210236,0.484969988324091,0.564081679004415,0.634023774158354,0.514653931145949,0.496335792566366,0.549014725489128,0.340647155795008,0.815832475786837,0.64175255592538
