"","Aethomys namaquensis","Amblysomus hottentotus","Antrozous pallidus","Aonyx cinereus","Artibeus jamaicensis","Atelerix albiventris","Balaena mysticetus","Balaenoptera musculus","Bathyergus janetta","Bathyergus suillus","Bos taurus","Carollia perspicillata","Castor canadensis","Cavia porcellus","Cephalorhynchus commersonii","Cephalorhynchus hectori hectori","Cephalorhynchus hectori maui","Cheirogaleus medius","Chinchilla lanigera","Choloepus didactylus","Condylura cristata","Cricetomys gambianus","Cricetulus griseus","Cryptomys damarensis","Cryptomys hottentotus","Cuniculus paca","Cynopterus brachyotis","Daubentonia madagascariensis","Delphinapterus leucas","Delphinus delphis","Desmodus rotundus","Didelphis marsupialis","Echinops telfairi","Eidolon helvum","Elephantulus edwardii","Elephantulus myurus","Ellobius talpinus","Enhydra lutris","Eptesicus fuscus","Equus caballus","Equus quagga","Erethizon dorsatus","Eulemur albifrons","Eulemur collaris","Eulemur coronatus","Eulemur flavifrons","Eulemur fulvus","Eulemur macaco","Eulemur mongoz","Eulemur rubriventer","Eulemur sanfordi","Eumetopias jubatus","Galago moholi","Georychus capensis","Globicephala macrorhynchus","Hapalemur griseus","Heterocephalus glaber","Hipposideros ruber","Homo sapiens","Hydrochoerus hydrochaeris","Lagenorhynchus obliquidens","Lemur catta","Leptonycteris yerbabuenae","Loris tardigradus","Macaca mulatta","Macroscelides proboscideus","Marmota monax","Megaptera novaeangliae","Meriones unguiculatus","Mesocricetus auratus","Microtus guentheri","Microtus pennsylvanicus","Mirza zaza","Molossus molossus","Mus minutoides","Mus musculus","Myocastor coypus","Myotis lucifugus","Myotis myotis","Myotis vivesi","Neophoca cinerea","Neotoma cinerea","Nyctalus noctula","Nycticebus coucang","Nycticebus pygmaeus","Odobenus rosmarus divergens","Ondatra zibethicus","Orcinus orca","Oreamnos americanus","Otolemur crassicaudatus","Pagophilus groenlandicus","Parascalops breweri","Peromyscus maniculatus","Phoca vitulina","Phocoena phocoena","Phyllostomus discolor","Phyllostomus hastatus","Physeter macrocephalus","Propithecus coquereli","Propithecus diadema","Pteropus giganteus","Pteropus hypomelanus","Pteropus poliocephalus","Pteropus pumilus","Pteropus rodricensis","Pteropus vampyrus","Rattus norvegicus","Rattus norvegicus domestica","Rattus rattus","Rhabdomys pumilio","Rhinolophus alcyone","Rhinolophus ferrumequinum","Rhynchonycteris naso","Rousettus aegyptiacus","Saccopteryx bilineata","Scalopus aquaticus","Sciurus carolinensis","Sciurus niger","Smutsia temminckii","Spalax galili","Steno bredanensis","Suncus varilla","Sylvilagus floridanus","Tachyglossus aculeatus","Tadarida brasiliensis","Tamias striatus","Tamiasciurus hudsonicus","Trichechus manatus","Tursiops aduncus","Tursiops truncatus","Varecia rubra","Varecia variegata","Zalophus californianus"
"Aethomys namaquensis",1,0.82368349507812,0.788281525358413,0.843928437460313,0.793573934457013,0.754689124279764,0.778534723801295,0.802774585355221,0.836820938715881,0.784416904927993,0.862761716190941,0.804108003937992,0.830833627856477,0.820372416283895,0.780745930806765,0.825342236744175,0.801363414335897,0.835687587721469,0.835525708635045,0.758028171586088,0.833241496824392,0.871303248917551,0.881815782860786,0.784176822771303,0.802144482885721,0.835101900947786,0.805240546686343,0.812660805796993,0.779815675839843,0.801226284405733,0.804246803538174,0.794798798777976,0.778453477765314,0.832930587871573,0.830263288499807,0.721128994789908,0.875816800946997,0.850022215743494,0.811003268385823,0.843976619086324,0.855827801733788,0.80441679743267,0.837399215358991,0.840718669760246,0.837102485104941,0.843185169248392,0.838186774093604,0.837238058334236,0.816413569741802,0.826861412291379,0.829596858921547,0.82390564404256,0.830883176114758,0.809609759498219,0.827937274961596,0.837928198241872,0.787194668992674,0.847077118019112,0.866635907971336,0.796266217113275,0.798601273848673,0.841616508923348,0.81169566206897,0.805004656968683,0.865233349642266,0.788169479271823,0.864384462290031,0.794762707700742,0.872927396372101,0.871457078508058,0.89233741187818,0.89628105532882,0.815243046833597,0.828252518487354,0.898881204788792,0.922720123446804,0.808848418261119,0.825041866014987,0.797178051965075,0.804057941666536,0.817207927406242,0.884745357480152,0.800618328746461,0.785888114357333,0.81286405014713,0.837095699100232,0.887427970621463,0.794668032033208,0.853916745143442,0.828219251714684,0.848567357128639,0.845224322705198,0.891086286486907,0.847248127563065,0.75650386329488,0.818896872336186,0.81071069672076,0.783262002533976,0.849264630376854,0.845634097497527,0.821310952333186,0.827061981249841,0.822062971566196,0.825920709702687,0.820420758850588,0.826319337057874,0.897959642913821,0.892921809647515,0.899087674971208,0.941084431426704,0.80935249718121,0.855265909223999,0.796206411506942,0.828954947608075,0.805709579257438,0.838502887004651,0.863216207117241,0.861995145593998,0.817386556685782,0.856580439337629,0.782631673553362,0.756798227707239,0.808547859040148,0.670519150487777,0.829016895033221,0.866987303486006,0.8601262593454,0.785861537267904,0.812177953524396,0.798574194453209,0.848943693634771,0.843510329600075,0.833429079362593
"Amblysomus hottentotus",0.82368349507812,0.999999999999996,0.775777101249868,0.833241773719436,0.781013647673337,0.754880332792035,0.7495994133122,0.789060787518169,0.816705750730243,0.799097323740509,0.857157947003216,0.797234218203777,0.803546334520897,0.808788478326205,0.755937907905877,0.810395672282647,0.776625166253501,0.829624448891572,0.81868283937299,0.783669326190066,0.824338536372707,0.803708682440506,0.823693475582597,0.798764541237289,0.811421246982426,0.831232177757864,0.794204443831092,0.818689116717744,0.747062765464311,0.774979160457587,0.792317528180061,0.770252390821569,0.818363472005441,0.817904997320836,0.844580358738545,0.726327604607298,0.80821251451949,0.830622152000353,0.798896796128678,0.8380026564952,0.843908288705935,0.793706845250839,0.8283416342158,0.833075053257444,0.82746719920935,0.832604201704647,0.827385358035315,0.823419836629743,0.802528804925501,0.827384624816408,0.81782874552005,0.813693974391407,0.816527543486664,0.813030639259485,0.810561147722829,0.822824326584962,0.780605576199399,0.827321807503397,0.852869477214575,0.793381410226698,0.772214091642604,0.836629110102492,0.79722185165301,0.796587985178976,0.852670448088218,0.795091348229214,0.849213608390223,0.774317683610999,0.815083129340424,0.820328299364892,0.829259984805087,0.829312143858467,0.809889571303342,0.81978545233875,0.831342008680612,0.840515017943694,0.789129288697428,0.813345899280571,0.781803511068482,0.787878945050844,0.807142574281182,0.829608769171619,0.790611871346958,0.798900368251055,0.808852009237528,0.826873772002496,0.823959335412026,0.76997156487814,0.845814696487484,0.823863309124164,0.844546598900697,0.84110832187923,0.829291096549952,0.839865203266411,0.726156402194274,0.815300100008256,0.800770853822927,0.765862275873607,0.838688339447199,0.839471746859859,0.807706480979873,0.815717463470164,0.811639537951236,0.812881966234121,0.804794811330572,0.81258530113294,0.817521315947596,0.816592723935685,0.836522020910398,0.820758208972644,0.803207242492121,0.83272947341689,0.788854946680376,0.815656978953379,0.798702193276366,0.827371773130465,0.852529606428221,0.848276525952457,0.811650338266508,0.829565825920868,0.758588988414027,0.74665844824838,0.797991992281006,0.668598989400477,0.814583386697086,0.850519251854681,0.844084903077467,0.781358605348208,0.787042469775767,0.773916168037749,0.839957035366067,0.834659047546434,0.830431621885418
"Antrozous pallidus",0.788281525358413,0.775777101249868,1,0.814541284808412,0.822645877050303,0.705914299803762,0.763064858083418,0.790750446506028,0.78311835401421,0.741449167571947,0.808895621073648,0.839406957143937,0.778438280174608,0.769567581503997,0.768303960350716,0.798139617224911,0.780982006935344,0.804022058981971,0.798519554575813,0.730117850415091,0.808383597353042,0.794199244858294,0.786300944568738,0.743144056036161,0.761328267002191,0.797367780215114,0.821977235350304,0.766463060687523,0.769163216853341,0.786005748141876,0.832039303903226,0.74878823043478,0.746956571687391,0.833148398782886,0.77307314772489,0.67094446080843,0.795977909258502,0.805626921142725,0.922497300354141,0.790837068489411,0.814680228468038,0.77995066640941,0.803338371196654,0.803180502384726,0.802577930443402,0.804415763536181,0.801234429252374,0.801521274461467,0.790271024421048,0.793313465050569,0.793691596100081,0.794035996265097,0.78970634746844,0.762050904122275,0.799049553683526,0.806094173372931,0.76774352769191,0.835812097580502,0.817130296280596,0.753560771153207,0.783260658323415,0.805135149713948,0.837947658796894,0.776715016419578,0.824926851446282,0.745136996312606,0.811977446344582,0.781258300002256,0.781580823375368,0.795535240203824,0.80664093082157,0.804795993335706,0.79772257472988,0.85795251266397,0.780526828341468,0.808189447945747,0.773021458525763,0.910885457906453,0.880398633747927,0.89603950709718,0.787547183899433,0.796376196012524,0.895550834848177,0.747074502622381,0.776205346068683,0.801495991339226,0.792969612049998,0.776456492819384,0.805628102002509,0.780066882015423,0.811836670908504,0.81410012736455,0.804233431832066,0.813401956716743,0.75665822144776,0.831924756078341,0.835004502534922,0.765369398014615,0.808401685531132,0.803649152366958,0.819919386217265,0.825878853132791,0.822027368602717,0.825755635130567,0.818933406313292,0.824044043857628,0.793308391704783,0.787701443783096,0.784887034518761,0.787316097171223,0.814327990780344,0.844210255567574,0.813909651016473,0.825628733336672,0.824384583426232,0.809894355848451,0.816561032792281,0.820701528553593,0.785227229691317,0.793319922627343,0.769871377878287,0.734330730576155,0.776249449120027,0.658798449283643,0.872490500509265,0.817497325755106,0.816214309558425,0.766793833093763,0.791751417477075,0.784431261789104,0.812732190737112,0.804808208400894,0.788473326653625
"Aonyx cinereus",0.843928437460313,0.833241773719436,0.814541284808412,0.999999999999961,0.82995684645759,0.743206654402571,0.810717114810054,0.840225728554316,0.835444774782995,0.795682067096303,0.882027802804477,0.836915548676977,0.847006214486236,0.836276308750934,0.823014587024482,0.856068606183867,0.832158356997238,0.875325286671025,0.855865204340008,0.780697584081368,0.867001936293094,0.861116468195538,0.837591291645789,0.790936879602374,0.809262063604015,0.851628374854177,0.830731126819667,0.827164273736928,0.81770276310377,0.84186857843136,0.831608559504144,0.796278521210747,0.795662869534714,0.851051824924658,0.817656320783838,0.698572922948275,0.848028354206164,0.959371076404347,0.843170902264169,0.850274589379821,0.87852581736409,0.839444700878799,0.889438198440783,0.886497367798094,0.888496137406714,0.88669112779757,0.890133032957815,0.886815218477942,0.872841673632892,0.865094915351923,0.890079802841428,0.909672102452645,0.867790886349877,0.812598962576282,0.85866507279091,0.890992388030424,0.818285669876981,0.858469755570167,0.887168455141459,0.805119020926712,0.833155074540776,0.872546763633798,0.827438572643104,0.845714797039949,0.907529942318371,0.791036245651209,0.865691893573178,0.830847967428743,0.833037414693915,0.851664803666173,0.858672639229795,0.857326427216611,0.874939306485849,0.848216261346304,0.82712894393764,0.868252626683952,0.837966090872912,0.853441356102028,0.81143486305295,0.826777880538072,0.899357565566542,0.865531265265569,0.820018182001398,0.805286938744068,0.846382702213575,0.903416262448997,0.858112607302387,0.831524562451601,0.876700023472935,0.853769728191649,0.909761986405099,0.870367890066054,0.869069926824132,0.912029426320308,0.809599877863646,0.837574456972599,0.831959029236181,0.822314146090439,0.879040425706516,0.877083867377234,0.845231286054519,0.852969415943118,0.847597197352029,0.850516382962665,0.844582437912416,0.849573263800713,0.852311649745012,0.858960404095515,0.835659366822114,0.837419162357559,0.834082734925053,0.870965471723344,0.801968992963738,0.854476934855352,0.808769605564821,0.864303184961425,0.881786369579084,0.877199752110247,0.832371721858667,0.849501976812813,0.828752796266436,0.796850595635601,0.850447156512171,0.715544305622149,0.852116581350522,0.877561179193835,0.875581506722165,0.820012161113965,0.849177693335601,0.840604792168093,0.864829104715383,0.88327869280975,0.889329990403814
"Artibeus jamaicensis",0.793573934457013,0.781013647673337,0.822645877050303,0.82995684645759,1,0.708846545268789,0.778454733467273,0.808265767620185,0.786773583676484,0.754155855179753,0.822923841701494,0.925866618189232,0.777893870674251,0.777043500704509,0.786311917875139,0.8163121216341,0.794717400529653,0.82037206877538,0.805924263522462,0.740316729776327,0.80785749183105,0.800923152332795,0.798281866052793,0.757918193781134,0.771525248162208,0.800521662929912,0.827600630138179,0.781889198188697,0.782230080126819,0.804785171773641,0.90856330419862,0.753299546697061,0.757582939389703,0.842312604321818,0.780804433092802,0.692977649520977,0.808548041656533,0.817959545033308,0.859543020727488,0.796468948587006,0.820766131195146,0.785202319446627,0.825147834336806,0.824007119323078,0.82191145759965,0.82898762137081,0.819972045844279,0.825779603604313,0.814146775191007,0.815378985230799,0.818571554792324,0.817030999130138,0.800574275668762,0.773127376784164,0.817013492783352,0.823170097299633,0.787494752872283,0.844633229195414,0.840448715541034,0.762607648696623,0.799779379485504,0.810044021191244,0.913268625584573,0.795664938520849,0.840725027102603,0.757597460962335,0.817320431421364,0.79902748763679,0.785913115816016,0.80765256314375,0.815540138012528,0.815053405602764,0.817315837092674,0.856265858890935,0.782753880148298,0.818043893459301,0.775686924176566,0.856013878845294,0.829682751988141,0.832451245844105,0.816219092679622,0.807712044947878,0.825010381527688,0.764481127820794,0.79279709218329,0.821195502178068,0.801656960234408,0.790497450849738,0.829542047168165,0.797548657375342,0.824035067512457,0.819138904985391,0.817028073015259,0.824371742592608,0.779774714103826,0.908716638463725,0.920447158220137,0.782972275231826,0.824376332530554,0.821966576674218,0.834687264928309,0.841413824833346,0.838013029830534,0.83905721688463,0.832717128458369,0.839150603106943,0.801510357958534,0.792592759246823,0.792151606633423,0.796117849595463,0.820294316217363,0.854233273257646,0.825710159204592,0.844860404172415,0.82641503552313,0.817708256129977,0.825400615625828,0.827385560622038,0.789603544458308,0.799349493046404,0.78871049814075,0.734089716815437,0.780915481610464,0.668161071295584,0.866379951173928,0.81811782935502,0.824388349470231,0.781932079001815,0.810063976279989,0.806014067067963,0.820294299475162,0.813286937092119,0.81102072618486
"Atelerix albiventris",0.754689124279764,0.754880332792035,0.705914299803762,0.743206654402571,0.708846545268789,0.999999999999967,0.662705190542592,0.698549564302739,0.762323055477807,0.757183520790815,0.774789353829533,0.720111065318108,0.714772690869436,0.73756165319154,0.680456353724187,0.736960015997781,0.698676073053969,0.747369593949516,0.740348571825813,0.72156483511981,0.756489881422176,0.73901532333075,0.756302126499753,0.756996873907528,0.768799895534254,0.755001328493221,0.717655468771797,0.760728973153627,0.671421428076637,0.700416950883308,0.71694663274498,0.710934814251902,0.734204075646393,0.74354769947432,0.762736717279403,0.67426881405694,0.736566433100098,0.748686888128456,0.721656515666447,0.772210149348903,0.769023198775804,0.710322468980594,0.742970043547251,0.74960841652561,0.738587250252475,0.747651628203982,0.738504485486979,0.739454650040166,0.721622403161287,0.759392298232412,0.726347726483604,0.734114080860544,0.729682173278977,0.767826319904586,0.737481568376643,0.735487784502937,0.710181865995761,0.757536133628402,0.770851445918217,0.730182745344659,0.689489538648057,0.757107833549186,0.723294365643881,0.716946750140987,0.760133081150744,0.72146895389199,0.764825022239606,0.689576126930867,0.739301343525756,0.749583875067367,0.752988452682887,0.756005741345294,0.716634435702478,0.747940359415582,0.755416773953541,0.763049525844476,0.70803217213096,0.734441430710334,0.704775131233021,0.707940811593491,0.729715764086477,0.751268567484497,0.72002248205484,0.725335768750831,0.733738420724,0.752621995305747,0.743766579880306,0.687951791354414,0.76528831160721,0.75036821805697,0.769317964734685,0.778231334420494,0.755706098842458,0.758540954160606,0.650438347893845,0.742314284274076,0.725895740960613,0.676234138516908,0.756498187389501,0.756163134114237,0.730615706169656,0.738621432355195,0.731298276096453,0.733810992428163,0.725970232214805,0.733987632232054,0.73605537422577,0.731080624279451,0.771132899540096,0.744456009840141,0.730612889301986,0.758555912740355,0.719790513468073,0.747198888194022,0.72767927609307,0.769942921876339,0.765575417075269,0.759899952232999,0.744439514378102,0.752930375399092,0.685180565242407,0.669509042712312,0.714356965194003,0.612089508829605,0.743645691494611,0.766195018363275,0.753654834772316,0.688976890147088,0.714591247315385,0.699500926157871,0.763347155368766,0.745926218817346,0.762106640782019
"Balaena mysticetus",0.778534723801295,0.7495994133122,0.763064858083418,0.810717114810054,0.778454733467273,0.662705190542592,0.999999999999977,0.910177442812151,0.753542412534906,0.701091868617645,0.820173195104328,0.790970124859703,0.778109959533373,0.770588131112231,0.893303439938817,0.869838584293449,0.900698612988332,0.788432653512131,0.788736161247903,0.685652709425036,0.801827456422556,0.788754830169593,0.766730348365322,0.702921700929524,0.720280561634064,0.780096976125513,0.797626028534573,0.732461199889361,0.906753350280439,0.909309517694006,0.798479989330965,0.714325290994542,0.70924054953574,0.803081974070289,0.728852987821837,0.635044286566582,0.778926144863699,0.811066208384621,0.78742660419096,0.77085234121614,0.799246007716356,0.777910983029345,0.801958970817833,0.79973654352748,0.801292102523206,0.801998427883484,0.807055073753148,0.805853479946678,0.80108183937715,0.77484018025649,0.800739593560672,0.797274422675761,0.782142493777687,0.725191086577362,0.896570731345262,0.80848339197214,0.753040799723933,0.814647943614576,0.822027055008711,0.746573257483975,0.907602102769428,0.792876723184816,0.793575523264078,0.770424709405237,0.831191532685073,0.725914084221634,0.794689173021247,0.930173305343276,0.769755762803872,0.767989268520648,0.783261856662429,0.781009843019984,0.791747078450191,0.799110797611074,0.744037524401762,0.794629132596765,0.754266386522094,0.79955517307578,0.772675440560678,0.783066872650038,0.791680599329724,0.787078261927475,0.762380839382419,0.716960567212004,0.766603614528176,0.813713300274857,0.785407025901439,0.912476083201993,0.807928572020072,0.763741894681609,0.80218417445663,0.789276864362592,0.782880798920733,0.814765027740123,0.879958971342067,0.77650079420465,0.783479983609325,0.88564592336537,0.802488629591488,0.799556673252327,0.81392495404518,0.812903290504675,0.814414979028183,0.816442173234107,0.813331604297976,0.814607304502281,0.79412597103579,0.777178302773052,0.751513860853336,0.772170530935644,0.793764690957255,0.81821137158392,0.765468251302515,0.802296529238435,0.771314394223896,0.781891048661192,0.801767275549736,0.806887143150576,0.77619490995358,0.780681776720093,0.893349025577921,0.720978725660149,0.753304767472181,0.625189994151427,0.806049947629643,0.804388142042701,0.808741469418514,0.775337171498451,0.907730799669632,0.903648670708915,0.800042130360559,0.802676096828448,0.77962424296247
"Balaenoptera musculus",0.802774585355221,0.789060787518169,0.790750446506028,0.840225728554316,0.808265767620185,0.698549564302739,0.910177442812151,1,0.794694514280178,0.755567553675689,0.858108556133984,0.819373990153249,0.799162608920027,0.802348524342669,0.901925080761511,0.908375212634361,0.90875287000459,0.834385885992207,0.817168888130179,0.740171524351814,0.823542823858875,0.810631884176904,0.800050273811776,0.754857961241339,0.77352836384883,0.821723275105935,0.824225769192863,0.792251594448444,0.889996820644557,0.918474351621945,0.819710158592032,0.767307818036682,0.758923101160488,0.839568055245487,0.773902330989892,0.687893051041455,0.8051781014352,0.834070640040023,0.819442995604537,0.824188688750753,0.841026120754464,0.810310897254598,0.841739644072402,0.845209366238725,0.841725011959288,0.846488090319127,0.843085653190562,0.844687903147811,0.834308796784786,0.829437134295892,0.838593033915039,0.840868120536303,0.814278409447933,0.771237936975617,0.922945364018008,0.840764668127099,0.795995490618366,0.844663485709992,0.864618491633233,0.789258441935425,0.91232571508,0.835561348430819,0.817202946902818,0.802756623137051,0.863274901219329,0.762672645011707,0.831665751713653,0.953894732159731,0.800516358983517,0.80293181722128,0.818415603792612,0.817221343785037,0.829106554105305,0.827082076775858,0.7847957121739,0.828662201716206,0.77826407101547,0.830671876890039,0.795306967570946,0.808851976591804,0.839465135744937,0.811534972732252,0.79380450781208,0.766080779643208,0.805095060183292,0.850753325724537,0.810104362265824,0.91029620690157,0.851784719597879,0.808097852036378,0.848178607450618,0.82569372667942,0.817954957587295,0.85773387593805,0.889031648740424,0.817756224413004,0.819200240391663,0.900113014309844,0.847129523270986,0.843509969988305,0.833935108690322,0.836584986639695,0.836746037789244,0.837548740857645,0.83218798837235,0.836485224094776,0.82006664650786,0.797220099736745,0.800136894088609,0.805370307309178,0.816061522658997,0.844571527728456,0.787735912759149,0.832792726562269,0.795270249609163,0.823285990885813,0.839848210770001,0.840699478065818,0.81518173083139,0.810431479758716,0.903514498910813,0.72369656537995,0.790137696097419,0.677466851900998,0.833489693155168,0.836388655680134,0.841823051160424,0.796430837778176,0.915827425812432,0.917968091473356,0.84247439239176,0.836925101778067,0.833621295585308
"Bathyergus janetta",0.836820938715881,0.816705750730243,0.78311835401421,0.835444774782995,0.786773583676484,0.762323055477807,0.753542412534906,0.794694514280178,0.999999999999991,0.939080149250121,0.849255137939925,0.796332901214381,0.817793922087449,0.852766835736388,0.762597222316692,0.813348163381969,0.780369648958204,0.835761376119651,0.866905186946178,0.778453485120438,0.829009875544482,0.819767684387625,0.827441066979405,0.912692362179369,0.930223906212264,0.876639430413448,0.795331778598638,0.817662446532545,0.75628324988979,0.784037418013567,0.794972115550297,0.785122373601485,0.789240360342858,0.821471373609402,0.823672981668813,0.700180266474908,0.826846227267576,0.836285592100975,0.805525712689328,0.834719173350839,0.85018743493945,0.845040654880372,0.835829755323207,0.838179951085389,0.831166764085381,0.838534086749118,0.831447528581266,0.830882784251037,0.809164795979971,0.83323089586148,0.823153317238868,0.821587214042537,0.819585765394599,0.939572784196758,0.811688008131607,0.829845142937648,0.856126334954077,0.82923750620445,0.854383699883746,0.838105076874945,0.776659230900319,0.843342786739685,0.796569492695947,0.805492132164297,0.860312867075128,0.779202358984433,0.853434962948305,0.786398425609215,0.81666892967387,0.829294565931495,0.840061018111552,0.841056415759548,0.813312077968184,0.82806387617082,0.830154964850561,0.844133869300976,0.839449785304355,0.813670292406436,0.783145791369775,0.791451869627023,0.816404471103728,0.835592133553287,0.792040822169891,0.790514289657926,0.809322975889069,0.828686239438507,0.832432144539453,0.772197070964671,0.841749937252423,0.829476211987036,0.838716304317495,0.847039296260112,0.839680030188204,0.833437444850633,0.74144978103616,0.809718175226778,0.797377989805366,0.761684468658459,0.842899998891123,0.839956804466997,0.811120198774715,0.819668440956493,0.813807229480521,0.817768920845141,0.809552645155013,0.817361172661626,0.815820040344806,0.817348584613646,0.831514967027731,0.828004660016398,0.807674959791845,0.837653646836856,0.782971241420577,0.816744007570822,0.793818852567736,0.832998136622135,0.857896491561734,0.850330095647469,0.817646266321669,0.832687413875645,0.769863272138316,0.739230635503179,0.804959184480564,0.683006849002541,0.822355633874948,0.854062033149466,0.849220978960798,0.773084177758283,0.798585799966121,0.782219549986828,0.843389242760185,0.838680605158472,0.832614460785461
"Bathyergus suillus",0.784416904927993,0.799097323740509,0.741449167571947,0.795682067096303,0.754155855179753,0.757183520790815,0.701091868617645,0.755567553675689,0.939080149250121,0.99999999999999,0.829545111470732,0.760675962893077,0.778754753175715,0.81875465712584,0.724644425838558,0.794959366465431,0.745109249537732,0.820478111970309,0.834046092629482,0.802643945235166,0.79332895035336,0.776839950130309,0.800084091479356,0.951233650231555,0.959758776525936,0.848950437085592,0.756934428504945,0.840452820910247,0.705662469602815,0.744397188132413,0.763413451698271,0.765349710158453,0.799640732789678,0.791408618070007,0.81100145051219,0.691832308520989,0.787543385966407,0.789533270024012,0.77140245764259,0.829102164573958,0.832534873367942,0.804718976073412,0.813665907119215,0.821714164128815,0.804012575675252,0.815190348043163,0.802921769686888,0.804379230334114,0.77758445461446,0.831780332349779,0.794581126217906,0.799439950283728,0.784334832090103,0.961871792555255,0.780411701592746,0.796796065348262,0.836475969759278,0.798525835503139,0.834732547889263,0.815827470184669,0.733778422627338,0.820381479114759,0.757697911012873,0.775041108513854,0.826386241395777,0.759167506836048,0.82933424910573,0.73842793816841,0.784110980769172,0.800170276904733,0.80706341084781,0.805400425073476,0.781604607781202,0.796273783704496,0.814700292615401,0.817018989433457,0.793793668020621,0.781757259700487,0.735430010047801,0.754280951416156,0.798988704358558,0.794824643042501,0.758680126288114,0.81081640390283,0.785697340994465,0.804614321036376,0.791102369308019,0.727233673030661,0.825583319576514,0.824465462108845,0.81798188700384,0.825618382473451,0.809953712776094,0.809889922843334,0.702058302346491,0.791124528712895,0.771321417799922,0.720360704213066,0.820425262972586,0.822408956172184,0.777444700421593,0.786679962812736,0.78038713567063,0.78130734138794,0.773521322827526,0.785656266468916,0.780236510014637,0.774116541567584,0.828371074844087,0.784275302518954,0.77729390763791,0.798504529408877,0.740912130784172,0.787342090026094,0.745928297675231,0.811532173294342,0.830886831756167,0.816709276717466,0.799073689187323,0.807539486193609,0.729272900415456,0.683627715378653,0.770428620165938,0.67895263901059,0.784002734055655,0.824794790994999,0.81349738878949,0.735798906968626,0.760735463374539,0.743289162477378,0.824126129016257,0.808814142747248,0.830722647867041
