"","Acinonyx jubatus","Addax nasomaculatus","Aepyceros melampus","Antidorcas marsupialis","Aonyx cinereus","Apodemus sylvaticus","Bos taurus","Callithrix geoffroyi","Callithrix jacchus","Canis lupus familiaris","Capreolus capreolus","Cavia porcellus","Cephalorhynchus commersonii","Ceratotherium simum simum","Cheirogaleus medius","Chlorocebus aethiops sabaeus","Choloepus didactylus","Choloepus hoffmanni","Chrysocyon brachyurus","Connochaetes taurinus albojubatus","Crocuta crocuta","Cryptomys hottentotus","Daubentonia madagascariensis","Delphinapterus leucas","Delphinus delphis","Diceros bicornis","Didelphis virginiana","Elephas maximus","Enhydra lutris","Equus africanus somaliensis","Equus caballus","Equus grevyi","Equus quagga","Eudorcas thomsonii","Eulemur albifrons","Eulemur collaris","Eulemur coronatus","Eulemur flavifrons","Eulemur fulvus","Eulemur macaco","Eulemur mongoz","Eulemur rubriventer","Eulemur rufus","Eulemur sanfordi","Felis catus","Galago moholi","Gazella leptoceros","Giraffa camelopardalis","Globicephala macrorhynchus","Gorilla gorilla","Hapalemur griseus","Heterocephalus glaber","Hippotragus equinus","Hippotragus niger","Homo sapiens","Hystrix cristata","Kobus megaceros","Lagenorhynchus obliquidens","Lemur catta","Litocranius walleri","Loris tardigradus","Loxodonta africana","Lynx rufus","Macaca mulatta","Macropus agilis","Macropus fuliginosus","Macropus giganteus","Macropus robustus","Macropus rufogriseus","Macropus rufus","Marmota flaviventris","Microcebus murinus","Mirza zaza","Muntiacus muntjak vaginalis","Mus musculus","Mustela putorius furo","Nanger dama","Nanger granti","Nanger soemmerringii","Nycticebus coucang","Nycticebus pygmaeus","Odobenus rosmarus divergens","Okapia johnstoni","Orcinus orca","Ornithorhynchus anatinus","Orycteropus afer","Oryctolagus cuniculus","Otolemur crassicaudatus","Ovis aries","Pagophilus groenlandicus","Pan troglodytes","Panthera leo nubica","Panthera tigris","Perodicticus potto","Phascolarctos cinereus","Phoca vitulina","Phocoena phocoena","Pongo pygmaeus","Procavia capensis","Propithecus coquereli","Propithecus diadema","Propithecus tattersalli","Puma concolor","Rattus norvegicus","Rhinoceros unicornis","Steno bredanensis","Sus scrofa domesticus","Sus scrofa minusculus","Tachyglossus aculeatus","Taurotragus oryx","Tragelaphus angasii","Tragelaphus eurycerus","Tragelaphus imberbis","Tragelaphus spekii","Tragelaphus strepsiceros","Trichechus manatus","Tursiops truncatus","Ursus americanus","Varecia rubra","Varecia variegata","Vicugna pacos","Vombatus ursinus","Vulpes vulpes","Zalophus californianus"
"Acinonyx jubatus",1,0.821259782398613,0.805932802334647,0.820551066395071,0.852616502617483,0.726850258485591,0.804298997401679,0.802976088119808,0.770709860919364,0.873236828682023,0.807824513508381,0.756137329078451,0.804880007839019,0.826864424716145,0.772082481580155,0.841493917007004,0.743830105075139,0.753709373518131,0.866263390802695,0.811784373539205,0.895477753084595,0.693854667602846,0.816270644197921,0.808550948260912,0.825022768982452,0.792626437867178,0.674461597193237,0.767583084476291,0.825072823395003,0.827420153737651,0.810242392607685,0.8281688380276,0.824045734340958,0.788053638399907,0.802512291057028,0.824264187100044,0.805188021683005,0.809237444921011,0.816985828138104,0.804373472711144,0.82705096910205,0.822754625414711,0.815787880217143,0.816123913021432,0.958255894296119,0.764539312063425,0.824536483539391,0.806943527860119,0.797126871970953,0.822626398081028,0.792832293425123,0.725228314687263,0.822404227349635,0.812370092192243,0.80384766050038,0.776221942998232,0.822467233782304,0.820654132553445,0.810882718763443,0.826862521758967,0.747315831691661,0.768896566496545,0.949405365623991,0.829114442339871,0.667043148215322,0.677637447697751,0.675884336741294,0.66767055126705,0.662265217617711,0.671096718590794,0.789795971282273,0.785179658540031,0.795691515269449,0.803161638236568,0.743030016830563,0.856996294422481,0.836418201499101,0.819761399518473,0.823138953657924,0.748639176406978,0.727848310414673,0.842017788988018,0.821777766471978,0.792021575834999,0.63558361560117,0.758861597348755,0.729973585756603,0.774541423249602,0.816611908161391,0.813953240746852,0.82446710780764,0.951140133617385,0.96189218263248,0.767780935542541,0.683322093850876,0.845137162912413,0.821284772861125,0.827783603909708,0.739455346086025,0.804239021786285,0.800446723856672,0.792028927949486,0.962668442458492,0.747503714959662,0.827270973580688,0.819054851208973,0.82446617559539,0.821484833415704,0.613886723463307,0.822582059769034,0.816447302067024,0.819242516690202,0.827079902500494,0.821808130871575,0.817865263618963,0.760084109221683,0.813168047109572,0.858861969543913,0.808866516499361,0.801538455489959,0.826416607221169,0.6713482849138,0.864047579386374,0.840930271543036
"Addax nasomaculatus",0.821259782398613,1,0.890831480983165,0.917955915382708,0.812666180253334,0.709403846967383,0.868268402129462,0.791491729026402,0.764305629488745,0.818288371104385,0.859559318444512,0.748157263270317,0.825995949244566,0.80605325195025,0.786080764883648,0.829461357591019,0.74605555865572,0.741762497769599,0.796259208700266,0.933081438503198,0.817972872735398,0.707484904046022,0.787733095047714,0.829934752958106,0.828078924726311,0.792769025102168,0.687156861880351,0.760367898555458,0.785211937230007,0.81676731587058,0.807605173450588,0.81399728291572,0.814062298618624,0.883142034317299,0.8108285565563,0.814636407727439,0.800755007210617,0.8141446883146,0.81625152013316,0.810525598517938,0.811365351641397,0.813171516988455,0.814446791206067,0.814837477573261,0.82221274260578,0.769917373109528,0.910423218993964,0.879197891867415,0.816370167719247,0.799458122925598,0.797299481501169,0.730020683870166,0.94782167696091,0.953070826758293,0.782111673623273,0.768122118392425,0.891780258762401,0.836814361745176,0.807331136176464,0.910205322206348,0.761210063764208,0.759378293340728,0.821074961982283,0.823833942047114,0.673209839758545,0.676765089297935,0.672067191137713,0.67115811384731,0.664002248940566,0.672499543565759,0.770777515689952,0.783668739634009,0.80650381766747,0.871927182308489,0.729265357335734,0.810791791042928,0.915918216526771,0.906933874260881,0.910670399124387,0.755591839809858,0.741587391487387,0.778697379968064,0.881430914874774,0.804841064745698,0.653575624337689,0.761819092850844,0.752561404345658,0.766063885784791,0.917969080791623,0.771636370376972,0.801824037691672,0.818840668827475,0.832369506485499,0.765688162955101,0.686690450189101,0.780247937139695,0.833011153377582,0.815344005711684,0.741667851492758,0.811600776320669,0.809404954178343,0.805423332867146,0.828766547091134,0.733188665474501,0.807437915797306,0.835226945215528,0.831498551973956,0.828524798410231,0.630948903137016,0.894645407841441,0.892177561409213,0.890699237190602,0.894273339555501,0.895440693226877,0.895413935797257,0.7497367490321,0.823216351099621,0.810634057758967,0.816795301902358,0.814164285298302,0.818714099592703,0.679728087602096,0.812209422978127,0.784747642472267
"Aepyceros melampus",0.805932802334647,0.890831480983165,1,0.886914943431456,0.799470579014911,0.71881423893691,0.892195396751642,0.789964208778751,0.776496416187442,0.810956238980716,0.876525163695563,0.749537680518684,0.811448304723397,0.80867908536518,0.783143856240072,0.822704690647675,0.727044551647612,0.737181185552342,0.792938662516497,0.903769228569997,0.803568965249268,0.709612022750303,0.784444829730876,0.820067931580386,0.82195170167394,0.799335746410936,0.680983349444522,0.768881223491353,0.783717494434457,0.806190436592749,0.814685984812062,0.807064490696746,0.811407559169084,0.876584126352524,0.791491751217793,0.802145315816369,0.800911070908789,0.788529605076117,0.805443465813112,0.796996639710838,0.802175926944845,0.798257911809941,0.800384947949511,0.799655186387663,0.817528455818528,0.762495176324092,0.894996254124247,0.838190395148507,0.816919753119579,0.800018491672848,0.78491560981681,0.739130329782288,0.881529315499148,0.902077481665295,0.791887630708894,0.759916721488456,0.892751217794003,0.824469026717121,0.787887781750026,0.889259555264043,0.73859788717767,0.772550953914517,0.813914343880382,0.815766556758562,0.664879906435808,0.673337588373904,0.670039588528592,0.667473051618703,0.66683252600157,0.672402113878059,0.785851827442867,0.788832848030797,0.784820689672086,0.864828776175638,0.737180627690692,0.798917624677759,0.896640962411895,0.897796256714724,0.903476890064655,0.75253106197179,0.737021904329146,0.781083092592119,0.855019193493676,0.808631183609513,0.646802043077149,0.757343315966948,0.739763931554755,0.766011848319381,0.910397517716017,0.770252004697727,0.805104735787679,0.812791888027211,0.813559216330105,0.76824504788087,0.683046979044855,0.776879894556336,0.819539005332653,0.807814190505586,0.722591862240272,0.790043419515718,0.78992387715576,0.780558416365768,0.82069569641488,0.741327530379723,0.806723018318549,0.814714419540623,0.835647485672817,0.832029440934164,0.632126605640523,0.867005199833889,0.888345402304771,0.885112136893713,0.884578110424625,0.891842684835719,0.891231319634856,0.76122022247156,0.819992157965066,0.802747967823781,0.788394306598141,0.796334130405232,0.80523636016489,0.667773576726342,0.792310449714754,0.78668957670127
"Antidorcas marsupialis",0.820551066395071,0.917955915382708,0.886914943431456,1,0.812334099023622,0.706521508529819,0.861894837540604,0.792914152132716,0.758709631895984,0.818511730331625,0.857957464941715,0.750567706350578,0.838926158591549,0.811837157206062,0.792974397165261,0.832766371494661,0.760026729361783,0.747486531640343,0.793896019760295,0.91905477115916,0.82445233148741,0.706778636567892,0.7890766451124,0.835114688234065,0.830599871758606,0.793730617213387,0.703974889657315,0.768909954778202,0.779646683174123,0.82031798554387,0.80527652010165,0.81789113410062,0.817532681114198,0.904863327367827,0.823134081230677,0.823009121547646,0.803027853111281,0.82931308870574,0.823561886404787,0.818280015367681,0.820732590258256,0.825594100687636,0.823750816964891,0.825998546901554,0.821557275313985,0.766857717762041,0.942969850740384,0.899886876312024,0.817796488691906,0.798284375966896,0.808512387264038,0.732131104792228,0.920944035309388,0.915891908034426,0.779939737783722,0.772367138831161,0.89662709929485,0.848103885157505,0.82396840224132,0.947727986086756,0.773280776705964,0.767142713802623,0.819833441612366,0.828746114442876,0.690042673003945,0.69297556528239,0.684773000179015,0.691162266946614,0.674706488486357,0.689256453110805,0.770160227754203,0.78868962163771,0.821436874424755,0.871291361471141,0.719942730651948,0.810413379209433,0.945745250680181,0.930092848240648,0.94224706531761,0.76909894045131,0.756780345491589,0.778545509973665,0.89947396151586,0.799888501419418,0.668520608864085,0.775726194586509,0.770418265511097,0.774253225216458,0.911404157880058,0.75974081290817,0.809249833011081,0.815921971348927,0.831089165270735,0.765475739621715,0.69512442222513,0.773330761468325,0.843595989290954,0.825494979195688,0.757870267678287,0.821548784197422,0.821922252194448,0.814948820018752,0.832812963868817,0.728156397875306,0.8064517235293,0.844727034819732,0.843399973578786,0.842368307227297,0.64252015529136,0.90694029692471,0.896381633603322,0.89370990712608,0.894707296439012,0.897548188799241,0.898543274110069,0.749731671663759,0.825263186097348,0.811417450062145,0.829424429905867,0.82552056515105,0.82992622664185,0.697005351180182,0.815278550972727,0.777536174535834
"Aonyx cinereus",0.852616502617483,0.812666180253334,0.799470579014911,0.812334099023622,1,0.727432507009036,0.809555429178247,0.809235817243823,0.798712366708015,0.863855410489633,0.805046274950447,0.744234197561361,0.81568837093663,0.813117290155446,0.795601226042952,0.832774881512796,0.736678351524925,0.742722658440025,0.845750729284148,0.818768713579784,0.841209836134098,0.730990265732378,0.805161708241358,0.815550021114946,0.823156132865323,0.802657729564978,0.669328585284396,0.788829097661458,0.942743057414095,0.809195841765919,0.812813012787411,0.807888343121077,0.804972726414885,0.812387568386442,0.808182843468784,0.824141614652355,0.818713764389706,0.811233728045658,0.825074075607546,0.817640227276663,0.82080217669279,0.821941912150226,0.822483087558441,0.817346902341428,0.871128628555687,0.78715862470793,0.819181989016273,0.794691636015829,0.815733413249267,0.814679290570534,0.815142626786419,0.740356629004653,0.810778551804064,0.81744413978567,0.820856798520911,0.775380067991039,0.815177717189449,0.826371115382732,0.81437253198987,0.81153689612356,0.753718555151448,0.789324614300514,0.858774339550664,0.843072838042726,0.655177784890237,0.662328150102127,0.657967816569821,0.66301783310296,0.654714992708009,0.663558502877552,0.80338928763825,0.808921312354585,0.807136530985785,0.809757789669787,0.747496657643372,0.90282271733845,0.826884706566792,0.823388563966708,0.818940133458612,0.749610037795165,0.742326273646941,0.860125875062934,0.806748793575632,0.815944415473051,0.632734687154845,0.777707442339912,0.747333097966542,0.782222111648396,0.812337137335205,0.850779191857706,0.821539552404535,0.864214681681984,0.861221835342569,0.765776975859522,0.671413592231472,0.866282993987437,0.81345386037475,0.817167761509667,0.733196970180654,0.811910536953905,0.813163733704596,0.808609645798455,0.858003123445588,0.747114319304567,0.808832736406336,0.811151002631249,0.815461053340432,0.813678381188066,0.622596867525562,0.808570782442756,0.818500919826415,0.814488840125104,0.818902392060415,0.815131933404633,0.817969501077888,0.76254198802591,0.824322674266411,0.871422456604334,0.809744992509914,0.814686010576671,0.808592110180368,0.657868968181103,0.844579833624161,0.868083482098043
"Apodemus sylvaticus",0.726850258485591,0.709403846967383,0.71881423893691,0.706521508529819,0.727432507009036,1,0.723889835172678,0.737535340570928,0.733056874723692,0.727418525549635,0.719925831254131,0.693426454514887,0.714958703086846,0.727927470793701,0.720897278524719,0.749049500678077,0.664009763000404,0.69164194539504,0.723768579468159,0.709065800212962,0.721504144853029,0.687109791420705,0.747723768118137,0.723128222406673,0.732209982244573,0.71970549046016,0.630509924934951,0.734119095697903,0.725710177295197,0.724722711904281,0.735140251581763,0.731709630450843,0.728579911530471,0.7183269659432,0.71669647100753,0.739976048512012,0.746921809184717,0.725417579175134,0.733284384850635,0.734890911598614,0.734220661336771,0.731150937530257,0.733732595564624,0.729271834931277,0.744176081263727,0.72607479159709,0.719001989282977,0.681995855248841,0.728863462894086,0.744125868077974,0.728819298277587,0.706176849180864,0.705653441382658,0.716322029546402,0.744243049797425,0.717768459762148,0.715309812845836,0.727929448296025,0.720990343894684,0.707021020032626,0.689118733220293,0.739284194350648,0.729395726322835,0.748215389375397,0.628604053678943,0.643443222231754,0.645282269084309,0.633047104733422,0.641034818324523,0.645289591553172,0.751644796428525,0.747985048655196,0.715710573385921,0.712697796765093,0.856861147853464,0.724904015448094,0.72890872579138,0.724219986935327,0.727558899895448,0.686646300459743,0.685175957347013,0.724996519607184,0.698417439859581,0.728910161514971,0.591662115162683,0.706931025140077,0.672416266423842,0.709017038203664,0.713955748023753,0.715639890461267,0.741398172720603,0.734473770160668,0.732177323843764,0.721750651680322,0.646907281237771,0.731113311464807,0.717350608255152,0.731991994268436,0.664910424338404,0.726905053677602,0.718171379944118,0.711323456459208,0.728681604572564,0.836512435981015,0.727701136211873,0.710310403380676,0.725881394761405,0.729704051267965,0.598856595979628,0.702272059044891,0.712368206942853,0.718177383680171,0.726621037799573,0.713848146284036,0.716129052657214,0.716236357675417,0.731054676070326,0.729770781774502,0.720464298033965,0.731719216797421,0.706104117989054,0.624574921642888,0.718233699221756,0.725195298947268
"Bos taurus",0.804298997401679,0.868268402129462,0.892195396751642,0.861894837540604,0.809555429178247,0.723889835172678,1,0.803775556787754,0.792952789352782,0.82017642689853,0.89112763455851,0.765088337261192,0.819300755881213,0.8172824883054,0.80243659198686,0.831789315564029,0.724094888308584,0.74658344525291,0.796263441943053,0.886585352905637,0.802095175219105,0.714406436269902,0.797039058784023,0.817227783575649,0.822077969509713,0.810999097000294,0.693505092140568,0.781743706436366,0.806695535300146,0.822323900246225,0.834271561080665,0.821395339514285,0.82890082778624,0.865128200277907,0.801334614441626,0.808498331591098,0.818291029346651,0.798354786841561,0.815864773601355,0.804894077903682,0.808773631722307,0.803006305319582,0.812876537919,0.807018513949509,0.823184003464869,0.782836232399912,0.881232334893712,0.84131442804197,0.818406031416443,0.810412499391013,0.792548305004114,0.739390107483641,0.852721769582012,0.883745668123712,0.81194371080389,0.758820201626123,0.882460349909489,0.824374944739017,0.795191461523659,0.863492299094812,0.749389382849602,0.78812062298336,0.812395608332642,0.831799223635254,0.681784609039524,0.686993775280699,0.68118218332045,0.68117676148752,0.679558559868775,0.684913194396166,0.798943491014425,0.808154529577641,0.794041578906697,0.869330028479966,0.748262537124154,0.801188457806595,0.872831292079545,0.882929629973289,0.885005460594417,0.77703133245821,0.756504949990344,0.790107236461871,0.860199366178508,0.820597812568332,0.640789916430402,0.762868963926591,0.74686801756668,0.784542442919756,0.911476023976778,0.786510512165787,0.81258265986409,0.812931077906633,0.809790840560075,0.782698993618669,0.685529402411764,0.790221275281042,0.814361137074832,0.817986725689746,0.724987767009344,0.796722035257197,0.798890181950196,0.785184896928234,0.820470083639249,0.751996802320976,0.81054223686079,0.804955822042971,0.838090741090786,0.83357539178997,0.624762847965806,0.87365188199371,0.901500536284345,0.896431367286047,0.891685057890371,0.900284242099997,0.894896396715333,0.758494738468646,0.823800694432203,0.80168629549233,0.787294080864795,0.806180023053192,0.805072537987903,0.664849875033055,0.792677188122852,0.796934184574257
"Callithrix geoffroyi",0.802976088119808,0.791491729026402,0.789964208778751,0.792914152132716,0.809235817243823,0.737535340570928,0.803775556787754,1,0.959457816503975,0.820483446732414,0.79615162291113,0.752357458049346,0.800360439123786,0.806166636177649,0.810961549671679,0.871305693254116,0.746903598829647,0.766926991106414,0.80127762167333,0.794350702219789,0.799888088250956,0.719152566657464,0.814670791873689,0.795191799211764,0.796279080552921,0.796138617237076,0.688518838478736,0.781839755216838,0.79949023291559,0.809366049337888,0.81484564915255,0.807116221426215,0.813158574849118,0.783252648726867,0.813014929702389,0.821461397536418,0.826686572115616,0.817134263951459,0.827463724261627,0.820330251815305,0.817940672314863,0.824508514599022,0.82727712598966,0.82346405201614,0.817264695374204,0.797861832771442,0.802268200186275,0.765694891121603,0.794000522185994,0.862207156878465,0.817454804231761,0.753202534087441,0.791991388844397,0.797103280435163,0.853534823221581,0.769316521773972,0.790514300390768,0.802046723474165,0.815407780865923,0.787644505272489,0.763013754069614,0.778932035918847,0.80605598483193,0.872619575622945,0.675868703561021,0.688383890650745,0.681351805339503,0.679070821171397,0.67274706333813,0.682239076881419,0.806854896188593,0.816061074660478,0.806101817913272,0.79206233814857,0.766284739941633,0.799106920880552,0.800808965958278,0.79464562311089,0.802946195847949,0.775638268168812,0.76301831520517,0.79086407341072,0.785507994915671,0.786525278020292,0.638017554447999,0.771129419151578,0.757124229092803,0.790679334224388,0.801220673592305,0.770548903935406,0.863562139023688,0.803050835943512,0.804493611810365,0.783797008777461,0.690219725098324,0.781943788571951,0.79360732855509,0.858168416088689,0.733441426772592,0.80825529065301,0.811931103701175,0.803237020370542,0.813739174425989,0.765157546671798,0.804251158929875,0.784386238918606,0.814485689445575,0.81414379539655,0.624098957529445,0.789649347260944,0.799857338643599,0.795661349468564,0.796867500505845,0.793180777868442,0.794268555823525,0.771329310368327,0.799816977918656,0.792213626261865,0.811922095212119,0.823804922428998,0.785810306275108,0.683469823207483,0.806016675816863,0.789947103719402
"Callithrix jacchus",0.770709860919364,0.764305629488745,0.776496416187442,0.758709631895984,0.798712366708015,0.733056874723692,0.792952789352782,0.959457816503975,1,0.798544642782822,0.779549653580848,0.727261918600398,0.771487334093635,0.787275798402503,0.797920755357102,0.843748067973365,0.717871249048621,0.746715167652998,0.781682005339604,0.777390959199072,0.7641459938348,0.742896141660959,0.804781693336799,0.779483096570843,0.777805140982502,0.803229192254738,0.650779969462626,0.795406568638239,0.804527252582153,0.779045063457859,0.804348040149058,0.779762496088179,0.780958669516328,0.786617414746316,0.78247296282878,0.799641670503846,0.821167079094429,0.78638946709773,0.80395314930967,0.806919270285818,0.797174421162564,0.79773487783191,0.803708548315305,0.796212408628053,0.799324686371875,0.802492879938783,0.77911798545606,0.724754721972056,0.79683165933244,0.846860738936199,0.809556361456819,0.759394197346029,0.756248016549484,0.784642341440003,0.869023995255406,0.754074498440248,0.764204766249095,0.777860144489729,0.785192707986145,0.760700401796943,0.740050054710003,0.795838147494552,0.780268042743114,0.856533428358321,0.644938382776475,0.658820491802407,0.652405271651521,0.651677725619219,0.658577059389421,0.657400474555327,0.818968600419325,0.822591085899557,0.785417702811309,0.775828193834063,0.778692472014613,0.766100524913027,0.774435303592067,0.782926930961498,0.776925046931094,0.747851568276301,0.741869287430638,0.781615235172927,0.754331505663563,0.792889281332089,0.608619666947503,0.762359193114932,0.725644768970178,0.777348853792744,0.780774490877661,0.785430895644083,0.84043006950281,0.791129381726945,0.775169063002064,0.76946521980822,0.66906015588532,0.785075099688066,0.760822107703088,0.833236816202007,0.698842395910037,0.792167383023079,0.790928559160125,0.787522644439333,0.780469378657051,0.764389735504027,0.785984937584255,0.750930504509881,0.788653329426328,0.789222348308675,0.613533519476497,0.750676096716923,0.783437332289795,0.774743314053666,0.776465402291637,0.76898813764753,0.780514617943961,0.771610017894794,0.788708407942949,0.779149733066401,0.783511168726138,0.806834483804242,0.751937824509602,0.648700461403878,0.771320645245035,0.7864241790714
"Canis lupus familiaris",0.873236828682023,0.818288371104385,0.810956238980716,0.818511730331625,0.863855410489633,0.727418525549635,0.82017642689853,0.820483446732414,0.798544642782822,1,0.815402554037267,0.746727578557596,0.807391133033842,0.832365190278544,0.790054961943665,0.851628281826914,0.736134140325238,0.755139837498068,0.972841223761154,0.81909388686742,0.857486658294137,0.713619541853565,0.819448216923652,0.814812089232744,0.823833519166843,0.81268189231948,0.682400294234532,0.782494583772878,0.847022228393523,0.833004345531678,0.833082722987712,0.834984437702679,0.834426247630221,0.799251585040867,0.808516461249106,0.826904537299928,0.820143069272211,0.809670225585675,0.825781898280903,0.811296848749935,0.827228009976685,0.821150230034482,0.823367584946513,0.820763811277442,0.882755564736605,0.7820099320225,0.82364982076074,0.796064637559915,0.807369408429546,0.836230721120632,0.798555621014609,0.739897221861786,0.809988788761575,0.813086822479953,0.829502503809292,0.777490242602115,0.816376403067561,0.818661927127858,0.806907811755146,0.816955453776686,0.74694460445937,0.78423733653542,0.868715293508097,0.845878946669635,0.669751958647675,0.681335486871853,0.675791287023156,0.670273541880484,0.670421447540946,0.676991760724662,0.810607083709648,0.802951690256234,0.797541063370972,0.80994153330702,0.754105278542901,0.86437862860891,0.826027112349403,0.815985127402459,0.82154079758702,0.756226984803852,0.735647251754622,0.858088574599274,0.812844239888474,0.806315413087717,0.644880758914524,0.765166845701801,0.746135806825455,0.781096450035937,0.821779224996472,0.833761836295991,0.838342041266398,0.871605997298377,0.875474605979545,0.779682521342552,0.688506711062378,0.85307296264056,0.816246576143878,0.835371186084991,0.742664967687313,0.809710754202998,0.80797440648672,0.802973668605839,0.875454476402612,0.76296150462872,0.831113379510465,0.810071907394995,0.830531363310549,0.826124931497803,0.624634688014568,0.813816215361611,0.822698018125709,0.82090866582631,0.81841443578474,0.820897279851145,0.819305922377123,0.771475446530447,0.818398615235577,0.861202215444859,0.806801029017213,0.810208726587302,0.811656339598445,0.676897180244505,0.946716748222317,0.856080019911088
