"","Aethomys namaquensis","Amblysomus hottentotus","Antrozous pallidus","Aonyx cinereus","Artibeus jamaicensis","Atelerix albiventris","Balaena mysticetus","Balaenoptera musculus","Bathyergus janetta","Bathyergus suillus","Bos taurus","Carollia perspicillata","Castor canadensis","Cavia porcellus","Cephalorhynchus commersonii","Cephalorhynchus hectori hectori","Cephalorhynchus hectori maui","Cheirogaleus medius","Chinchilla lanigera","Choloepus didactylus","Condylura cristata","Cricetomys gambianus","Cricetulus griseus","Cryptomys damarensis","Cryptomys hottentotus","Cuniculus paca","Cynopterus brachyotis","Daubentonia madagascariensis","Delphinapterus leucas","Delphinus delphis","Desmodus rotundus","Didelphis marsupialis","Echinops telfairi","Eidolon helvum","Elephantulus edwardii","Elephantulus myurus","Ellobius talpinus","Enhydra lutris","Eptesicus fuscus","Equus caballus","Equus quagga","Erethizon dorsatus","Eulemur albifrons","Eulemur collaris","Eulemur coronatus","Eulemur flavifrons","Eulemur fulvus","Eulemur macaco","Eulemur mongoz","Eulemur rubriventer","Eulemur sanfordi","Eumetopias jubatus","Galago moholi","Georychus capensis","Globicephala macrorhynchus","Hapalemur griseus","Heterocephalus glaber","Hipposideros ruber","Homo sapiens","Hydrochoerus hydrochaeris","Lagenorhynchus obliquidens","Lemur catta","Leptonycteris yerbabuenae","Loris tardigradus","Macaca mulatta","Macroscelides proboscideus","Marmota monax","Megaptera novaeangliae","Meriones unguiculatus","Mesocricetus auratus","Microtus guentheri","Microtus pennsylvanicus","Mirza zaza","Molossus molossus","Mus minutoides","Mus musculus","Myocastor coypus","Myotis lucifugus","Myotis myotis","Myotis vivesi","Neophoca cinerea","Neotoma cinerea","Nyctalus noctula","Nycticebus coucang","Nycticebus pygmaeus","Odobenus rosmarus divergens","Ondatra zibethicus","Orcinus orca","Oreamnos americanus","Otolemur crassicaudatus","Pagophilus groenlandicus","Parascalops breweri","Peromyscus maniculatus","Phoca vitulina","Phocoena phocoena","Phyllostomus discolor","Phyllostomus hastatus","Physeter macrocephalus","Propithecus coquereli","Propithecus diadema","Pteropus giganteus","Pteropus hypomelanus","Pteropus poliocephalus","Pteropus pumilus","Pteropus rodricensis","Pteropus vampyrus","Rattus norvegicus","Rattus norvegicus domestica","Rattus rattus","Rhabdomys pumilio","Rhinolophus alcyone","Rhinolophus ferrumequinum","Rhynchonycteris naso","Rousettus aegyptiacus","Saccopteryx bilineata","Scalopus aquaticus","Sciurus carolinensis","Sciurus niger","Smutsia temminckii","Spalax galili","Steno bredanensis","Suncus varilla","Sylvilagus floridanus","Tachyglossus aculeatus","Tadarida brasiliensis","Tamias striatus","Tamiasciurus hudsonicus","Trichechus manatus","Tursiops aduncus","Tursiops truncatus","Varecia rubra","Varecia variegata","Zalophus californianus"
"Aethomys namaquensis",1,0.811305847453405,0.774026966859335,0.831898335053883,0.778564804936287,0.746708188242121,0.461510968515368,0.61529345545341,0.828639758571429,0.767382950549671,0.789408403836508,0.766858930605358,0.822847034696939,0.811313623741719,0.599514674712151,0.755702151031741,0.524888121613298,0.828065530487225,0.820864394695821,0.738773718357211,0.80947660151699,0.862893024649408,0.861483603718121,0.765950702089947,0.784559937573465,0.81016255765818,0.755029733459493,0.782352334229875,0.663790065692809,0.597567551635348,0.742474111387235,0.774245576037384,0.756628400415532,0.675325692565459,0.815715519142773,0.68911348853214,0.865389575299728,0.831508936610196,0.795243909843859,0.744173352574911,0.827753630519418,0.797609133754989,0.824819057810973,0.825940362884067,0.826543065920415,0.826094594488588,0.827733463590418,0.826613966214503,0.802051319940543,0.806191706865569,0.821602275972767,0.811593054415576,0.822562187711672,0.796256231635525,0.722999051378607,0.83092104356373,0.777916171640369,0.755930054505043,0.802725654321981,0.776683087425845,0.494319193227259,0.826706633647045,0.716953014778127,0.801604971543226,0.829423820283864,0.776141248835699,0.842422902168233,0.5718326669121,0.858436850433773,0.859074511606883,0.87766929562097,0.88286076981514,0.81298619114063,0.786949492461389,0.889498198463013,0.906261188646432,0.803635007225585,0.806100535964158,0.774883999611421,0.788218789671122,0.801853004231442,0.872336559899863,0.789807033632049,0.774895876711008,0.80525525601454,0.805806486091909,0.872090302026961,0.43339902939617,0.823637344012173,0.817288393242328,0.825478412302447,0.815977863462433,0.877584555997903,0.808893810034148,0.628864486755139,0.785152623621084,0.764915046060149,0.550692915549515,0.807501750948783,0.798055097356587,0.651107925711672,0.723747881088041,0.675909870103333,0.739240526801935,0.664207545581813,0.682442968961749,0.872561767271665,0.883248053766866,0.865957617409553,0.931732246473328,0.783786735654621,0.824617362219657,0.76753977282856,0.781261231484958,0.783336466864995,0.812856464169902,0.836318153080414,0.814100147322805,0.803674330167873,0.845076949489215,0.54592080467919,0.758275993658979,0.798933421979345,0.650807931797722,0.779749819942867,0.841028377732131,0.824066056808261,0.76415686708036,0.744339717199071,0.672752754451869,0.809384775483206,0.830043027448088,0.803392995112967
"Amblysomus hottentotus",0.811305847453405,1,0.771890321007586,0.830273204365414,0.777664733119981,0.757910305140689,0.463721396946534,0.630891307641256,0.816099385987878,0.798516558659013,0.804288499068146,0.776166258933489,0.802298179762701,0.810091655941583,0.603983357987302,0.762921349875864,0.529652670481389,0.830483302424935,0.812569317058765,0.781723325524593,0.810514596003485,0.800474504309352,0.806399191786457,0.798833486446606,0.810885475080361,0.820917247644875,0.757490245167814,0.807204371610091,0.649157569694849,0.59406665523964,0.747387096173439,0.760437773565039,0.805931398268698,0.679794550601521,0.83887935453742,0.708039075637449,0.804003029038114,0.82246673352855,0.793038773088176,0.762779023129549,0.830736144764337,0.796050535564333,0.824287497408229,0.828660319045339,0.824310669455864,0.826378005783933,0.824137663625257,0.822245014567757,0.798532159784711,0.820487497375361,0.816149007785548,0.810629711128324,0.814217855185827,0.814135043140737,0.729449071359902,0.821300527296666,0.781092383936894,0.754726238769273,0.804475062965303,0.789022947282249,0.499268829713471,0.830436841747059,0.718308671927875,0.799422397525018,0.825139403853254,0.790373520630975,0.838151494663845,0.575069626597139,0.804465261246005,0.814072243530023,0.819785091783452,0.819329618972934,0.813215001068015,0.792110169331663,0.827746961699286,0.828734091013557,0.791530936354505,0.805303927913987,0.770774396089634,0.782375721873735,0.80370024251502,0.820854821327313,0.788254907554176,0.798840180780553,0.809152363759652,0.810430006134702,0.814451782767755,0.442110517454244,0.830965327634767,0.822804738287907,0.835455524439557,0.825230651072256,0.822228776909433,0.81826729529697,0.619441512294293,0.798715299067105,0.772466505928114,0.563713501715595,0.812259217698947,0.807134547676845,0.655323308565124,0.728271994170848,0.683432379838519,0.741233285494017,0.665742369821849,0.684364072352749,0.793916619450293,0.810955333444259,0.812701718739667,0.81015057212235,0.789432324266358,0.815859362487715,0.7773190423359,0.781487153974906,0.78993190951093,0.814967421111499,0.83826683578914,0.81073425514691,0.81057009516002,0.826427056416261,0.547637748101898,0.745219364044393,0.791044711679473,0.65170986300316,0.779242243373391,0.834185097483462,0.821137934114152,0.769216165367891,0.738058572949223,0.669699488563524,0.815796441085757,0.828578880209299,0.817832921737342
"Antrozous pallidus",0.774026966859335,0.771890321007586,1,0.80866383522644,0.821508089716004,0.701936446322221,0.474145975948099,0.639768167452547,0.778806492294458,0.738295190037948,0.748078077054476,0.82464262821939,0.775420041483042,0.766579696450924,0.622755305140719,0.753161310863197,0.540807614431637,0.800520555779496,0.790126701124008,0.723087603576366,0.793239187639057,0.785075331586985,0.768218966492056,0.737268951069197,0.754513068247819,0.782647994002237,0.794981565985564,0.74781098126861,0.674481936231861,0.613533510173551,0.79772318150829,0.737645880540786,0.725209828751777,0.70832457784336,0.761269123510804,0.648928280146731,0.790526456372535,0.79522176371716,0.918561654212615,0.705190519463889,0.796182951277435,0.780642099611332,0.796684016430258,0.795567331869465,0.79731256991084,0.795698831337116,0.796418618013001,0.798022576048507,0.785585801564572,0.781736630267684,0.791071186265703,0.788804717003286,0.788773324012233,0.759750686383797,0.722732149515751,0.803856187643651,0.765325002511704,0.772044234912765,0.76726377052604,0.746464934166554,0.51622619897769,0.797001872701868,0.775120016434426,0.780791322741635,0.803314890557403,0.736636741451724,0.796991918062881,0.59717604372856,0.766586505977851,0.788905475425561,0.79584819740906,0.792744197956954,0.799917153879325,0.836017343075131,0.77450286270962,0.79441014125415,0.771703085725634,0.90592816426421,0.867170049221989,0.893480261537735,0.782482294442794,0.787400025386303,0.89131590925365,0.741198256650218,0.774596864925518,0.786814093141661,0.780979184530088,0.451436920986237,0.786312037455058,0.773779096733433,0.799779453188883,0.793424967947179,0.794391685339055,0.79013370117519,0.647056812049173,0.817885318062694,0.816386887412466,0.575121858016441,0.778588820017437,0.767888281194228,0.688112686027602,0.755349724445043,0.715293961311827,0.770957931405556,0.700366115782642,0.717961584326603,0.76960576884098,0.781577069407354,0.752916539258662,0.77265188883085,0.805761237596088,0.829833250615157,0.804345713207795,0.799588056713922,0.816817941452831,0.79404536758036,0.800482757416889,0.788370547852889,0.778761687644875,0.784417390020552,0.567232537652658,0.730669505180104,0.764604285794895,0.63268629368421,0.8449757633548,0.801471038616973,0.793992700061371,0.758817923370167,0.74482229735794,0.688592343654013,0.785761025615331,0.798156854502539,0.771649517522923
"Aonyx cinereus",0.831898335053883,0.830273204365414,0.80866383522644,0.999999999999998,0.826162570569688,0.739946650507764,0.518755288893045,0.692432165569983,0.830949490785411,0.789866057105158,0.838021384007658,0.81669224926998,0.847529606305923,0.838448645927699,0.673382399243356,0.812914866264491,0.588959256008537,0.877048138013735,0.854008285375826,0.774669830333978,0.855495080045155,0.858921878589196,0.827979649067238,0.783782619625453,0.803231767960268,0.843326196345271,0.796086950809214,0.811923268838274,0.726407400819228,0.669630606091312,0.789618288329575,0.789005831130425,0.778648177685918,0.721983259251594,0.808681113298135,0.678046106032198,0.844783313430179,0.956317201045243,0.836924805648518,0.779347376264448,0.870909709342269,0.842000134817847,0.890027456104746,0.886843200488212,0.889256323122341,0.885328292375948,0.890231291142142,0.888558593873513,0.872132500999855,0.860339295398202,0.892548796495397,0.909440249835547,0.868645425557118,0.809555036095674,0.7802714664452,0.891925634400838,0.81709126311827,0.795049275704451,0.851161003758903,0.802717436171816,0.566225400748847,0.869361600515077,0.752102370280301,0.850369091806469,0.891112230994464,0.783857386351942,0.858211698697377,0.647956712433252,0.822732639723156,0.847205911954766,0.851131152072232,0.850342167768311,0.878608576115832,0.820955945394817,0.820648688378195,0.858615879036028,0.838613922180043,0.845788860041445,0.796094198417277,0.821675550718576,0.898455697416879,0.860529502182082,0.815066829154134,0.802218130977354,0.848794161498516,0.893550915341202,0.849895120513129,0.497739476890855,0.870025629009201,0.854397376988419,0.903602185186927,0.857704263613901,0.864081724945654,0.901815989013034,0.710938467461803,0.820152644045716,0.807603336082481,0.623500499606756,0.862492367686584,0.855829916674228,0.702279278058831,0.774016644348216,0.727461970274269,0.785230959141776,0.713692757134989,0.731765253878794,0.834214613807286,0.854380085270048,0.809656439974247,0.824676939874986,0.82203629185638,0.851990993151808,0.785758251511952,0.826381393920556,0.796134808409553,0.85693156690308,0.872688525404407,0.85153592306742,0.828262427369266,0.845564013813297,0.624511394714462,0.796027400523823,0.843643257582888,0.696799794009619,0.820372617698256,0.868773097443527,0.858975892786604,0.810366714869831,0.802318752754631,0.74415844207294,0.851506275285854,0.881730675038133,0.878438637603639
"Artibeus jamaicensis",0.778564804936287,0.777664733119981,0.821508089716004,0.826162570569688,0.999999999999998,0.709421543187917,0.496046751631769,0.659957416792676,0.785567489418898,0.752709033788058,0.764561727701683,0.91154765365173,0.776949201566583,0.775032763927229,0.642695111104869,0.770161110374405,0.555322034370963,0.822113474046216,0.799940262329918,0.734025289106219,0.792758974829809,0.794420706468228,0.783390758940281,0.752793056117135,0.766024212391747,0.786798035231665,0.801893511107068,0.76876146590611,0.696301459526026,0.638156744131725,0.870938148213409,0.744545876674856,0.73716044524037,0.718059015112619,0.772617820747806,0.675774721961616,0.804960900028933,0.809097492102227,0.858278988648548,0.714947042747141,0.804516421069385,0.787166556684379,0.82239279279237,0.82084203491413,0.820066732218438,0.824249279372032,0.818631314013246,0.825990757351313,0.812277684330015,0.807270228394589,0.817867268577375,0.811934278864061,0.802015483848261,0.77160449398567,0.740866633268654,0.82359442561322,0.788326112838261,0.786677055664245,0.796012694951816,0.755516806761858,0.540148358353032,0.806236266622177,0.851027455856982,0.799038988177028,0.821365751093782,0.751215992019748,0.805736484566924,0.620597746500806,0.772278554251105,0.803810465099194,0.806361603208732,0.804933827997135,0.821876294275331,0.838379364891328,0.777738919443699,0.804247268918953,0.77596136883155,0.85053307157199,0.817071908490598,0.830954575951806,0.81213302412068,0.799984536423551,0.821339994905588,0.76102626017953,0.796034572278401,0.808048161829907,0.791588108069956,0.467848137244768,0.811448257178241,0.795081244018553,0.81405104636505,0.799876451938893,0.809078940758156,0.80515962480248,0.68231464630019,0.891556564311355,0.901146218888563,0.598369372281015,0.801111626019116,0.791869700018268,0.700677995417889,0.770266058422131,0.727728872315963,0.782677467243629,0.711563643963793,0.730182803403641,0.778295794792076,0.786103473554646,0.760976428818903,0.782972705022691,0.813775294936655,0.841600452606242,0.815331667384826,0.820623054422628,0.818580588335255,0.80548228359561,0.811005725000786,0.796457154537423,0.78557100627565,0.79450063311123,0.589062918431783,0.734698266035295,0.771770120324965,0.647851477167258,0.84472738717322,0.804657384157665,0.802217731456511,0.776006889284076,0.765651948069204,0.712805220940169,0.80526644929211,0.811111970569465,0.796381704908206
"Atelerix albiventris",0.746708188242121,0.757910305140689,0.701936446322221,0.739946650507764,0.709421543187917,0.999999999999999,0.400563455106414,0.547978674217277,0.762881613308918,0.754555167747323,0.718483766644318,0.699875494230635,0.715065383601766,0.737211496819082,0.534147340003854,0.687076357361553,0.465756044093396,0.748772159123102,0.734742094645099,0.723564638318938,0.736070075424355,0.736298144579485,0.738786563160734,0.751954749908907,0.767389384943548,0.735656965200468,0.680911344034605,0.746671320407319,0.576150740199141,0.529624757657422,0.670996897493102,0.705510089293972,0.732836456052492,0.602587417448954,0.761511024787567,0.662868833766843,0.733652989220585,0.737734621951273,0.717504170841511,0.68671291378163,0.75052710553575,0.713145049922029,0.740706823752818,0.744993569012367,0.737858513614975,0.740963074416766,0.736190217762809,0.738141855679328,0.718487866732162,0.752101103088333,0.72663811502864,0.734504219768596,0.727547470177437,0.767571892193524,0.658998229712543,0.735212023818195,0.711551951154773,0.678996987645265,0.719155783230524,0.717833231909754,0.429036471455703,0.749991166116974,0.645853186381945,0.720229603383158,0.733318215711242,0.723988663432839,0.751288287828333,0.502932656426623,0.726727669510771,0.745442091683685,0.745308674376883,0.748425787319096,0.720017487791156,0.717844374109626,0.753011725430263,0.752798259100552,0.711157001426224,0.724769111469574,0.70112327987722,0.702398287701227,0.727519401218948,0.743395191618183,0.719063932400704,0.730171624936294,0.735339648050238,0.735586519945522,0.733335159273951,0.38588428000214,0.7509054990484,0.753393614818474,0.761639045662497,0.75155412311977,0.750315151944767,0.732016639353286,0.540212971218804,0.725295759806995,0.697929730065026,0.480943405238729,0.724051101114903,0.717137262951238,0.578429073725191,0.648586461297795,0.601474033799619,0.659997998122453,0.587642011207363,0.604541444458682,0.711300679322688,0.727037180067217,0.745607501127439,0.736959964481418,0.714990523127886,0.736923285883135,0.704711184587952,0.711688822864148,0.718761411384004,0.752168485782105,0.74684581717437,0.717525853480687,0.744540906806809,0.747257723936362,0.488253754716657,0.673874691475396,0.715000752649018,0.606663311147536,0.707716837950286,0.745416238840409,0.724835708403403,0.676801278051993,0.665462079503646,0.599485216452997,0.73295897251043,0.738336230986445,0.749058001126739
"Balaena mysticetus",0.461510968515368,0.463721396946534,0.474145975948099,0.518755288893045,0.496046751631769,0.400563455106414,1,0.750055504480147,0.468571171244171,0.431195642055038,0.57175327740189,0.526877580728274,0.489747356832709,0.475842988706681,0.725347009274897,0.625690083208293,0.749517067758315,0.498702243484456,0.486612521907901,0.415445295550891,0.516860371765974,0.474981325688008,0.475725442694232,0.434974529363916,0.438059250782746,0.500625548752021,0.538985615301657,0.470601214610199,0.746776125145027,0.752578464306708,0.547971224675706,0.428501723278527,0.416301211452525,0.570197686612183,0.450131023087476,0.35733582893947,0.474603070287778,0.518076853794223,0.496425935048156,0.539442925906544,0.522712765569719,0.480043324746448,0.512090375252756,0.51465160723288,0.509962061510573,0.519885632550944,0.519570582693459,0.522616963739212,0.530763970172305,0.499267006693874,0.510010758046787,0.491100161454365,0.506115115791658,0.450326724318965,0.682391240371366,0.523609968189823,0.468074484667415,0.569058452117427,0.569074231703329,0.474245007043309,0.761372536765233,0.502469814112497,0.563476201236512,0.496101729611842,0.563506197280912,0.439414065097177,0.510742342884058,0.808587881438458,0.468577274280704,0.466872202200523,0.469719030707183,0.470276720187442,0.510275761941333,0.541601468931014,0.453634985105073,0.477958337687451,0.473942591173679,0.512267151547201,0.458989122257676,0.496514222924304,0.492953499793203,0.480962183241085,0.473630848612026,0.437659877831956,0.480523702548069,0.537318385024239,0.480618330530944,0.765909477561608,0.524570743167204,0.473183820987688,0.512711004494086,0.522272627856306,0.474714966188348,0.545116813532334,0.698222084171952,0.496694177720512,0.523392746267813,0.730047577749134,0.544026939458317,0.54400889171007,0.590325828070048,0.578985859231085,0.589675531381152,0.577209736851903,0.589779539791108,0.58695295165569,0.497666112341615,0.473691887148495,0.454462587133951,0.459836043423388,0.524729924929931,0.53997186675511,0.491114320424425,0.534467642709155,0.487504346159269,0.506104646411016,0.518692354330439,0.548632984674869,0.488515018096075,0.496967674269494,0.74269964744219,0.480608598892306,0.476748784869538,0.370045953140609,0.552550035837053,0.529834962495695,0.531861651990146,0.50861378329871,0.680280513108077,0.718624284999183,0.537776951338977,0.518029656366389,0.496624551504712
"Balaenoptera musculus",0.61529345545341,0.630891307641256,0.639768167452547,0.692432165569983,0.659957416792676,0.547978674217277,0.750055504480147,0.999999999999998,0.644235355397966,0.605596256455668,0.720557621110038,0.678502855869657,0.65048751980609,0.641516037141181,0.798871317800795,0.804903772128846,0.774511415132182,0.687098755246229,0.661393139325234,0.578194367173081,0.682808826562155,0.64251521406146,0.636683215507493,0.60563640520814,0.611479321563764,0.67583152111046,0.689965091251753,0.639671895149241,0.797727108314581,0.815633079939871,0.6832787751901,0.608171875327201,0.579542036069368,0.69420851708571,0.609600245660551,0.499449112970643,0.642699282196693,0.680734158928024,0.67044683594678,0.683325787993436,0.694748190321088,0.660491235965161,0.693709596192135,0.698094459506302,0.694173389848415,0.702711508933998,0.699337251203829,0.703059246294014,0.700795315313834,0.681883967526255,0.692759192838156,0.682141630053159,0.678794902348133,0.620216789423804,0.831320301854304,0.698729249570485,0.649246926359916,0.713552818266761,0.732487288776738,0.646069978806203,0.7553647264905,0.685596288097244,0.678616782402621,0.668614725300549,0.730319416338651,0.601111906640803,0.681770042817608,0.883675580993832,0.632820380703938,0.638836089994218,0.650064306118855,0.64691975073889,0.691374251318192,0.689903951761019,0.623591719013477,0.652788897470304,0.637038042393626,0.679807415003414,0.610686606102679,0.664648922763385,0.690199906761264,0.648506397873683,0.637736722309741,0.609970675520998,0.662254416925768,0.713695302753419,0.645939824176455,0.711262997311524,0.698421422524146,0.650773232040469,0.691848934300751,0.690228186598055,0.649292460545061,0.719219596867383,0.794109927460934,0.664167549865412,0.677072345598324,0.802158005279472,0.716774132061709,0.709991311590396,0.682590905761705,0.702330041616928,0.693895320849508,0.705147906857954,0.681267189566642,0.692618637003297,0.659232338470251,0.638435404907962,0.624640310936883,0.623517447730271,0.685628690716539,0.695207201092426,0.641826918085287,0.69315735643369,0.638545386447127,0.684441781267013,0.691730643721281,0.705525932679236,0.66835243523188,0.660027000790111,0.791098065947263,0.61634404140106,0.6413263131619,0.536602416888987,0.698635116439231,0.696963270135063,0.695058276910248,0.663960511843925,0.820361458912873,0.833602624681913,0.707535870231431,0.690424045157954,0.683365055102078
"Bathyergus janetta",0.828639758571429,0.816099385987878,0.778806492294458,0.830949490785411,0.785567489418898,0.762881613308918,0.468571171244171,0.644235355397966,1,0.930876252719827,0.798248565502609,0.776050844726463,0.816096621873873,0.852280666367291,0.606629273960132,0.766420101397128,0.535968689193133,0.837379048036541,0.861128353427866,0.774544522152905,0.812533328042088,0.81617339011336,0.811855893098421,0.903729469428597,0.923919618425206,0.86713509725932,0.758957658614571,0.804973292085964,0.657807708123511,0.60717025480378,0.750280413353346,0.77418990225675,0.781361769425693,0.686677977543403,0.81988106566782,0.681833708526268,0.824194720223821,0.824953652164795,0.800424271445061,0.759248895115585,0.839261217551475,0.847835380951909,0.833149991259888,0.834262340723492,0.829247035650276,0.832062423373394,0.828332450489221,0.829046393031174,0.80450809045672,0.826319696396182,0.822439362543016,0.823815563377124,0.818135033467502,0.934248837767472,0.732683073471098,0.828265286126123,0.856140296269668,0.759416059896617,0.811804205377317,0.836689715312801,0.503074583791016,0.8365801815914,0.71872517159493,0.808592070278914,0.836065791426681,0.777381708865928,0.845375750479952,0.593037938529535,0.807559326034484,0.825601863809343,0.834196882761203,0.835966037788879,0.816179676735598,0.799753904300316,0.825218264510916,0.835892211134708,0.84181406173943,0.807764280430242,0.773884310176547,0.787204573608907,0.817872341792927,0.828576191651298,0.790448537079709,0.790545814700027,0.809978574392817,0.815121665103113,0.822094630651766,0.447844658837245,0.830839011574725,0.831530681630202,0.831829751342736,0.827939615872102,0.834301366172878,0.814482785583929,0.636596594745434,0.793567393059722,0.771560779405853,0.558660499350352,0.814038876355083,0.80570369310255,0.662868764757395,0.734134293966445,0.689409139241384,0.74722951394702,0.672990129836735,0.6933020167412,0.791497771282503,0.810041974758564,0.808298059189068,0.820860011162359,0.79548034432126,0.817512652153066,0.766235739011291,0.785588902952713,0.783858324624003,0.820706953400997,0.844325470271204,0.816668390378666,0.816158013492827,0.828494825635985,0.560613144587485,0.741990908879163,0.802276998083295,0.673030759570057,0.78938104650502,0.838873166619069,0.826930786489077,0.760812261924472,0.748631329342947,0.680297627181969,0.820096225806163,0.832177012444518,0.824138689322721
"Bathyergus suillus",0.767382950549671,0.798516558659013,0.738295190037948,0.789866057105158,0.752709033788058,0.754555167747323,0.431195642055038,0.605596256455668,0.930876252719827,0.999999999999998,0.777063874682258,0.741227090177637,0.775689596916707,0.813720018041697,0.579207643212383,0.750294234570522,0.512818912373953,0.820086757989955,0.823556468569273,0.805780731577575,0.779315402864266,0.769048652984415,0.782851298576097,0.951146564262003,0.95691630351233,0.836643301346627,0.722660148434528,0.838209195111836,0.614923812267598,0.576098995486221,0.721257691850536,0.758838110684243,0.78689838240264,0.658748003923353,0.805487303096264,0.669420962230892,0.782182825273116,0.775076090870562,0.766645329485116,0.752313995895124,0.818055610490754,0.803558321990425,0.808444461997124,0.816759622497911,0.799225645024584,0.808006954301515,0.798111866450748,0.801249868830544,0.774118476070466,0.827904402220245,0.79127054896414,0.796706779656166,0.783866611822277,0.958886972919721,0.701058685212259,0.794446714181899,0.834179257394472,0.730566119838432,0.789242208277639,0.809040096827709,0.471866208106802,0.812500417722102,0.682291838449668,0.777722885212497,0.801664576553052,0.755672122977698,0.81813654931746,0.548929980050951,0.768297819378789,0.794908077738468,0.797706710652226,0.794822512493677,0.783868042991877,0.768192520636751,0.811207402118737,0.804532677775894,0.791748229534801,0.77469663466237,0.719319818461132,0.750086199458995,0.797921120084375,0.785849714823363,0.755582282456285,0.816382403649663,0.786060593165622,0.78754668405559,0.778803406764729,0.415953544316033,0.811640160754258,0.827875617960389,0.807059421117434,0.808646746713317,0.801488592962976,0.785750055435787,0.609065446858075,0.77450285071119,0.745878634887724,0.523735593664681,0.790829165739459,0.789480167112658,0.634099420701092,0.704805787038008,0.659860898909039,0.712726794113776,0.642612130550135,0.666382228356291,0.754041416738483,0.765966052399135,0.808584428857705,0.771316124692484,0.767365303943596,0.778784918222965,0.722492352611871,0.757720937422868,0.735275232046679,0.800616345607545,0.814518019322062,0.779609174300814,0.797759203361453,0.801731565742978,0.533425486169212,0.68086846519123,0.761518647025132,0.66459727686741,0.749183228719026,0.807919031278875,0.786783392027547,0.726843018935085,0.714416183142694,0.646699325343866,0.800171988616963,0.800899578883611,0.823361460153057
