"","Acinonyx jubatus","Addax nasomaculatus","Aepyceros melampus","Antidorcas marsupialis","Aonyx cinereus","Apodemus sylvaticus","Bos taurus","Callithrix geoffroyi","Callithrix jacchus","Canis lupus familiaris","Capreolus capreolus","Cavia porcellus","Cephalorhynchus commersonii","Ceratotherium simum simum","Cheirogaleus medius","Chlorocebus aethiops sabaeus","Choloepus didactylus","Choloepus hoffmanni","Chrysocyon brachyurus","Connochaetes taurinus albojubatus","Crocuta crocuta","Cryptomys hottentotus","Daubentonia madagascariensis","Delphinapterus leucas","Delphinus delphis","Diceros bicornis","Didelphis virginiana","Elephas maximus","Enhydra lutris","Equus africanus somaliensis","Equus caballus","Equus grevyi","Equus quagga","Eudorcas thomsonii","Eulemur albifrons","Eulemur collaris","Eulemur coronatus","Eulemur flavifrons","Eulemur fulvus","Eulemur macaco","Eulemur mongoz","Eulemur rubriventer","Eulemur rufus","Eulemur sanfordi","Felis catus","Galago moholi","Gazella leptoceros","Giraffa camelopardalis","Globicephala macrorhynchus","Gorilla gorilla","Hapalemur griseus","Heterocephalus glaber","Hippotragus equinus","Hippotragus niger","Homo sapiens","Hystrix cristata","Kobus megaceros","Lagenorhynchus obliquidens","Lemur catta","Litocranius walleri","Loris tardigradus","Loxodonta africana","Lynx rufus","Macaca mulatta","Macropus agilis","Macropus fuliginosus","Macropus giganteus","Macropus robustus","Macropus rufogriseus","Macropus rufus","Marmota flaviventris","Microcebus murinus","Mirza zaza","Muntiacus muntjak vaginalis","Mus musculus","Mustela putorius furo","Nanger dama","Nanger granti","Nanger soemmerringii","Nycticebus coucang","Nycticebus pygmaeus","Odobenus rosmarus divergens","Okapia johnstoni","Orcinus orca","Ornithorhynchus anatinus","Orycteropus afer","Oryctolagus cuniculus","Otolemur crassicaudatus","Ovis aries","Pagophilus groenlandicus","Pan troglodytes","Panthera leo nubica","Panthera tigris","Perodicticus potto","Phascolarctos cinereus","Phoca vitulina","Phocoena phocoena","Pongo pygmaeus","Procavia capensis","Propithecus coquereli","Propithecus diadema","Propithecus tattersalli","Puma concolor","Rattus norvegicus","Rhinoceros unicornis","Steno bredanensis","Sus scrofa domesticus","Sus scrofa minusculus","Tachyglossus aculeatus","Taurotragus oryx","Tragelaphus angasii","Tragelaphus eurycerus","Tragelaphus imberbis","Tragelaphus spekii","Tragelaphus strepsiceros","Trichechus manatus","Tursiops truncatus","Ursus americanus","Varecia rubra","Varecia variegata","Vicugna pacos","Vombatus ursinus","Vulpes vulpes","Zalophus californianus"
"Acinonyx jubatus",0.999999999999984,0.8825528909804,0.87424760146487,0.88551083538222,0.909692595324892,0.83721428123745,0.886840778803193,0.86067107365153,0.865848009159752,0.914819652072114,0.883141304628848,0.814734484817328,0.875225330852704,0.88011128597909,0.853718621259838,0.89731278540373,0.818463514875887,0.820447861173788,0.907479509802244,0.885212883503313,0.928592159945593,0.800406046297781,0.86883658664929,0.876612835026186,0.891596542201167,0.8754718528945,0.727321725944374,0.877006809192797,0.897868202764527,0.884659729137223,0.885496152393645,0.884937604727375,0.886860566148575,0.885919878173693,0.860366672400275,0.886995887087098,0.880380004907536,0.877733249191833,0.878655751212613,0.879316539014634,0.883663567514621,0.884307030379017,0.882067399798693,0.88089106506081,0.981201278724949,0.853602910179836,0.890166230079575,0.884988951731646,0.886940570479803,0.885746585547806,0.874514015450249,0.815421221678699,0.889105982695891,0.886152222278417,0.89528255250944,0.846570689131192,0.884362024939035,0.888997318994005,0.878432640189813,0.88377418895788,0.808588271245384,0.881008997083553,0.976623696640858,0.892442578041946,0.757246587832276,0.758896105012225,0.754199037205815,0.753802917982498,0.756395672002045,0.76050653645732,0.870691569132207,0.876318864826593,0.860012924186543,0.881652568912364,0.862352081162687,0.900759737186707,0.896235112613432,0.892706153735928,0.889894442773442,0.799895485808357,0.805133707191432,0.889286576428544,0.884149240038766,0.884561698953805,0.713921398767954,0.833644594048324,0.80619726004277,0.831094953818638,0.888399153113293,0.895902290462146,0.886166254693961,0.976039347011319,0.977449725189407,0.841347367119794,0.783694414968357,0.897459763911927,0.872758771902298,0.883664385255776,0.811618559878785,0.878706728922887,0.869245644540722,0.866122201700494,0.98149213938847,0.85749469587489,0.881952804441381,0.8797380274016,0.893378442986967,0.89110457515747,0.696669688106892,0.884938967649861,0.884457534877605,0.883909247011726,0.889209586241867,0.88639935670075,0.882255412225612,0.839712312268037,0.887208440965524,0.913725024402438,0.871326469268225,0.869308614419512,0.887626250181177,0.747607987966742,0.910477885109476,0.896246920552381
"Addax nasomaculatus",0.8825528909804,0.999999999999967,0.92902902236916,0.933728851183771,0.868189476881916,0.808629575115056,0.921373053061909,0.845151888035834,0.845754701616812,0.873745010562872,0.910924485130218,0.800532280950491,0.874272906161347,0.855273188782502,0.837140331403988,0.874678248968949,0.798118542466903,0.799111282044594,0.863491900761562,0.953069229662124,0.871249165989617,0.779298831702481,0.839245277730329,0.871876752584747,0.883604100787928,0.852439663230142,0.7293761685634,0.844401332211947,0.857502299444076,0.862676115372925,0.8631715357531,0.863592140638492,0.866917711687665,0.928951726291662,0.849459748332013,0.866627076782244,0.860580073501174,0.859735653001924,0.864637889358554,0.864362813379526,0.863172853050338,0.86078732447117,0.867322036554088,0.864493992082242,0.88559934100159,0.828909464570901,0.934931304095371,0.914427980008851,0.878154230631075,0.854971183372613,0.854110160458692,0.795273764528374,0.968269842290495,0.968760804106421,0.861466629600887,0.837708062447896,0.929460277518557,0.882689305708606,0.854525588868698,0.932061330301202,0.793913902688456,0.847935509692455,0.87577794101401,0.874359314052282,0.748538572907539,0.746065511503726,0.741909709439441,0.73833114809711,0.74435858770707,0.745475368891236,0.851803735993615,0.853256934122073,0.840874047518694,0.916697827417462,0.838747706847617,0.863410232740475,0.933110822979695,0.931571038435898,0.933190622790681,0.784221018593387,0.788677555926092,0.848067701458594,0.909363509152169,0.87621201251733,0.715127095764806,0.81699711738715,0.80640368294102,0.807018079094383,0.947311947124823,0.85292030221591,0.854897338947156,0.880528631386844,0.882516606359668,0.822962474710844,0.769981648012552,0.852335210894807,0.871724649609892,0.857893647604793,0.792318337502643,0.862812484423066,0.855250777219429,0.854452945343978,0.884181614783515,0.83894176331963,0.85801738203797,0.8767424945012,0.883869497320781,0.88128714262066,0.692547562333356,0.922095663843564,0.924717534801404,0.922541393199405,0.925156013271479,0.927045210199502,0.922831846650524,0.82313083306792,0.880334007142114,0.864899983924217,0.858809010028459,0.855021776574209,0.872119161896583,0.738614178041164,0.870036261570037,0.852040039403144
"Aepyceros melampus",0.87424760146487,0.92902902236916,0.999999999999984,0.934970706700253,0.860348432561217,0.818660856988907,0.933562465449141,0.844188462764089,0.846143561479086,0.871453337864854,0.915424197707059,0.808846662944693,0.877319648894304,0.858182606201315,0.842203426714654,0.873888783096536,0.801422920782747,0.807793320320057,0.860710181399428,0.936516748313324,0.865960280093544,0.784104356234656,0.83874550737215,0.869700559309703,0.883341200098913,0.855255487378392,0.740322176594903,0.849791990873971,0.857603950570902,0.864887360904777,0.868805842572045,0.863477954345548,0.870058009754114,0.931450016745384,0.842491216189847,0.861857360547152,0.860418209724963,0.852870742915539,0.859401793444183,0.856826546297249,0.859606183235971,0.853442715022555,0.860454544034247,0.85859935759584,0.877749951575865,0.827967585766321,0.938973088590372,0.90577465036363,0.880647562529861,0.857527923399215,0.850455378899861,0.806999928833123,0.935807421320012,0.938966716457327,0.864084982088774,0.842713795255325,0.934390891836077,0.886582936330685,0.851168249798253,0.934559578548562,0.795193513315209,0.853557524158394,0.869076064555554,0.875991963752349,0.748038501481965,0.749631131101709,0.744806570553116,0.741371991477306,0.743983015194629,0.750236715758012,0.858387772675446,0.852561273275073,0.834627091240172,0.911461627422962,0.842629167307917,0.861468208315024,0.93632934969074,0.93573530796243,0.937766006875938,0.791802039159295,0.793730790358863,0.848418762051031,0.910029266052133,0.874829323298784,0.722020022458162,0.818179053444211,0.807837361222696,0.813119516905342,0.944505313060647,0.845371024398537,0.859283617758247,0.872283910524189,0.873083527762051,0.832477310316251,0.773868452033868,0.846891574442554,0.869509778822724,0.856857169666884,0.7906272009392,0.854155048755,0.851317419870895,0.84045066348793,0.875607916156019,0.847435182775679,0.857670452880323,0.876075158741453,0.892163433144205,0.890694626910064,0.7058483391305,0.915589208955673,0.92590002080984,0.921436241413472,0.922788307964833,0.923145351141055,0.921595264174405,0.828312886987306,0.88143367964941,0.864418807978965,0.851861456019269,0.851088738388424,0.875173761055187,0.74672717820985,0.866470604664863,0.851949604166877
"Antidorcas marsupialis",0.88551083538222,0.933728851183771,0.934970706700253,1,0.876826578524396,0.819092029138747,0.922894685663045,0.851091437619203,0.850324943552809,0.886314908937068,0.911096719979723,0.809415636954167,0.882491257282422,0.868424789017753,0.848215128213877,0.883306276222649,0.811813580330613,0.810947452898162,0.873823364377271,0.938142031498562,0.88128188007458,0.79162295771483,0.846166731077583,0.878510087769265,0.887769189661008,0.864546279192402,0.741636392340992,0.856119507868873,0.866267239203027,0.874311801167919,0.872842112272605,0.873452425711554,0.877221566760609,0.954917512144552,0.859588779103582,0.876497861916086,0.868447853952436,0.869748782078179,0.872886436374402,0.872122473076226,0.873019099178129,0.871786259999423,0.874602755752435,0.873980650147146,0.888567329836033,0.835351225037715,0.962465321781849,0.918681841217978,0.881837472374315,0.865768416899971,0.864292854437184,0.80943546267929,0.939727959444624,0.939822505209661,0.871181111247742,0.842247333031803,0.936370340290008,0.892911691469858,0.869791423063691,0.964413753752518,0.809804619095363,0.85904193835685,0.8785645904646,0.886321564709605,0.755400007414623,0.757626888867007,0.751336013501049,0.751536901707311,0.75250465406736,0.756887349475247,0.859557866321465,0.865068088085422,0.855797895176966,0.917742349999831,0.843054466050702,0.872594531465519,0.962479740393148,0.960646651419926,0.961218676607711,0.801856031630769,0.806489763771963,0.857822022362222,0.924571199715906,0.8781741715453,0.733003512757438,0.82614001152134,0.820227255020718,0.818360522339446,0.940891827487209,0.857354891931606,0.869271757618288,0.88037701533731,0.884703390811531,0.833920946795869,0.775765490105337,0.858021448635675,0.878255216037325,0.869707035635232,0.803357984712168,0.871182458945293,0.865176883120618,0.860326066891281,0.887970689410455,0.851271036267487,0.869096842874756,0.881991064595059,0.893995369666268,0.893362348948878,0.712808971486505,0.922767588625941,0.926008268267815,0.923132242339327,0.926319287668522,0.927168956019062,0.91966125086823,0.831607168080792,0.884793009271483,0.880858815675762,0.869049469729686,0.865737571311644,0.879382437118126,0.750474760802672,0.884376456669549,0.857928614994898
"Aonyx cinereus",0.909692595324892,0.868189476881916,0.860348432561217,0.876826578524396,1,0.819646098733067,0.879867193393359,0.857971761866039,0.860230041648645,0.908415886006442,0.874447925933218,0.809668631839201,0.874960768064431,0.859199274400864,0.848065174860926,0.886474796430452,0.815576342750571,0.814078644582366,0.896482727871897,0.873365559375412,0.898841260464408,0.803696480586675,0.854506798484361,0.864075022008051,0.88299050439145,0.854876994276133,0.726573030453536,0.859685495696647,0.959888973359465,0.868840874145103,0.871894481225248,0.869604585882334,0.874159188639371,0.875410749696889,0.853131461363791,0.874669546219521,0.86755853202487,0.864816291535621,0.869551603568694,0.867627431468061,0.867794315384005,0.873992929312113,0.872118949924039,0.87026632513336,0.917791404910853,0.839748682962924,0.877880230729738,0.876114038319088,0.873097354001545,0.872070060024948,0.865103451337684,0.808689977630383,0.874558049355323,0.872791945965693,0.883937651441033,0.838833970007681,0.871644178263053,0.883697512757991,0.872068663859607,0.871127472404801,0.802002272183492,0.864219989173872,0.906265961444239,0.889604415698591,0.74334245018829,0.748035735221633,0.742015041812022,0.74340811101038,0.742269021425225,0.74812756323543,0.861613447736029,0.864388446126986,0.847759390062221,0.871890576424509,0.839197201890597,0.941328896410064,0.880970047483111,0.878400336891353,0.876265312728585,0.796020514843447,0.802349084016623,0.903015228441415,0.876687697226413,0.88072815014407,0.711005084540929,0.825799057439207,0.806920347112165,0.817272299649422,0.871651400918648,0.902811410321699,0.876984327891015,0.910219241015097,0.912775579635243,0.828632453837608,0.767097366498821,0.904716198019034,0.866642835090494,0.86990933778342,0.801025666343466,0.870278984982773,0.864823457001358,0.85969963726895,0.91075491592837,0.841634285992132,0.861089695662429,0.869957604279937,0.877779319926288,0.87600547652371,0.691508454564466,0.876697588027685,0.87741126615343,0.877058878054312,0.876202085599416,0.875637022114051,0.872038137123618,0.829563129394911,0.882399873829279,0.913840015600349,0.863222435752076,0.862275811070733,0.877822961977218,0.737975886143795,0.903662700499816,0.903263014637638
"Apodemus sylvaticus",0.83721428123745,0.808629575115056,0.818660856988907,0.819092029138747,0.819646098733067,1,0.832549660972334,0.823601348292312,0.83358865736207,0.82419412518078,0.818731955426204,0.789619846818332,0.821824824876339,0.815999480939084,0.816846503413889,0.840431528204772,0.770919291943017,0.786789704728646,0.811439695446416,0.816394092288506,0.828670148977306,0.783136379695469,0.823252872657856,0.81789238123374,0.827451133221032,0.80523728549494,0.718325859522968,0.830322702709957,0.821269568442634,0.816256888321751,0.821075036982383,0.820192306943221,0.825357411102233,0.826738384816627,0.808123876309592,0.835903225298472,0.837190523925152,0.830438875461674,0.826140025060755,0.831511802208678,0.830117727510414,0.830329463540519,0.829660548905993,0.830481126415714,0.842881219826511,0.816381584983126,0.825042475494017,0.810737244606999,0.827078856941383,0.827004804882916,0.828977320959947,0.787746125409639,0.825004176220975,0.822016674244947,0.838799823883723,0.80990008981323,0.827310998928165,0.831899530343018,0.822912055633444,0.815103722045071,0.768825518084509,0.836760840426262,0.832261566257096,0.844147646846988,0.741417129154749,0.745219557620384,0.741532181720852,0.736611558970487,0.744680433039508,0.75023342223754,0.838650832342327,0.839904571898,0.804495460270537,0.818074508238715,0.915545168236332,0.823078257976698,0.832397999800416,0.828196887226985,0.830605724817449,0.767744496519813,0.77505121427735,0.812704872272814,0.808148944978391,0.824426063400581,0.686613858325533,0.796218388961036,0.767202399398126,0.786729376977479,0.82471530261491,0.810641965997132,0.831065598146676,0.831455433188998,0.831788675305693,0.805615361173242,0.768069401130918,0.820979431861052,0.812581353514144,0.824626802328487,0.767125752048173,0.825377596313566,0.816114713413283,0.803516994687446,0.836493307370642,0.905363214057411,0.808332596480279,0.815550477003792,0.838197370902133,0.842783655942318,0.683311829045078,0.812766436824544,0.818337733039397,0.822940356498571,0.825716466517834,0.818021980639044,0.812809924589933,0.797765288487433,0.826467465363709,0.829119547588183,0.822496065174186,0.824717037430277,0.81613644862935,0.731702092031753,0.825444586003723,0.812009129090112
"Bos taurus",0.886840778803193,0.921373053061909,0.933562465449141,0.922894685663045,0.879867193393359,0.832549660972334,1,0.860952782581852,0.859936965529005,0.882094319523316,0.932490999472228,0.831807936019911,0.888126613409917,0.864831477192658,0.865667656514007,0.887463260417603,0.805749129628708,0.818628484869227,0.866754807540437,0.926238386236423,0.875917500167153,0.790075145883942,0.854275490972232,0.876487257380972,0.886018375392941,0.861058124776707,0.764948644402394,0.859270816745956,0.881057857564737,0.878021430446338,0.883348680785573,0.875833609523016,0.888502972146188,0.924830106242402,0.863940230071149,0.876647700893589,0.87884120434475,0.871896466433012,0.879815105979839,0.873616353024275,0.876624988233739,0.868697566382916,0.880551951436549,0.876366262046117,0.891223140314864,0.845418578288438,0.930778265189707,0.919697839517622,0.880976520492059,0.866847626166724,0.868170170750201,0.816148131889924,0.926666567380161,0.9290157919684,0.876024497541985,0.843777210948075,0.933035888613218,0.893848642174461,0.871966148810804,0.921185626106777,0.808864422003505,0.865960190015127,0.879784536100415,0.891549864905597,0.764541432449947,0.761451432224459,0.756054824048038,0.758102310611626,0.75543373764799,0.76356300206855,0.868113073559623,0.873549108612952,0.852480775103269,0.923812176756472,0.854989253856415,0.881107610604244,0.926446960614509,0.926431898993373,0.932915290819255,0.822509142440292,0.821412424644909,0.858242105609551,0.91420833584706,0.882013110224972,0.732204708319916,0.830188752981369,0.825885794904634,0.838028064173655,0.946802943483994,0.860226735091416,0.869343241019366,0.882639985523589,0.88427166457701,0.845830189855057,0.780891966108927,0.861417233342587,0.876377176772243,0.869496896926217,0.808312465665327,0.867069171492752,0.865089026945317,0.85289789265237,0.889685063878685,0.859886772187881,0.863544697834413,0.880433095368976,0.903117771680539,0.900924294874527,0.706289735503948,0.928342964457669,0.93899212958633,0.931178836407624,0.933800006445064,0.935162369329874,0.927761942149469,0.826123982548801,0.886440632273546,0.873954157357892,0.863448180712852,0.869417417996832,0.885057502224438,0.751032569972747,0.876150053611831,0.864689588006658
"Callithrix geoffroyi",0.86067107365153,0.845151888035834,0.844188462764089,0.851091437619203,0.857971761866039,0.823601348292312,0.860952782581852,1,0.987411536929402,0.864713948266328,0.851467350341126,0.814361389048975,0.842641381239379,0.839755680363234,0.858780804076108,0.908739762261664,0.813564386289604,0.818562466453534,0.851790088934532,0.843513291674824,0.851657506302326,0.797293786974435,0.860995951247276,0.838653898299727,0.843438712359406,0.829828976833501,0.746701601112924,0.853282060291945,0.858083911199824,0.850787047374866,0.853836194433364,0.849614213339856,0.86014358983372,0.850301810269402,0.85115053235572,0.865685090385378,0.866043012031899,0.86385871438757,0.863571392180131,0.860724190987339,0.858971310294967,0.870206061491306,0.865447161098822,0.865222224953523,0.868900658529323,0.851554704633517,0.855887109225624,0.838666682076692,0.842490446578888,0.895652138368642,0.871072278227726,0.811574470570927,0.85515738725104,0.850179203405821,0.903961153585023,0.822564412927911,0.845025338192304,0.850313213714271,0.870409748431922,0.845632295027161,0.814021625779196,0.856929968857007,0.858420949455745,0.907643503804305,0.750376480864168,0.755172731268651,0.749316130428153,0.751618062548308,0.74898228755931,0.757790060996014,0.86567100384908,0.86860456211197,0.852957506348164,0.846326780762558,0.843064512147901,0.85677558370642,0.856712673618997,0.854012600917387,0.85822828357109,0.819597563412227,0.821555821654785,0.83400597723702,0.846980796408983,0.837554054484386,0.712997815786545,0.831156599107258,0.812129606872333,0.826745204346162,0.854557347975449,0.830668249423742,0.89632837913652,0.85685594141314,0.858119997372969,0.83699060897997,0.782318337779442,0.833522674045483,0.842037685314202,0.895923504713969,0.80441764375048,0.86144875132294,0.86133967195724,0.851105219180492,0.86283300723338,0.840538202965669,0.838506868455565,0.837762775969162,0.85881777412483,0.857931187780631,0.692626908504346,0.846519325619678,0.85238868242111,0.849066980300048,0.849434838574455,0.845833419381762,0.839484328981824,0.823947545220297,0.843271780928656,0.850080895503337,0.864492055905852,0.866673397126094,0.845719764947559,0.752812534042551,0.862272498536823,0.833269814118481
"Callithrix jacchus",0.865848009159752,0.845754701616812,0.846143561479086,0.850324943552809,0.860230041648645,0.83358865736207,0.859936965529005,0.987411536929402,0.999999999999995,0.86505043936762,0.850217623605723,0.81230363518293,0.839400061552101,0.839762059372869,0.855921228539895,0.905671838307618,0.81201989636581,0.820607485589036,0.853392339995839,0.844529601647553,0.852261761564145,0.804785335586282,0.865110713050067,0.836564028594488,0.845400109482954,0.83078432151915,0.737306979861296,0.860142773426621,0.862349436781718,0.849691673409372,0.854773063174758,0.850406311106478,0.85857791690638,0.854186543871532,0.842915849282156,0.865573768484764,0.867077830434674,0.86128153953724,0.859044673329521,0.860836687924154,0.858384619855608,0.869670583273967,0.862460595006274,0.861970319506591,0.873576665609598,0.857113714573332,0.856221074734995,0.838924219561254,0.847537519089401,0.896483336494086,0.870520715336678,0.815639862838199,0.855215001408045,0.851301574260887,0.907984041728623,0.827174908103924,0.847110314945936,0.850290633009404,0.86647672398782,0.845968792049872,0.814416072841548,0.865159055847879,0.863154324673275,0.90553640846184,0.748873647695319,0.756227765297411,0.750203155842151,0.751198889737002,0.753776251212055,0.759848575124348,0.874065290922288,0.871900470101963,0.848866916545556,0.845028732324234,0.852841485584899,0.856711287123922,0.860020390030757,0.858301316815741,0.859895153583359,0.812022643822207,0.816040939605008,0.836540155878001,0.844389005375569,0.843867867031923,0.70273340755219,0.832934015622131,0.799657907895225,0.828086522650418,0.853517112232968,0.835494555831728,0.897428503665226,0.863625998560144,0.862361608290259,0.839437976457522,0.787307956811132,0.83802580604272,0.837625235618055,0.893928934686981,0.800029442962793,0.864152277899232,0.860500633467051,0.851070475613576,0.864630638654201,0.847032569739311,0.840357533756173,0.836919259586916,0.85952947104547,0.860753853785732,0.69217135942914,0.84595080449391,0.851982527686067,0.850624686704896,0.851228358503624,0.847127986944346,0.842819290684506,0.826872013098432,0.845920822936815,0.85487533237999,0.860977809632017,0.864004469467409,0.846460413054822,0.748821140594263,0.864052128468332,0.834139946444794
"Canis lupus familiaris",0.914819652072114,0.873745010562872,0.871453337864854,0.886314908937068,0.908415886006442,0.82419412518078,0.882094319523316,0.864713948266328,0.86505043936762,0.999999999999982,0.874507778428791,0.805199269365758,0.868349264045641,0.87624695677672,0.845719981166881,0.900077656362809,0.815641536518433,0.816071010697771,0.981726456709805,0.8754849374932,0.906425675382361,0.800070570289501,0.859415941015857,0.86859776335179,0.880737753997243,0.867541518809412,0.7388154920373,0.863879908200391,0.897607590017597,0.87443876554443,0.874997518680506,0.875817306951009,0.878185723081397,0.876890333951517,0.854270767120381,0.877251859300993,0.86951032422828,0.865229257699535,0.8705411378408,0.866581214420941,0.872773938557732,0.874157557209499,0.871677050863082,0.872010930905583,0.917378107549736,0.847317236781664,0.886873039032867,0.875240640687191,0.872198872195039,0.883634529013042,0.864004499522029,0.807070962375187,0.879122617624905,0.875201933121838,0.891260279126637,0.847218134445855,0.874880618903995,0.88050396750935,0.869999393844406,0.882892232859952,0.812120166386193,0.866301144743716,0.908225523061725,0.898613431455497,0.753865708666029,0.757697094030744,0.750624408304633,0.751699628812148,0.755749848871325,0.757709618063508,0.875794143173375,0.866212888319483,0.852017079331815,0.874681358152672,0.851500686226731,0.900105231935928,0.886559088165214,0.883565273223162,0.882530418713059,0.801868449843863,0.804203601907117,0.895503168780108,0.883534738215377,0.873836290668585,0.724737479583493,0.82738859421421,0.81150828447504,0.833030045221117,0.88185376758468,0.89263899318074,0.886738555901554,0.908223834105936,0.913010292694163,0.840539858298638,0.784981199692616,0.893826526998574,0.867714050186687,0.882279835976916,0.805938451670278,0.868470271925446,0.863912437075437,0.858600403309673,0.912719725493544,0.85754033689606,0.877566483660104,0.870139721725598,0.883879045067979,0.880326781584383,0.702316246581653,0.87595646180014,0.879468452667911,0.878771408522993,0.881184228009593,0.87973752791868,0.875903976820079,0.838799120980309,0.876640121781173,0.908233558253347,0.865164941410492,0.864294611757044,0.874109073742472,0.752386230591068,0.974451113051241,0.889594600608456
