"","Aethomys namaquensis","Amblysomus hottentotus","Antrozous pallidus","Aonyx cinereus","Artibeus jamaicensis","Atelerix albiventris","Balaena mysticetus","Balaenoptera musculus","Bathyergus janetta","Bathyergus suillus","Bos taurus","Carollia perspicillata","Castor canadensis","Cavia porcellus","Cephalorhynchus commersonii","Cephalorhynchus hectori hectori","Cephalorhynchus hectori maui","Cheirogaleus medius","Chinchilla lanigera","Choloepus didactylus","Condylura cristata","Cricetomys gambianus","Cricetulus griseus","Cryptomys damarensis","Cryptomys hottentotus","Cuniculus paca","Cynopterus brachyotis","Daubentonia madagascariensis","Delphinapterus leucas","Delphinus delphis","Desmodus rotundus","Didelphis marsupialis","Echinops telfairi","Eidolon helvum","Elephantulus edwardii","Elephantulus myurus","Ellobius talpinus","Enhydra lutris","Eptesicus fuscus","Equus caballus","Equus quagga","Erethizon dorsatus","Eulemur albifrons","Eulemur collaris","Eulemur coronatus","Eulemur flavifrons","Eulemur fulvus","Eulemur macaco","Eulemur mongoz","Eulemur rubriventer","Eulemur sanfordi","Eumetopias jubatus","Galago moholi","Georychus capensis","Globicephala macrorhynchus","Hapalemur griseus","Heterocephalus glaber","Hipposideros ruber","Homo sapiens","Hydrochoerus hydrochaeris","Lagenorhynchus obliquidens","Lemur catta","Leptonycteris yerbabuenae","Loris tardigradus","Macaca mulatta","Macroscelides proboscideus","Marmota monax","Megaptera novaeangliae","Meriones unguiculatus","Mesocricetus auratus","Microtus guentheri","Microtus pennsylvanicus","Mirza zaza","Molossus molossus","Mus minutoides","Mus musculus","Myocastor coypus","Myotis lucifugus","Myotis myotis","Myotis vivesi","Neophoca cinerea","Neotoma cinerea","Nyctalus noctula","Nycticebus coucang","Nycticebus pygmaeus","Odobenus rosmarus divergens","Ondatra zibethicus","Orcinus orca","Oreamnos americanus","Otolemur crassicaudatus","Pagophilus groenlandicus","Parascalops breweri","Peromyscus maniculatus","Phoca vitulina","Phocoena phocoena","Phyllostomus discolor","Phyllostomus hastatus","Physeter macrocephalus","Propithecus coquereli","Propithecus diadema","Pteropus giganteus","Pteropus hypomelanus","Pteropus poliocephalus","Pteropus pumilus","Pteropus rodricensis","Pteropus vampyrus","Rattus norvegicus","Rattus norvegicus domestica","Rattus rattus","Rhabdomys pumilio","Rhinolophus alcyone","Rhinolophus ferrumequinum","Rhynchonycteris naso","Rousettus aegyptiacus","Saccopteryx bilineata","Scalopus aquaticus","Sciurus carolinensis","Sciurus niger","Smutsia temminckii","Spalax galili","Steno bredanensis","Suncus varilla","Sylvilagus floridanus","Tachyglossus aculeatus","Tadarida brasiliensis","Tamias striatus","Tamiasciurus hudsonicus","Trichechus manatus","Tursiops aduncus","Tursiops truncatus","Varecia rubra","Varecia variegata","Zalophus californianus"
"Aethomys namaquensis",1,0.768412845963599,0.744360709958763,0.795794787819721,0.75042620321617,0.708133636907784,0.737128052941151,0.741005639586398,0.795242842097007,0.722503865625085,0.795617505668182,0.754639951943106,0.78189007377418,0.767174522892812,0.725636161526048,0.758033942623993,0.747338044739971,0.785098090710681,0.778302492997328,0.694241877741036,0.785498652996258,0.8242916605013,0.824781293445864,0.724978551176267,0.739675516639626,0.780789032088869,0.759214387954877,0.752419805281414,0.737990825658606,0.748866413091184,0.759019388265913,0.722960643091497,0.725877008601959,0.775353426146598,0.778373643619818,0.625711281133327,0.824256051333029,0.799778338350937,0.762729700197337,0.79676107986902,0.799550259916739,0.759970164048193,0.783170939905581,0.783648047653772,0.784371011281901,0.789203457925234,0.786023499224213,0.786652329444095,0.769527361882978,0.766652042146506,0.780415131059827,0.764037823986791,0.781187999413326,0.754496432707374,0.762776329379817,0.787904564966986,0.735858613240911,0.786831218183022,0.805894168284365,0.74972749129932,0.742374554959428,0.781735781902705,0.767140896797854,0.758099540495299,0.816647798399349,0.735448346615219,0.807326345675194,0.748928354138425,0.827480755426156,0.81580935923365,0.828326301914408,0.841443264688687,0.769738804745507,0.778695349762319,0.862097499415591,0.867872859961652,0.765627238113961,0.77473908653478,0.729602065748921,0.754653631640573,0.758824307465996,0.836060210639526,0.751628421632223,0.733603919579482,0.758475433642866,0.7825587493693,0.83545639489224,0.74245163298215,0.783013553747342,0.768497177348386,0.79071497338994,0.797163959686434,0.83468308590001,0.789850355414841,0.715559784539406,0.765709432758973,0.755611711056465,0.731190361367297,0.792137026263075,0.785478587983114,0.768847821797107,0.775087041389335,0.767129603738837,0.772883676624794,0.770799664673916,0.772365501909088,0.853178206856881,0.84295456062901,0.836616618340807,0.912663662052054,0.763311711555798,0.805523424501227,0.747039154717789,0.774807166547212,0.757350505564615,0.785800124648636,0.807393448509532,0.806757458506957,0.760705563385077,0.808588336431844,0.733991616269566,0.739114561030062,0.766475862905542,0.62880421754358,0.778757978561483,0.81061239319429,0.806436164286076,0.749287315713783,0.760201851820402,0.743075205315354,0.782150637245299,0.787866731833361,0.772269990078857
"Amblysomus hottentotus",0.768412845963599,1,0.744919262145541,0.804567768797392,0.75732174400467,0.727806550011768,0.731416805246634,0.752151467365992,0.779366528721383,0.761547377376656,0.80926187371016,0.7674386112086,0.760875728597474,0.761056328008001,0.728142399968222,0.771125170363928,0.751800648972929,0.790614953680618,0.772546362227625,0.742896988450314,0.780613859047007,0.756795171818082,0.762246982973079,0.76521253451451,0.776955502668752,0.788740318571055,0.759948911585261,0.777352221070884,0.722528122509413,0.745195900176418,0.76963084957956,0.704708770934662,0.791932633859473,0.778461368798378,0.806186340422692,0.660495591161037,0.759387532917145,0.80165971696443,0.766265727700166,0.808130884772628,0.80126745729014,0.754920858811041,0.782365435634208,0.787931603035202,0.78228982402165,0.78897661213879,0.783863106983856,0.78479500437378,0.765502386534656,0.781613806127586,0.775076698329527,0.763472992233657,0.776349873278796,0.781681981662898,0.778593617458014,0.778167416078581,0.742983987391636,0.787502022095111,0.810655226808537,0.755891955971464,0.742544871251756,0.787267163899281,0.770226301016616,0.759972537621345,0.808417436313076,0.74732748533961,0.802967111617467,0.748199285435302,0.772160193236617,0.76568473012916,0.768114956995181,0.773030197243959,0.772507477848073,0.786098297140629,0.790453354759188,0.780131017112811,0.755849487058068,0.77754358560996,0.738121799423813,0.753159111428043,0.763604216693393,0.773344679988808,0.762851037941309,0.767528544103457,0.767204287575202,0.789387893910635,0.772890324009103,0.746377552621357,0.794822783383858,0.777973102536928,0.807485788059146,0.800377101787708,0.775805603405142,0.80503296293829,0.705657153386048,0.782177986625716,0.765859368580875,0.738691216167663,0.797053094785966,0.793492949308661,0.777448420971756,0.781648201503551,0.77868267032276,0.778316975580502,0.775201559645213,0.776821064610226,0.766434111058086,0.762366089668381,0.772370130784152,0.767373776629183,0.77007105763339,0.803466384761508,0.760642196164513,0.776920578599552,0.770673195252719,0.788663177211487,0.80489021933021,0.800934025408433,0.768056316427638,0.784329057638873,0.734827521762485,0.725793722766379,0.756339685391749,0.634505679895958,0.781234456578551,0.801329532173772,0.796530131115103,0.757513919273771,0.758029031465104,0.743097499420688,0.788994039805873,0.786042045201175,0.789579891366805
"Antrozous pallidus",0.744360709958763,0.744919262145541,1,0.788126519345222,0.806502650133322,0.675439306996013,0.740154905927166,0.754341254999108,0.752445957781942,0.71149744429893,0.767613729561272,0.814626099027656,0.744219998037513,0.734716028487608,0.738194493608335,0.761968261591077,0.750532153953344,0.777788418144893,0.757704702911918,0.69432815054938,0.772988965467825,0.756350094785711,0.743389970402812,0.713728457751933,0.733220873911805,0.761580132606569,0.797561930374485,0.737531017814648,0.737234535641504,0.753825112616575,0.806874255032273,0.698716125991692,0.717493818753319,0.799753233084486,0.735740565829478,0.604347642186053,0.759326411534902,0.77443603252952,0.909111765121261,0.76293525870216,0.7812355951827,0.751895283836555,0.772544782719447,0.771446293654438,0.771065137028623,0.771438885830056,0.772936924951523,0.771980652757991,0.76230022200201,0.762641379333468,0.765672314296319,0.761147957654375,0.759119111611022,0.737043505149948,0.763315242833634,0.777226464570543,0.738318710824366,0.808161928713932,0.781065798783075,0.725990263834922,0.747342474339871,0.770828293856538,0.810206048732007,0.749377026316048,0.794896745764357,0.707948391370037,0.778773953639285,0.752521928902099,0.743120774683395,0.759400980755333,0.761118317536115,0.762853224699995,0.777365053633445,0.835661440202813,0.751438596969891,0.766147963281738,0.74808860108137,0.896636220065874,0.844519297461105,0.876840145713662,0.759962783481867,0.757697131937128,0.878120614447809,0.721195646941802,0.74398791974464,0.774846607163542,0.75417367159189,0.744126804534788,0.764487672173778,0.746487125629196,0.780945647527233,0.781923609983575,0.762665929278995,0.784611744703252,0.73303004331266,0.810095669920323,0.810575987573478,0.736404794315873,0.777337367830829,0.774835561972931,0.793870662738174,0.80058067226501,0.796925299973397,0.800177077417673,0.79432718530224,0.79643890742143,0.75354169038054,0.752214668932377,0.734643568926879,0.744924026203778,0.789886486929703,0.817864985467414,0.785358499308537,0.799699720082248,0.795769077636656,0.778584825905943,0.783014186651547,0.788934878019201,0.753474699231278,0.754919173851989,0.746398926584918,0.723136674420455,0.750987164590641,0.62979576471258,0.845814843083632,0.782537131741268,0.783659088844644,0.745639114379348,0.758908667037337,0.751727456649091,0.774877277119012,0.773397910197006,0.761673344679259
"Aonyx cinereus",0.795794787819721,0.804567768797392,0.788126519345222,1,0.809048344445725,0.712675728417478,0.793431812679366,0.815082866371392,0.802287064770512,0.762879280934977,0.855857995683455,0.81278502599294,0.821934443509209,0.808278332152879,0.79972046651363,0.827490589350162,0.811863019662841,0.854145200699222,0.830577615920665,0.747323628465,0.837342659855061,0.827315270176582,0.80302442635582,0.759179653034036,0.778780026813743,0.827742381032959,0.802883693742323,0.798428136824377,0.799159827991268,0.818611198426608,0.813198275962048,0.754359712069104,0.767606730740373,0.823628167584489,0.782962757398362,0.632229771374239,0.814004511027871,0.951040919599318,0.820582636264317,0.839693484274688,0.858599519430658,0.81688286975185,0.867083873607955,0.864071288437897,0.866942018089671,0.865414457565078,0.867734634142033,0.866340603306226,0.852634671073454,0.843331373787115,0.86917839176315,0.886830557755476,0.845085667716703,0.785915342328987,0.829606193586887,0.866342339896413,0.792015605193277,0.83137318453115,0.865337794765691,0.784760609966664,0.808590823679711,0.8457902646073,0.801833904232314,0.823139648705191,0.884127122333213,0.747473309804392,0.840289717440956,0.813603383598332,0.798013119511919,0.817741816127987,0.817220514495435,0.821157281594433,0.854925180837786,0.822832417120987,0.793817158204551,0.827257745266016,0.811716556291779,0.824168332454993,0.762119826065244,0.799977681223141,0.879465454109135,0.831057740114575,0.789878718582712,0.781649909323252,0.821797219836894,0.888829003816813,0.821177625707169,0.804943412199513,0.853191225795195,0.829752162399985,0.893506503135141,0.850763186816781,0.831025265954349,0.902789930937524,0.797784756559327,0.814342120554844,0.811259560193601,0.798753339014863,0.85976949995148,0.856378043506991,0.821257466741741,0.830173242262254,0.822783844525333,0.824643897921424,0.82202090546589,0.824532383821657,0.816550908545062,0.822304805347957,0.785576328958836,0.788379113316834,0.809613443540037,0.844226748617771,0.774249436877247,0.832884093467455,0.777727863863225,0.843589351940336,0.851678284973097,0.848286589340938,0.800298393872506,0.821641095825767,0.813091521012742,0.782035629934635,0.826326501638362,0.687424990016452,0.824726806979524,0.849571781412041,0.848573658121237,0.802401678310646,0.82418330594846,0.816623950584824,0.843893395923701,0.858051575336469,0.874603603982036
"Artibeus jamaicensis",0.75042620321617,0.75732174400467,0.806502650133322,0.809048344445725,1,0.694014852482289,0.75942931268587,0.778697572108221,0.76599868775474,0.734121154311182,0.788639925227558,0.91457988859789,0.752356098649101,0.746454145835347,0.762716518639185,0.783560492808488,0.768916929723432,0.803779098080108,0.775696820814606,0.714958532255176,0.773595531758575,0.767556620684247,0.759912445943669,0.732958922601077,0.749827144762348,0.775253069014533,0.807729626093228,0.758774758467523,0.760438469719393,0.7821112866933,0.893976761570819,0.712573888833499,0.737404680029012,0.814426189240945,0.754313902816328,0.638123594182006,0.778949299606672,0.791225262303626,0.844986004722556,0.779101477751866,0.795201905669985,0.766467082628094,0.800193300537152,0.799492311723706,0.797770674536896,0.80436176555524,0.797700985105375,0.804404652790262,0.79218815531977,0.79224485026551,0.793486852809108,0.786463389287519,0.780344285250049,0.755203231446118,0.787240781682441,0.798675192005443,0.767613512359001,0.81908295731547,0.811018693950834,0.744471758350333,0.772242842912096,0.78341217748133,0.89660393830375,0.771976015460127,0.819169902688137,0.724502954418192,0.791880823922003,0.77866130657268,0.753016847057707,0.780679225033148,0.775215278206964,0.779855615423455,0.800072978636596,0.841571838835679,0.759244131842027,0.777095663592608,0.756627557124076,0.833751807718957,0.787001786297341,0.81193674958717,0.792354845959045,0.775492800234503,0.804146936844158,0.74625619001927,0.773816684411967,0.802858941504174,0.767580675553884,0.7648302366317,0.794830229608274,0.775445697119983,0.800435714254908,0.793653226896802,0.781590145027734,0.80478733847356,0.765486114801662,0.893762200744821,0.906944271560464,0.764688313749759,0.801640110457046,0.797395769668871,0.815362041867627,0.822628578791828,0.817323883609526,0.820220193321919,0.813214821071459,0.817683871934137,0.76539291639116,0.758781372313832,0.747571927826062,0.759669359197319,0.797184074361017,0.82900754831479,0.798271119134064,0.826580256166475,0.797416487356686,0.792483120380854,0.798757107258719,0.80088837048591,0.76274676009271,0.774125385199191,0.773095073460338,0.728617355305899,0.760545629759225,0.647722014754688,0.849032758063823,0.791193117296032,0.794739570043615,0.768799514660047,0.786599301337028,0.781969979803631,0.799164890826979,0.789067048353377,0.788949593987045
"Atelerix albiventris",0.708133636907784,0.727806550011768,0.675439306996013,0.712675728417478,0.694014852482289,1,0.655366853663939,0.680144372046799,0.722167201375659,0.717425234632654,0.730527214647693,0.695266990546004,0.675566338755547,0.686531318021057,0.659318745521683,0.702398341771617,0.680479456709778,0.709922401512718,0.693669044116741,0.678072880686845,0.713188529937419,0.690780492405215,0.700384913992971,0.715117956654044,0.728394600787144,0.70526319018274,0.698230154188881,0.715118202817421,0.654779974587043,0.680613955385976,0.695737911664152,0.66010365694989,0.708167028556932,0.713155213207696,0.719304557882612,0.613559064787497,0.689079538976182,0.716526123743153,0.691723510584555,0.736240893681217,0.727006404833373,0.676687212168815,0.704980924125999,0.708402591594166,0.702549066961329,0.71024030797507,0.702437537806624,0.708355100997427,0.692711461911665,0.716596623069158,0.692347610681015,0.68516960117955,0.699850242560849,0.729098581997926,0.712395916050024,0.698618095130915,0.669191643507991,0.722340435473761,0.728737300673169,0.684950821058507,0.667435423475119,0.709354718959717,0.701491960409155,0.688176498881021,0.728072201587015,0.684638821514461,0.71463298921426,0.677936028596335,0.69398279369239,0.698026560519013,0.695356056210762,0.703226305598477,0.68715127949086,0.721310334570333,0.713461725807297,0.704934761182286,0.67364279803101,0.700880450263133,0.664224156476129,0.676275184501342,0.689193773973771,0.700038519413416,0.686967766452801,0.696836987100155,0.702220571042674,0.718069447415795,0.694699584863057,0.672297620860567,0.716318382139963,0.71344863881867,0.735618213568517,0.73364389099837,0.705762913714757,0.722471976551403,0.631427514412891,0.710620007874819,0.697202807343928,0.659024266529436,0.720775004248353,0.713246678168763,0.707496689822469,0.712274475574352,0.708232048769679,0.709942369088094,0.704090242342641,0.705449611608947,0.688350531951872,0.682080711975223,0.708098046951271,0.699024707088595,0.702366079242672,0.731355433037219,0.691915154083924,0.717594329021275,0.701429492372832,0.728133592366396,0.716058511394865,0.71435561103763,0.699351828232932,0.707073757274571,0.672712489003173,0.656695374392783,0.678250552141603,0.586388145933949,0.71800626675706,0.715139638613742,0.706304243386325,0.669992878136003,0.693808787614309,0.678135096102484,0.710356368686902,0.700167928725381,0.719029543994152
"Balaena mysticetus",0.737128052941151,0.731416805246634,0.740154905927166,0.793431812679366,0.75942931268587,0.655366853663939,1,0.893108012600402,0.737975777222065,0.68219261717172,0.802574215324979,0.770929477948943,0.747581983184508,0.73564926354506,0.880717809706727,0.854577555268506,0.886254686423347,0.766873730324094,0.744747365018609,0.668501483491635,0.760221251258147,0.739133785923133,0.719789287361558,0.681670633756162,0.701415733288764,0.746622830822558,0.780171089704848,0.716498993400722,0.901853880607034,0.893433512361747,0.774079833804224,0.665708748776183,0.68997608654728,0.783450344728622,0.710453672187163,0.607311612639783,0.740650013960668,0.790477482105695,0.762009685546006,0.762638205249531,0.777136037614971,0.745913364906249,0.774611784648574,0.772083278675549,0.773264235376868,0.776454832744599,0.777725701702124,0.781027608601562,0.777953982635529,0.755442312232423,0.771942483554221,0.759647950680359,0.750201465663783,0.710204610620849,0.880673946387913,0.778167749276813,0.733952343777743,0.778976342184737,0.795009285257806,0.722826570964353,0.896993379123653,0.7576618158427,0.774355448298414,0.743462016163944,0.809268473940022,0.701868887206469,0.7677228667055,0.925065022351609,0.725142590289805,0.728803267423568,0.727402636092637,0.733076404337101,0.767351477549751,0.777131273092485,0.723508346249629,0.749062096751756,0.72680229783661,0.769880624033571,0.743628736714128,0.75553723674182,0.760989694197925,0.742206289587108,0.738403377993916,0.702084480588854,0.734669002085858,0.795977012964375,0.743107138691668,0.904364689449237,0.781235855427497,0.733534738289631,0.789340642103753,0.760043756666863,0.73602438201406,0.795636344035645,0.858245655215265,0.748506077906152,0.760606847174717,0.877947383400487,0.776047309168711,0.768577507793348,0.794302314547921,0.792536886863117,0.796622017623888,0.798649113626415,0.794086671159276,0.790694847460679,0.750863798940154,0.728457113988275,0.704285718130763,0.73862416698726,0.763060223889859,0.797377641178205,0.750109257616877,0.780812370953706,0.755794214220026,0.751041766323407,0.774309173470662,0.781802960608615,0.756189991974214,0.748538098693944,0.877518374428387,0.716777617769038,0.727558626121105,0.602847401558225,0.782263885448204,0.772952282034598,0.781835668949366,0.755494428832225,0.890280666008855,0.89143668255059,0.766557754594837,0.767547126126354,0.759252900537198
"Balaenoptera musculus",0.741005639586398,0.752151467365992,0.754341254999108,0.815082866371392,0.778697572108221,0.680144372046799,0.893108012600402,1,0.771197979932344,0.73571373453356,0.829377032877173,0.782439100913997,0.769766357186487,0.769158448419879,0.883447356581375,0.892005267253358,0.89113743557993,0.819356528783493,0.780858271482645,0.71851945068938,0.788795517539314,0.762386724365767,0.751491171799208,0.731537344000051,0.750527872531852,0.789082155735568,0.789635286553701,0.772986743974712,0.873950486792765,0.898464807411987,0.787682487356719,0.720514146264296,0.731532311506335,0.805768944132253,0.742763213933577,0.617395243236702,0.769500851120164,0.796305771634522,0.792433307563048,0.796715241322485,0.815308807800545,0.781928798139124,0.82142645483863,0.825172732827192,0.821760289237978,0.825414940584158,0.822358274745792,0.825474943258649,0.817123957827251,0.812998584671951,0.81799798777068,0.815604690615855,0.788440446561525,0.750596508781067,0.904224166238905,0.817414436033562,0.774981511280109,0.81000711057296,0.832693362737097,0.761972082776708,0.884291241157285,0.80914035539378,0.77397921836885,0.781698841120812,0.834967878422725,0.72714604303983,0.799607714679235,0.937171665859715,0.749946977659346,0.767703237540562,0.768921403975405,0.770610737792207,0.812272174875863,0.797960371114596,0.759975939566002,0.781840093726503,0.755765994588419,0.793321035097134,0.728100808169201,0.774996883033008,0.821151777132841,0.769251027256764,0.757979125397258,0.748004617448031,0.780924530988233,0.826180558347438,0.766520174839334,0.880307925535864,0.824553753495858,0.781128134825487,0.822480393707938,0.801521413600946,0.77025977008065,0.829450764127932,0.875287975798762,0.780475251924539,0.782311297804527,0.893131030967539,0.820622114732266,0.814463058230251,0.79975647488971,0.806226011293738,0.803474304473842,0.803090529184476,0.800020723139341,0.805231830837557,0.772578468919583,0.75455450929543,0.750918943309761,0.75673186997419,0.792001859127551,0.806771158850695,0.742272575856457,0.805841876940832,0.747469827210412,0.797105296443493,0.807307267609758,0.805527658506703,0.794077903701343,0.774376153728266,0.893016581420524,0.720362252999563,0.768134600753183,0.663963171056924,0.799239468490062,0.80250375734909,0.804168031615202,0.770479921004622,0.898498581867704,0.90064299823451,0.815584378423211,0.810063665633939,0.815756938332107
"Bathyergus janetta",0.795242842097007,0.779366528721383,0.752445957781942,0.802287064770512,0.76599868775474,0.722167201375659,0.737975777222065,0.771197979932344,1,0.913995547106731,0.806306470787323,0.768033283768262,0.778569553900286,0.81740416667559,0.734672102893089,0.774956944192804,0.756660051578622,0.80393218131214,0.830624232037848,0.733345045250077,0.791407135971612,0.775257271265003,0.773186212660669,0.883434878335222,0.902393636407735,0.846549040081594,0.76639603102331,0.777427898785593,0.735228788931013,0.757375195659702,0.769459506036553,0.733251141725826,0.752632594553423,0.782563216838665,0.78349930968111,0.620578568611333,0.785445632834743,0.79895054760118,0.77472337196706,0.807015462705272,0.816152321553076,0.82158057690625,0.799404089354234,0.800982793234126,0.79635822312468,0.803212594831137,0.79639932823994,0.798964865554964,0.781028888125532,0.79453124625203,0.789793242472151,0.787329242563228,0.786978536415582,0.915587873932934,0.7788933081773,0.794625820730111,0.826339950736655,0.794745339400179,0.817630182185624,0.818394324976736,0.746849995216543,0.800463764717831,0.765727002068282,0.773976753320449,0.826084257570502,0.736149293891635,0.813970479510782,0.769429340388279,0.777059000910421,0.782489118963742,0.787309041823536,0.796362988277219,0.783415514968316,0.796435307235759,0.78920354390991,0.793771709429152,0.817720326898,0.784043991496672,0.728797000325617,0.761365274661129,0.788483501126155,0.788448762491322,0.75983511994559,0.755031242808305,0.770860938806904,0.798826374488816,0.783756861103882,0.747770748604565,0.799786169835809,0.792548226877618,0.805241048550084,0.812398800808097,0.792646663079431,0.805979679525152,0.727471863463631,0.780478325400973,0.770361329798998,0.739853134575928,0.806570765886523,0.80109808255477,0.780869918479836,0.788197888562731,0.782063524079733,0.784087791147035,0.780878585347855,0.785386228975312,0.767490494099505,0.767593874289253,0.774661816591047,0.785959330464496,0.779720024256646,0.803383154045084,0.74477458998026,0.78375798949455,0.76015426389715,0.801500969495103,0.819035922909822,0.812040851949598,0.779975233210957,0.79464155232923,0.750931574272516,0.721099823814032,0.770106272388866,0.654435794682604,0.79235846617375,0.810887530307733,0.809676994868541,0.751931754489903,0.770995513540856,0.754178998187428,0.800891405149821,0.798484475366216,0.802628174735915
"Bathyergus suillus",0.722503865625085,0.761547377376656,0.71149744429893,0.762879280934977,0.734121154311182,0.717425234632654,0.68219261717172,0.73571373453356,0.913995547106731,1,0.785871657613445,0.734273741526179,0.743681477139495,0.779682785374969,0.702708657959675,0.762375154928473,0.728252815986157,0.794130888315415,0.8001390717954,0.777404548693946,0.759005965688151,0.732487258949608,0.752287690611498,0.941172500489639,0.946848473142614,0.817133102486073,0.72592163614116,0.818829938702124,0.682292533333434,0.72494859543492,0.742716689522657,0.725462233504887,0.768000326324692,0.754722800914104,0.764575126761417,0.605498309554578,0.749578570326013,0.745618828944002,0.747311296893782,0.787376339841472,0.798508426310369,0.780528055966596,0.781571909122997,0.789054843555313,0.772891610821021,0.784297209896367,0.772239230370305,0.777639928856952,0.758349358854013,0.800531258695333,0.765014526172271,0.768124452945822,0.760688444111589,0.946800083859045,0.750444983552492,0.770409834693374,0.814662267682449,0.770567117642891,0.798869039249023,0.788209459972262,0.705048331375123,0.78254342483717,0.723051146108305,0.752860234006909,0.792549604636389,0.718358864114812,0.789824178926686,0.716091603006433,0.742652222827514,0.762329274513516,0.762331533616097,0.763688510751948,0.761027361647869,0.763653089790876,0.776640606209732,0.770304685900636,0.769219236420237,0.754378927605245,0.672243595526255,0.727204930958717,0.776015868533953,0.75150828556396,0.725187311143081,0.791317172303273,0.75488017590972,0.76749764472987,0.746595927452911,0.69995223771804,0.785761838487247,0.801211583912689,0.776387259281413,0.795394708711062,0.764960792373728,0.773465396235839,0.702955813849637,0.761800531962252,0.747109763428904,0.702091872484482,0.786014276231932,0.787336115665043,0.74892254306576,0.757326201326875,0.749587326661471,0.747023129965331,0.748080350180571,0.757007605653537,0.731780812708596,0.731700902102975,0.780251729990392,0.731191669157092,0.756252963853484,0.762715143997515,0.696026172835177,0.758825468619388,0.706240611278472,0.784732567860225,0.78966784873625,0.776425475274863,0.765075413759234,0.770182375820025,0.722068850993614,0.66612092298066,0.738580250412438,0.655468433934737,0.751720319747237,0.781540703490354,0.769694268331777,0.715544654591844,0.739795153507433,0.722587355856772,0.787779186783463,0.773286287794549,0.801441785092867
