CpG ID,Coefficient,Coefficient rounded,Symbol,strand,ENSEMBL,Gene Length,annotation,Chromatin State,PRC Binding Site,CpG Island,Human hg38,Mouse mm9
Regression Intercept,1.12037061,1.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
cg00051782,-0.00826052,-0.0083,HES1,+,ENSG00000114315,2471,Distal Intergenic,TSS2,None,FALSE,chr3:193859210,chr16:30070380
cg00101675,0.028176936,0.028,PPP2R5E,-,ENSG00000154001,168725,5' UTR,TxEnh3,None,TRUE,chr14:63920524,chr12:76616706
cg00116289,-0.073676753,-0.074,ZFR,+,ENSG00000056097,90389,"Exon (uc010ium.1/51663, exon 2 of 6)",TxEx1,None,TRUE,chr5:32380243,chr15:12100605
cg00250826,0.102773907,0.1,CALU,+,ENSG00000128595,34132,"Exon (uc003vns.3/813, exon 3 of 7)",TxEnh4,None,TRUE,chr7:128394724,chr6:29311701
cg00272971,-0.063959738,-0.064,PAX2,+,ENSG00000075891,84231,Distal Intergenic,ReprPC1,PRC2,FALSE,chr10:102419564,chr19:44749560
cg00445879,-0.011301209,-0.011,HOXA-AS3,-,ENSG00000254369,15565,"Exon (uc003syo.2/3203, exon 1 of 2)",BivProm4,PRC2,FALSE,chr7:27187107,chr6:52158362
cg00773632,-0.014494411,-0.014,NTM,+,ENSG00000182667,966346,"Intron (uc001qgm.3/50863, intron 1 of 7)",EnhWk4,None,TRUE,chr11:131263886,chr9:29747205
cg01136078,-0.171538383,-0.17,EDN2,+,ENSG00000127129,5429,Distal Intergenic,BivProm1,PRC2,TRUE,chr1:41849198,chr4:119939747
cg01173053,0.002710274,0.0027,WDR20,+,ENSG00000140153,83822,Promoter (<=1kb),PromF4,None,FALSE,chr14:102606407,chr12:111976385
cg01193554,-0.042584874,-0.043,EDN2,-,ENSG00000127129,5429,Distal Intergenic,BivProm2,None,TRUE,chr1:41846683,chr4:119942397
cg01262663,-0.068142677,-0.068,LINC00900,-,NA,2747,Distal Intergenic,BivProm2,None,TRUE,chr11:115531176,chr9:47175648
