CpG ID,Coefficient,Coefficient rounded,Symbol,strand,ENSEMBL,Gene Length,annotation,Chromatin State,PRC Binding Site,CpG Island,Human hg38,Mouse mm9
Regression Intercept,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
cg00049718,-0.041240606,-0.041,CSDE1,+,ENSG00000009307,41138,Promoter (<=1kb),PromF4,None,TRUE,chr1:115300559,chr3:102824578
cg00109076,-0.0028233,-0.0028,SLITRK5,+,ENSG00000165300,7001,"Exon (uc001vln.3/26050, exon 2 of 2)",BivProm1,None,TRUE,chr13:88330463,NA
cg00130134,-0.092608754,-0.093,EGLN1,-,ENSG00000135766,61294,"Exon (uc001huu.3/54583, exon 3 of 5)",Tx5,None,TRUE,chr1:231506344,chr8:127437953
cg00281640,-0.092168378,-0.092,PTPRD,-,ENSG00000153707,2298478,"Exon (uc003zkk.3/5789, exon 28 of 46)",Tx5,None,TRUE,chr9:8485833,chr4:75731987
cg00370791,0.072635004,0.073,MIR124-2HG,+,ENSG00000254377,10068,"Intron (uc022avc.2/100130155, intron 1 of 1)",BivProm2,None,TRUE,chr8:65289726,NA
cg00424624,-0.125529363,-0.13,HNRNPL,-,ENSG00000104824,22926,Promoter (<=1kb),TxEnh4,None,TRUE,chr19:39330834,NA
cg00444649,-0.040926885,-0.041,RSRC1,-,ENSG00000174891,434784,"Intron (uc011bou.2/51319, intron 3 of 6)",TxWk1,None,TRUE,chr3:157851735,chr3:66814120
cg00471897,0.001361846,0.0014,FOXP2,-,ENSG00000128573,607463,"Exon (uc003vgu.3/93986, exon 14 of 20)",EnhA17,None,TRUE,chr7:114294032,chr6:15355610
cg00591406,-0.011753612,-0.012,IKZF2,+,ENSG00000030419,151923,5' UTR,PromF5,None,TRUE,chr2:214014920,chr1:69732320
cg00650422,-0.181635017,-0.18,SIX4,+,ENSG00000100625,14597,Promoter (<=1kb),PromF5,PRC2,FALSE,chr14:61189972,chr12:74213372
cg00676135,0.032745041,0.033,POU3F2,-,ENSG00000184486,4087,Distal Intergenic,Quies1,None,TRUE,chr6:98903859,NA
cg00774674,-0.202837628,-0.2,RBM12,-,ENSG00000244462,16032,5' UTR,TxEx1,None,TRUE,chr20:34243203,chr2:155924045
cg00887670,-0.080369462,-0.08,CLASP1,+,ENSG00000074054,311701,5' UTR,TxEx2,None,TRUE,chr2:122176257,chr1:120428602
cg01000173,0.109586919,0.11,WNT3,-,ENSG00000108379,56255,"Exon (uc002ikv.3/7473, exon 2 of 5)",BivProm3,None,TRUE,chr17:44851220,chr11:103669518
cg01125381,-0.212339645,-0.21,USP27X,+,ENSG00000273820,2699,Promoter (<=1kb),PromF5,None,TRUE,chr23:49644706,chr20:6952191
cg01136078,-0.100276813,-0.1,EDN2,+,ENSG00000127129,5429,Distal Intergenic,BivProm1,PRC2,TRUE,chr1:41849198,chr4:119939747
