CpG ID,Coefficient,Coefficient rounded,Symbol,strand,ENSEMBL,Gene Length,annotation,Chromatin State,PRC Binding Site,CpG Island,Human hg38,Mouse mm9
Regression Intercept,-2.828494235,-2.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
cg00039845,0.04147933,0.041,IFT43,-,ENSG00000119650,98321,"Intron (uc001xse.3/112752, intron 3 of 3)",Tx5,None,TRUE,chr14:76501445,chr12:87456875
cg00300233,0.430467388,0.43,CHTOP,-,ENSG00000160679,12325,"Exon (uc009woi.2/26097, exon 3 of 3)",TxEnh4,None,TRUE,chr1:153610800,chr3:90310153
cg00810217,0.072604794,0.073,CLYBL,+,ENSG00000125246,290470,"Intron (uc010tix.2/171425, intron 1 of 5)",ReprPC5,None,TRUE,chr13:100318128,chr14:122632472
cg01020408,0.1075438,0.11,TARBP2,+,ENSG00000139546,3475,5' UTR,PromF2,None,TRUE,chr12:53895904,NA
cg01266508,0.058376884,0.058,UNC5D,-,ENSG00000156687,559207,"Exon (uc003xjr.2/137970, exon 9 of 17)",Acet1,None,TRUE,chr8:35579849,NA
cg01309159,0.215647409,0.22,TNIK,-,ENSG00000154310,397906,"Exon (uc003fhg.2/23043, exon 11 of 12)",Tx7,None,TRUE,chr3:170784061,chr3:28565064
cg01786675,0.229653615,0.23,NBPF20,+,ENSG00000162825,2320934,"Exon (uc001enr.3/128077, exon 6 of 6)",TxEnh4,None,TRUE,chr1:145498701,chr3:96427752
cg02476543,0.042343627,0.042,COPB2,-,ENSG00000184432,32090,"Exon (uc011bmv.2/9276, exon 9 of 22)",TxEx2,None,TRUE,chr3:139092247,chr9:98477753
cg02574410,-0.652476269,-0.65,NUCKS1,-,ENSG00000069275,37426,Promoter (<=1kb),TSS1,None,FALSE,chr1:205719332,chr1:133807084
cg02725055,-0.347416709,-0.35,TCF4,-,ENSG00000196628,367484,Promoter (<=1kb),TSS2,PRC1,FALSE,chr18:53257028,chr18:69504183
cg02871478,0.056462268,0.056,TOP1,-,ENSG00000198900,95665,Distal Intergenic,EnhWk4,None,TRUE,chr20:39575156,chr2:160404997
cg03230916,0.046050943,0.046,CACNA1G,+,ENSG00000006283,66404,"Exon (uc002irk.2/8913, exon 14 of 38)",ReprPC7,None,TRUE,chr17:48672410,NA
cg03264110,-0.038672358,-0.039,ZNF423,+,ENSG00000102935,173622,"Intron (uc010vgn.3/23090, intron 3 of 5)",EnhA3,None,TRUE,chr16:49630064,chr8:90274134
cg03280886,-0.146546197,-0.15,DNAJB5,-,ENSG00000137094,8793,Promoter (2-3kb),EnhA8,None,TRUE,chr9:34986795,chr4:42960023
cg03528345,0.297774689,0.3,KLHL14,-,ENSG00000197705,100341,"Exon (uc002kxm.1/57565, exon 2 of 9)",BivProm2,PRC2,FALSE,chr18:30349975,chr18:21810284
cg03537184,-0.223574872,-0.22,CLASP2,-,ENSG00000163539,221967,5' UTR,PromF5,None,TRUE,chr3:33686800,chr9:113721857
cg03684591,0.191666463,0.19,ANKRD10,-,ENSG00000088448,36530,5' UTR,TxEx1,None,TRUE,chr13:111553030,chr8:11623847
cg03820088,0.015969857,0.016,TRA2A,+,ENSG00000164548,27256,"Exon (uc011jzb.2/29896, exon 3 of 10)",Tx4,None,TRUE,chr7:23561848,chr6:49202904
cg04065686,0.122605887,0.12,GTDC1,+,ENSG00000121964,386503,"Intron (uc002tvo.3/79712, intron 6 of 8)",EnhWk4,None,TRUE,chr2:144715318,chr2:44431518
cg04118146,0.078500582,0.079,UCHL3,+,ENSG00000118939,56541,"Intron (uc031qmg.1/7347, intron 6 of 8)",TxEx3,None,TRUE,chr13:76164167,chr14:102084881
cg04313551,0.118446796,0.12,CACNA2D3,-,ENSG00000157445,951892,"Intron (uc003dhf.3/55799, intron 2 of 37)",Acet2,None,TRUE,chr3:54291375,chr14:30412818
cg04324237,0.127121922,0.13,PRPF38B,+,ENSG00000134186,9491,Promoter (<=1kb),PromF4,PRC1,TRUE,chr1:109235444,chr3:108714126
cg04486940,-0.325732074,-0.33,ERI3,+,ENSG00000117419,134198,"Intron (uc010okv.2/79033, intron 5 of 6)",EnhA14,None,TRUE,chr1:44727010,chr4:117309949
cg04499301,-0.081481916,-0.081,ADCY5,+,ENSG00000173175,166250,5' UTR,ReprPC7,None,TRUE,chr3:123066722,chr16:35253254
cg04725401,0.145670822,0.15,DPF2,-,ENSG00000133884,19227,"Intron (uc001odm.3/5977, intron 6 of 10)",TxEx2,None,TRUE,chr11:65112075,chr19:5903747
cg04918691,0.037799666,0.038,BMP4,+,ENSG00000125378,7100,"Exon (uc001xal.4/652, exon 2 of 3)",BivProm4,None,TRUE,chr14:54418924,chr14:47005746
cg04958799,0.199449726,0.2,LRP4,+,ENSG00000134569,61906,"Exon (uc001ndn.4/4038, exon 17 of 38)",TxEx3,PRC1,TRUE,chr11:46908057,chr2:91325937
cg05035746,-0.141408725,-0.14,TCF7L2,+,ENSG00000148737,217428,"Intron (uc001lac.4/6934, intron 4 of 13)",Tx3,None,TRUE,chr10:114879742,chr19:55963374
cg05039938,-0.000718362,-0.00072,SSPN,-,ENSG00000123096,39203,Distal Intergenic,EnhA5,None,TRUE,chr12:26430997,chr6:145950382
cg05151611,0.282387723,0.28,GRM5,-,ENSG00000168959,543497,"Exon (uc001pcq.3/2915, exon 8 of 9)",Acet2,None,TRUE,chr11:88258539,chr7:95264735
cg05265959,0.135812457,0.14,ARID4B,+,ENSG00000054267,161323,"Exon (uc021pks.1/51742, exon 17 of 24)",Tx7,None,TRUE,chr1:235377133,chr13:14262396
cg05326840,0.047384513,0.047,VCL,-,ENSG00000035403,124964,"Exon (uc010qky.1/7414, exon 18 of 19)",TxEx2,None,TRUE,chr10:75871803,chr14:21846441
cg05377512,0.055280935,0.055,PHF13,-,ENSG00000116273,10338,"Exon (uc001aob.4/148479, exon 4 of 4)",TxEx1,None,TRUE,chr1:6681647,chr4:151365711
cg05530690,0.321016608,0.32,FOXD3,+,ENSG00000187140,2068,Promoter (<=1kb),BivProm1,PRC2,FALSE,chr1:63789172,chr4:99323728
cg05708750,-0.150672862,-0.15,MIR99B,+,ENSG00000207550,70,Promoter (<=1kb),TxEnh7,None,TRUE,chr19:52195841,chr17:17967128
cg06510679,0.041215992,0.041,MAP3K3,+,ENSG00000198909,73896,3' UTR,TxEnh6,None,TRUE,chr17:61773600,NA
cg06577299,-0.140792072,-0.14,TMEM229B,-,ENSG00000198133,61406,"Exon (uc001xjj.1/161145, exon 3 of 7)",TxWk2,None,FALSE,chr14:67940354,NA
cg06937549,-0.018476012,-0.018,HNRNPH1,-,ENSG00000169045,10492,"Exon (uc021yjd.1/3187, exon 4 of 12)",TxEx4,None,TRUE,chr5:179046350,chr11:50195018
cg07201657,-0.478701043,-0.48,PLEKHA5,-,ENSG00000052126,232015,"Exon (uc010sie.2/54477, exon 16 of 29)",TxWk1,None,TRUE,chr12:19467803,chr6:140512144
cg07991667,0.239308818,0.24,USP35,+,ENSG00000118369,21933,5' UTR,TxEnh5,None,FALSE,chr11:77907901,chr7:104473864
cg08161081,0.123271583,0.12,RBM39,+,ENSG00000131051,38628,5' UTR,TxEx4,None,TRUE,chr20:34327466,chr2:156003639
