CpG,mouse_median
cg00000165,0.209768805952916
cg00001209,0.847527145485181
cg00001364,0.875242642931591
cg00001582,0.058131017443933
cg00002920,0.079032924648824
cg00003994,0.0336355096092678
cg00004555,0.184421043192906
cg00005112,0.529089266969953
cg00005271,0.969850279516533
cg00006213,0.878545009048491
cg00008998,0.501573260728992
cg00009248,0.0845187455445527
cg00009319,0.414150400734721
cg00010445,0.0279139959620153
cg00010903,0.708652002455862
cg00010926,0.907858055057841
cg00010977,0.94263310752708
cg00012521,0.947711633989653
cg00012879,0.331320934580301
cg00013189,0.0210501340806675
cg00013247,0.76569605806543
cg00014011,0.539524802383645
cg00015001,0.890000521082965
cg00015319,0.125320036722215
cg00016215,0.908864813702124
cg00017571,0.959475235755788
cg00017737,0.551620458880768
cg00017842,0.49379580510064
cg00019068,0.941749449746675
cg00020468,0.967338381281875
cg00021588,0.943080178784589
cg00022035,0.935072781930839
cg00023292,0.871019141946194
cg00024300,0.486786415078894
cg00027030,0.516750663346707
cg00027863,0.850218112944557
cg00027948,0.852824862833907
cg00029553,0.928573533385136
cg00029755,0.909572219297718
cg00031262,0.736715016188323
cg00031896,0.49731838452587
cg00032045,0.931138510444938
cg00032807,0.485760784458788
cg00032872,0.413626661135717
cg00035308,0.79757427534942
cg00036621,0.922353448035579
cg00036705,0.966636307487256
cg00036709,0.0415306777206901
cg00036788,0.259442574984691
cg00037013,0.418056558363642
cg00037518,0.500853553967885
cg00037619,0.563071509899567
cg00037952,0.0795568677317888
cg00038038,0.672227985460974
cg00038306,0.945227106881231
cg00038376,0.584365181986319
cg00038849,0.746683717921454
cg00038872,0.847210217968751
cg00038955,0.499225633393682
cg00039469,0.896046500201022
cg00039845,0.602049882113878
cg00042664,0.912851967279732
cg00044472,0.273274321903332
cg00045146,0.454419460028353
cg00045149,0.0861149295764183
cg00046033,0.544961128469944
cg00046073,0.492593578698985
cg00046146,0.55043191653347
cg00046614,0.733211573257405
cg00046850,0.0166240859047571
cg00049527,0.894136772046839
cg00049667,0.436209071198397
cg00049718,0.0206992548189174
cg00050268,0.932900063254475
cg00051709,0.539902606342895
cg00051782,0.0647107863935689
cg00054169,0.216225005743883
cg00054831,0.288385092355128
cg00055211,0.743428032494591
cg00055619,0.425922168787221
cg00056413,0.104338583043016
cg00056578,0.161016298602134
cg00056596,0.753674238431527
cg00057767,0.838452791424072
cg00058449,0.571593430335825
cg00059117,0.744802502833658
cg00059486,0.126444777778648
cg00059897,0.880080261739533
cg00060304,0.490382980768055
cg00060633,0.889567132826277
cg00060978,0.938966465768997
cg00061093,0.162208453446089
cg00061684,0.23154798584579
cg00065957,0.356944186495896
cg00065997,0.897361780412164
cg00066554,0.842036291375654
cg00067370,0.848203774175011
cg00067520,0.956800011290847
cg00067701,0.461125590293711
cg00067884,0.934927560001347
cg00068326,0.463656276376868
cg00068760,0.0650388020933064
cg00069876,0.309449720877893
cg00071267,0.834305852064433
cg00071297,0.493446365519031
cg00072253,0.43759037597919
cg00072466,0.964040637401062
cg00072485,0.0647893347290258
cg00073460,0.488703636923488
cg00073543,0.0676265952265904
cg00075117,0.619909354423634
cg00075753,0.0604029455240537
cg00075967,0.461775530428301
cg00077617,0.250592832265273
