CpG ID,Coefficient,Coefficient rounded,Symbol,strand,ENSEMBL,Gene Length,annotation,Chromatin State,PRC Binding Site,CpG Island,Human hg38,Mouse mm9
Regression Intercept,1.978762626,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
cg00051782,-0.275971768,-0.28,HES1,+,ENSG00000114315,2471,Distal Intergenic,TSS2,None,FALSE,chr3:193859210,chr16:30070380
cg00066554,-0.01603883,-0.016,VANGL2,+,ENSG00000162738,28238,5' UTR,TxEnh5,None,TRUE,chr1:160385636,chr1:173943275
cg00101675,0.013330473,0.013,PPP2R5E,-,ENSG00000154001,168725,5' UTR,TxEnh3,None,TRUE,chr14:63920524,chr12:76616706
cg00214262,-0.022191155,-0.022,RBM14-RBM4,-,ENSG00000248643,28051,"Exon (uc009yrj.3/100526737, exon 3 of 3)",TxEx4,None,FALSE,chr11:66410988,chr19:4787974
cg00250826,0.001194633,0.0012,CALU,+,ENSG00000128595,34132,"Exon (uc003vns.3/813, exon 3 of 7)",TxEnh4,None,TRUE,chr7:128394724,chr6:29311701
cg00272971,-0.112730821,-0.11,PAX2,+,ENSG00000075891,84231,Distal Intergenic,ReprPC1,PRC2,FALSE,chr10:102419564,chr19:44749560
cg00304629,0.274151014,0.27,SPRED2,+,ENSG00000198369,121672,Promoter (<=1kb),TSS1,None,FALSE,chr2:65659696,chr11:19824400
cg00350702.2,-0.028986871,-0.029,ERGIC3,-,ENSG00000125991,3378,Promoter (<=1kb),PromF4,None,FALSE,chr20:34129927,NA
cg00445879,-0.043821219,-0.044,HOXA-AS3,-,ENSG00000254369,15565,"Exon (uc003syo.2/3203, exon 1 of 2)",BivProm4,PRC2,FALSE,chr7:27187107,chr6:52158362
cg00564054,-0.006770229,-0.0068,LOC441204,+,ENSG00000214870,100256,"Intron (uc003sxy.1/441204, intron 3 of 6)",EnhA20,None,TRUE,chr7:26525274,chr6:51659179
cg00589789,-0.02673041,-0.027,SKOR2,+,ENSG00000215474,18061,"Intron (uc002lcx.4/uc002lcx.4, intron 1 of 2)",ReprPC4,None,TRUE,chr18:44860693,chr18:76998983
