"","bicor_test","cor_test","MAE_test","maxBiCor_Cor"
"cg00000165",0.899541731713266,0.91400984088464,0.00715177953832149,0.91400984088464
"cg00001209",0.998415966662912,0.999717176863224,0.000399227644560018,0.999717176863224
"cg00001364",0.693842661709229,0.703196543388458,0.00383359933615202,0.703196543388458
"cg00001582",0.831907421140813,0.833408534528108,0.00242392884300648,0.833408534528108
"cg00002920",0.92246515391888,0.929446555471788,0.00519990199672631,0.929446555471788
"cg00003994",0.840085984679729,0.921553124038528,0.00221983543168982,0.921553124038528
"cg00004555",0.972006308987796,0.977810778934131,0.00311581597227009,0.977810778934131
"cg00005112",0.980276507066067,0.985626189196586,0.00197788177887731,0.985626189196586
"cg00005271",0.983898285147294,0.984126156492578,0.000461793010371692,0.984126156492578
"cg00006213",0.894644002105949,0.936844835312137,0.00132804716580814,0.936844835312137
"cg00008998",0.93798785540482,0.953531623911423,0.00174986253523224,0.953531623911423
"cg00009248",0.909189537022404,0.923067517184692,0.022201074612873,0.923067517184692
"cg00009319",0.913149440037409,0.915218030536988,0.0218110719189197,0.915218030536988
"cg00010445",0.981521160512118,0.978895941566994,0.0100285558224602,0.981521160512118
"cg00010903",0.99983831843478,0.999852663013504,0.000143407267609585,0.999852663013504
"cg00010926",0.71977265691866,0.987947877751643,0.00513005617053491,0.987947877751643
"cg00010977",0.634544995136826,0.522467681783002,0.00280316322873658,0.634544995136826
"cg00012521",0.873183238714324,0.939103506827142,0.00203337569418061,0.939103506827142
"cg00012879",0.941342923643454,0.961843546810907,0.0036717607139572,0.961843546810907
"cg00013189",0.512217123502349,0.68765065527011,0.00278635867087449,0.68765065527011
"cg00013247",0.999283189081976,0.999586233364726,0.000305843448427989,0.999586233364726
"cg00014011",0.852219264666473,0.92149524560671,0.0229679666097633,0.92149524560671
"cg00015001",0.585303590677044,0.633891960641315,0.00343685022931328,0.633891960641315
"cg00015319",0.976514747923179,0.97601824116745,0.00543584055249383,0.976514747923179
"cg00016215",0.739443201620284,0.79361924431654,0.00224212495073794,0.79361924431654
"cg00017571",0.907124598186551,0.915148675528824,0.000982278445729012,0.915148675528824
"cg00017737",0.550038539103797,0.583786433297518,0.00380430331376966,0.583786433297518
"cg00017842",0.992268597923537,0.996111651624699,0.0059519844887056,0.996111651624699
"cg00019068",0.871270688106848,0.876366177082223,0.00224366890328992,0.876366177082223
"cg00020468",0.904090641482967,0.908367239083429,0.00347834087685039,0.908367239083429
"cg00021588",0.996275897796631,0.996197492018881,0.000348391054501851,0.996275897796631
"cg00022035",0.911259961988544,0.915219694021646,0.00103345140250016,0.915219694021646
