CpG ID,Coefficient,Coefficient rounded,Symbol,strand,ENSEMBL,Gene Length,annotation,Chromatin State,PRC Binding Site,CpG Island,Human hg38,Mouse mm9
Regression Intercept,-0.460854474,-0.46,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
cg00038955,0.000824673,0.00082,VPS13B,+,ENSG00000132549,864321,3' UTR,TxWk2,None,TRUE,chr8:100520086,NA
cg00039845,0.037154325,0.037,IFT43,-,ENSG00000119650,98321,"Intron (uc001xse.3/112752, intron 3 of 3)",Tx5,None,TRUE,chr14:76501445,chr12:87456875
cg00214262,-0.004533319,-0.0045,RBM14-RBM4,-,ENSG00000248643,28051,"Exon (uc009yrj.3/100526737, exon 3 of 3)",TxEx4,None,FALSE,chr11:66410988,chr19:4787974
cg00331900,-0.390659149,-0.39,NAA25,+,ENSG00000111300,82143,Promoter (<=1kb),PromF4,None,FALSE,chr12:112546537,chr5:121848053
cg00401116,-0.002466531,-0.0025,NFIA,-,ENSG00000162599,385515,"Exon (uc001czy.3/4774, exon 10 of 11)",EnhWk2,None,TRUE,chr1:61892235,chr4:97748514
cg00597118,0.050562178,0.051,AZIN1,+,ENSG00000155096,37862,5' UTR,TxEx4,None,TRUE,chr8:103870375,chr15:38444361
cg00807226,0.0006605,0.00066,BICD1,+,ENSG00000151746,270957,"Exon (uc001rku.3/636, exon 9 of 10)",TxEnh5,None,TRUE,chr12:32520631,chr6:149498899
cg00862066,0.013959051,0.014,ADD1,+,ENSG00000087274,86219,"Exon (uc003gfo.3/118, exon 10 of 16)",TxEx2,None,TRUE,chr4:2906732,chr5:34959453
cg01161521,0.081504959,0.082,METAP2,+,ENSG00000111142,41792,"Exon (uc001tec.3/10988, exon 5 of 11)",TxEx2,None,TRUE,chr12:95887932,NA
cg01182628,-0.09654107,-0.097,MAML3,+,ENSG00000196782,437688,"Intron (uc011chd.1/55534, intron 1 of 3)",EnhA17,None,TRUE,chr4:141030964,chr3:51866182
cg01260478,0.041371411,0.041,CRNDE,-,ENSG00000245694,9914,Distal Intergenic,ReprPC4,None,TRUE,chr16:54737343,chr8:94696721
cg01266508,0.046607529,0.047,UNC5D,-,ENSG00000156687,559207,"Exon (uc003xjr.2/137970, exon 9 of 17)",Acet1,None,TRUE,chr8:35579849,NA
cg01308925,-0.029511361,-0.03,SLF2,-,ENSG00000119906,52566,Distal Intergenic,ReprPC5,None,TRUE,chr10:102637089,chr19:44968305
cg01344546,0.013171102,0.013,ACVR1,+,ENSG00000115170,139417,Distal Intergenic,Acet7,None,TRUE,chr2:158751675,chr2:58438799
cg01530159,-0.011654524,-0.012,SOX6,+,ENSG00000110693,436419,"Exon (uc001mmd.3/55553, exon 7 of 15)",EnhA19,None,TRUE,chr11:16133417,chr7:122741078
cg01546670,0.043236993,0.043,AP2A1,+,ENSG00000196961,36454,"Exon (uc002ppn.3/160, exon 4 of 24)","TxEx3,TxEx2",None,TRUE,chr19:50285850,chr7:52171341
cg01552040,-0.026136271,-0.026,LMO3,+,ENSG00000048540,57008,"Intron (uc001rdj.2/55885, intron 2 of 3)",EnhA19,None,TRUE,chr12:16726725,NA
cg01567668,-0.005619643,-0.0056,ACACA,+,ENSG00000278540,37790,"Intron (uc010wdb.2/31, intron 2 of 7)",EnhA17,None,TRUE,chr17:35474523,chr11:84190144
cg01658453,-0.044165298,-0.044,PAX2,-,ENSG00000075891,84231,Distal Intergenic,ReprPC1,PRC2,FALSE,chr10:102419558,chr19:44749554
cg01742897,-0.073239557,-0.073,TCF4,+,ENSG00000196628,413627,5' UTR,TSS2,None,FALSE,chr18:53257019,chr18:69504192
cg01746550,0.07007257,0.07,MIR4432,-,ENSG00000266078,84,Distal Intergenic,EnhA17,None,TRUE,chr2:60543791,NA
cg01786675,0.213443021,0.21,NBPF20,+,ENSG00000162825,2320934,"Exon (uc001enr.3/128077, exon 6 of 6)",TxEnh4,None,TRUE,chr1:145498701,chr3:96427752
cg02044006,0.30653724,0.31,TCERG1,+,ENSG00000113649,64197,"Exon (uc003lob.3/10915, exon 6 of 22)",TxEx1,None,TRUE,chr5:145847950,chr18:42694785
cg02144337,0.035323867,0.035,XPO7,+,ENSG00000130227,86917,"Exon (uc003xaa.4/23039, exon 26 of 28)",TxEx2,None,TRUE,chr8:21860740,chr14:71068554
cg02175911,-0.091890898,-0.092,SPTAN1,+,ENSG00000197694,81108,"Intron (uc004bvl.4/6709, intron 50 of 55)",TxEnh4,None,TRUE,chr9:131391426,chr2:29884186
cg02244090,-0.060247549,-0.06,SOX1,-,ENSG00000182968,4108,Distal Intergenic,BivProm2,PRC2,FALSE,chr13:112759585,chr8:12431383
cg02270531,-0.025977833,-0.026,FOXP4,-,ENSG00000137166,55959,"Intron (uc003oql.3/116113, intron 13 of 16)",TxWk2,None,FALSE,chr6:41561353,chr17:48009508
cg02387898,-0.092642414,-0.093,CAMTA1,-,ENSG00000171735,984383,"Exon (uc001aoh.3/23261, exon 3 of 4)",Tx8,None,TRUE,chr1:6885197,chr4:151204599
cg02398612,-0.033137712,-0.033,MED12L,-,ENSG00000144893,73136,5' UTR,TSS1,PRC2,FALSE,chr3:150804719,chr3:58810929
cg02399020,-0.061629358,-0.062,OLA1,-,ENSG00000138430,176191,"Intron (uc002uih.3/29789, intron 7 of 10)",EnhA19,None,TRUE,chr2:174986122,chr2:72978154
cg02438293,-0.13745638,-0.14,SOX5,-,ENSG00000134532,417407,"Intron (uc001rfw.3/6660, intron 6 of 14)",EnhA16,None,TRUE,chr12:23875903,chr6:143960997
cg02476808,-0.000281319,-0.00028,DAB2IP,+,ENSG00000136848,218411,"Exon (uc004bln.3/153090, exon 12 of 17)",TxEnh5,None,TRUE,chr9:124534958,chr2:35575445
cg02539177,0.062518274,0.063,YTHDF2,+,ENSG00000198492,33155,"Exon (uc021okf.1/51441, exon 5 of 6)",TxEx1,None,TRUE,chr1:29070132,NA
cg02574410,-0.768491173,-0.77,NUCKS1,-,ENSG00000069275,37426,Promoter (<=1kb),TSS1,None,FALSE,chr1:205719332,chr1:133807084
cg02635768,-0.036257738,-0.036,SSBP2,-,ENSG00000145687,333894,Promoter (<=1kb),PromF4,PRC1,FALSE,chr5:81046870,chr13:91600782
