CpG,mouse_median
cg00000165,0.48129717181013
cg00001209,0.896417374475365
cg00001364,0.876800415880115
cg00001582,0.0613826626300999
cg00002920,0.500592636307335
cg00003994,0.03675746334932
cg00004555,0.0954981740305936
cg00005112,0.827780407374216
cg00005271,0.966734221854203
cg00006213,0.867903487124974
cg00008998,0.502364232033422
cg00009248,0.888808825441628
cg00009319,0.410593659594605
cg00010445,0.766813021714102
cg00010903,0.55006653133323
cg00010926,0.936578678288943
cg00010977,0.944630890082668
cg00012521,0.588814781316165
cg00012879,0.539694695884791
cg00013189,0.0383560590363975
cg00013247,0.85224774951463
cg00014011,0.386132891214031
cg00015001,0.918453357159285
cg00015319,0.277304584939586
cg00016215,0.851344234492262
cg00017571,0.847713713779662
cg00017737,0.839595150391665
cg00017842,0.493657070414374
cg00019068,0.936777704223334
cg00020468,0.909282790749135
cg00021588,0.944054418635293
cg00022035,0.946085214578027
cg00023292,0.837824495932211
cg00024300,0.487740329760525
cg00027030,0.956439511071652
cg00027863,0.889403736996794
cg00027948,0.746403956039393
cg00029553,0.858956019660628
cg00029755,0.894163290553662
cg00031262,0.660950610726533
cg00031896,0.527711675258647
cg00032045,0.925563624391145
cg00032807,0.276560773131753
cg00032872,0.0546247585488025
cg00035308,0.945877286716754
cg00036621,0.881151519469841
cg00036705,0.966052910575888
cg00036709,0.0406185033357009
cg00036788,0.0789708562773408
cg00037013,0.337822796834904
cg00037518,0.500320226187237
cg00037619,0.685552582798114
cg00037952,0.0668763544046803
cg00038038,0.62926477572829
cg00038306,0.965670816053173
cg00038376,0.890194883382709
cg00038849,0.927149059195644
cg00038872,0.0571496555546698
cg00038955,0.518674042643579
cg00039469,0.794008566793775
cg00039845,0.902162779827741
cg00042664,0.940162022529539
cg00044472,0.303963600924603
cg00045146,0.255252630625562
cg00045149,0.0645654596759623
cg00046033,0.692180289624937
cg00046073,0.315132446580652
cg00046146,0.59676064575488
cg00046614,0.804657127215104
cg00046850,0.0142578891168629
cg00049527,0.927744161581256
cg00049667,0.120787818408787
cg00049718,0.013387632513492
cg00050268,0.95597423010367
cg00051709,0.74014137224148
cg00051782,0.0654622308050732
cg00054169,0.359899927056203
cg00054831,0.917393478975072
cg00055211,0.579333102425534
cg00055619,0.462330417558757
cg00056413,0.478793473952848
cg00056578,0.406077108577527
cg00056596,0.472198708007235
cg00057767,0.86269280078511
cg00058449,0.808107271569101
cg00059117,0.776585953424693
cg00059486,0.0398120519597707
cg00059897,0.897386234496205
cg00060304,0.158500521917764
cg00060633,0.909304746795369
cg00060978,0.910899946628733
cg00061093,0.10325771442803
cg00061684,0.315614090153918
cg00065957,0.348622827189687
cg00065997,0.872117520288728
cg00066554,0.89504569257488
cg00067370,0.871238934896047
cg00067520,0.960733505958525
cg00067701,0.471642712935112
cg00067884,0.91776930023109
cg00068326,0.943204290594763
cg00068760,0.0651388988050409
cg00069876,0.290434853366988
cg00071267,0.955203824620309
cg00071297,0.496071157367826
cg00072253,0.462199165876595
cg00072466,0.961878755023407
cg00072485,0.389315196332748
cg00073460,0.491653533243306
cg00073543,0.0554682465642386
cg00075117,0.0350111403371212
cg00075753,0.0637729737967693
cg00075967,0.49417382144835
cg00077617,0.114018498386129
cg00077667,0.936148955897394
cg00078463,0.86252759001716
cg00079056,0.506006090834131
cg00079224,0.896242546587458
cg00080164,0.548425241016818
cg00080475,0.815304454222314
cg00082691,0.495159977844345
cg00083068,0.747871060223962
cg00083847,0.135553487500023
cg00083937,0.499937986948838
cg00084503,0.685424487056125
cg00084577,0.8341800646679
cg00087116,0.0419274870897502
cg00087778,0.708314417001792
cg00090184,0.490039928677723
cg00090384,0.938497345308701
cg00090461,0.864576123947118
cg00091093,0.380579447327645
cg00091349,0.494844718222382
cg00091693,0.483708246565712
cg00091964,0.0349376646552504
cg00092013,0.958254464413632
cg00092621,0.780749682726791
cg00092936,0.943061544817863
cg00095474,0.902429890095665
cg00096766,0.832686923441853
cg00096813,0.794259808123656
cg00096922,0.0880143182189983
cg00098422,0.869112090418891
cg00100281,0.226919746185425
cg00101175,0.911737248488891
cg00101279,0.935227918289731
cg00101491,0.923845461242559
cg00101675,0.90774168299681
cg00102584,0.0619834858273146
cg00103299,0.49676257393746
cg00103439,0.837162832479747
cg00103598,0.186750262392563
cg00103762,0.960282073142454
cg00104779,0.679045070858585
cg00106630,0.958089451294817
cg00106809,0.686738336353815
cg00106940,0.0174160018246255
cg00107682,0.443612061545253
cg00109076,0.0150490757276114
cg00109300,0.0263317089469463
cg00109303,0.572621708691689
cg00109643,0.0555939379984734
cg00109797,0.0679043122035663
cg00110098,0.645928068554449
cg00110825,0.926574201335237
cg00111333,0.847065100363677
cg00112642,0.754940762984195
cg00113096,0.495421915977235
cg00113533,0.855465899061766
cg00113951,0.489334964414177
cg00114412,0.525915468514372
cg00114602,0.974152792339138
cg00115173,0.941474349080641
cg00115203,0.762287880637785
cg00115348,0.755129653822398
cg00116110,0.0890853966359732
cg00116234,0.047002769674537
cg00116289,0.921376149143769
cg00116653,0.614987192537785
cg00117744,0.328345797722019
cg00117839,0.495639303871118
cg00117955,0.944710952193227
cg00119476,0.870874017482862
cg00120227,0.936157550388979
cg00122272,0.0233722540960157
cg00122769,0.850528746793368
cg00122911,0.0655519920461892
cg00124810,0.626762978844613
cg00126993,0.437256082250484
cg00127523,0.810105706747812
cg00128439,0.909324964080827
cg00130134,0.891782622293361
cg00130771,0.800583215540568
cg00131490,0.139170307115662
cg00133237,0.920177885261791
cg00133606,0.928604836259442
cg00134217,0.737802134443607
cg00134706,0.943186198868565
cg00137175,0.453116853369108
cg00138195,0.0100139709891702
cg00139115,0.95393501347332
cg00140840,0.0425358002784554
cg00141625,0.847349386709676
cg00143077,0.591348657655213
cg00143530,0.938589435389916
cg00143792,0.986760715198155
cg00145315,0.0366632707195396
cg00146111,0.734618566535271
cg00146174,0.939943331777455
cg00146253,0.0277463479545568
cg00146676,0.096020467080549
cg00147440,0.838091965470317
cg00147638,0.478732414672477
cg00149071,0.0137204066471417
cg00149213,0.495777770642097
cg00149440,0.74130875402877
cg00149689,0.484705276011365
cg00152260,0.0681440145589362
cg00152482,0.783318260129412
cg00153046,0.89006305632643
cg00153387,0.827458429933288
cg00154486,0.495483368842099
cg00156720,0.484856751432621
cg00156769,0.951281425348277
cg00157812,0.0358934801060889
cg00158333,0.0431538990006343
cg00159243,0.248190558102597
cg00159476,0.841350995545732
cg00159753,0.923410248322511
cg00160892,0.158004994373005
cg00162326,0.935143342362122
cg00162625,0.494343267270794
cg00164295,0.488066416833881
cg00165325,0.165586725502592
cg00166579,0.0181741654179695
cg00166917,0.864096742691821
cg00167250,0.765914648240887
cg00167491,0.0543756813185136
cg00167853,0.513746955676747
cg00168042,0.472246199279788
cg00168721,0.773260297865682
cg00168727,0.459849680707622
cg00168942,0.496562870066333
cg00169860,0.920105986215323
cg00170518,0.814525253568318
cg00174373,0.0522337446767776
cg00174687,0.896629997049532
cg00175324,0.685073619826766
cg00176482,0.874197483730679
