,var,beta
1,(Intercept),2.473803839
172,cg00114412,-0.089232551
173,cg00114602,0.087751695
383,cg00264615,-0.084746322
414,cg00290109,0.083781747
422,cg00296110,-0.026107198
448,cg00310215,0.671288015
540,cg00393367,0.002763079
642,cg00471897,-0.143398077
754,cg00559067,0.194748518
782,cg00578937,-0.097644365
795,cg00587168,0.171686964
989,cg00742557,0.007435407
1120,cg00833227,0.137664905
1153,cg00855890,0.166595931
1191,cg00875779,-0.010186776
1239,cg00910419,-0.447589104
1243,cg00915004,0.43063236
1272,cg00935831,0.059612831
1290,cg00953859,0.479509435
1426,cg01053290,-0.42993997
1456,cg01079397.1,0.201391162
1457,cg01079397.2,-0.288680221
1544,cg01137681,0.165983171
1561,cg01153166,0.001648199
1810,cg01342051,0.044778177
2072,cg01528792,-0.473803342
2114,cg01566077,-1.144944662
2309,cg01701526,-0.030192965
2323,cg01712842,0.054581459
2632,cg01946401.1,-0.01867532
2647,cg01956458,-0.049282213
2722,cg02007453,-0.780579292
2772,cg02040024,0.336913979
2834,cg02073955,-0.733054526
3021,cg02200118,-0.439685459
3050,cg02215504,-0.089122725
3104,cg02255236,0.881244999
3160,cg02290121,0.025913523
3191,cg02314721,-0.262931741
3494,cg02532525,1.59907922
3560,cg02581097,-0.09377698
3671,cg02658193,0.052762429
3735,cg02705208,-0.003040974
3750,cg02714730,-0.205023435
3920,cg02845962,0.092185134
4019,cg02918319,-0.00524982
4191,cg03053914,-1.322578933
4369,cg03185194,0.108897491
4576,cg03342842,-0.033506418
4584,cg03350186,-0.044072497
4711,cg03458585,-0.03805202
4786,cg03513784,-0.002094526
4872,cg03566885,0.331526722
4877,cg03571891,0.073382379
5015,cg03669298,-0.285934497
5029,cg03676977,0.257773631
5074,cg03708116,0.053314777
5213,cg03815476,-0.193972677
5314,cg03894990,0.009925408
5598,cg04105754,0.469255397
5768,cg04231169,0.09642869
5820,cg04272551,-4.806220416
5996,cg04407088,-0.422062692
6007,cg04414148,-0.293792444
6045,cg04443475,-0.100816821
6147,cg04518473,0.085181298
6448,cg04723117,-0.641561319
6459,cg04734735,-0.001267443
6525,cg04794444,1.277666025
6547,cg04814124,0.004529666
6575,cg04833497,0.17117274
6625,cg04866128,0.313635138
6669,cg04902782,-0.05080012
6845,cg05039938,-0.075087647
7116,cg05212484,-0.217331871
7133,cg05222658,-0.058475615
7208,cg05284821,-0.105512437
7257,cg05314634,-0.140817164
7268,cg05320568,-0.036237918
7271,cg05322294,-0.031850044
7330,cg05371279,0.203704397
7375,cg05401971,0.04261969
7439,cg05450652,0.004720017
7447,cg05456580,0.426058672
7493,cg05486014,0.123329815
7554,cg05535461,0.313797193
7848,cg05761052,0.000427798
7930,cg05811474,0.056394776
7962,cg05844902,-0.35944385
8012,cg05874561,0.513161452
8016,cg05879032,0.083625001
8093,cg05934936,0.461311756
8152,cg05975184,0.012624511
8270,cg06060272,-0.137530563
8344,cg06116392,-0.031567854
8396,cg06156376,0.274610473
8453,cg06197482,-0.158313507
8689,cg06386724,-0.546331992
8696,cg06391468,-0.230340646
8771,cg06440786,-0.074480391
8802,cg06461219,-0.681045206
8833,cg06482098,-0.082180508
8845,cg06488465,0.127681516
8973,cg06571003,-0.46167354
8974,cg06571779,-0.078995353
9090,cg06649032,0.255197875
9122,cg06670018,0.805303211
9247,cg06757784,0.233221471
9480,cg06910273,0.010920588
9592,cg06997801,1.984324534
9627,cg07014363,0.163014973
9697,cg07056567,-0.49224524
9710,cg07069368,-0.025706276
9714,cg07071132,0.109789171
10021,cg07292994,-0.173642582
10022,cg07293124,0.02257122
10212,cg07445154,-0.001155588
10230,cg07459759,-0.013266983
10248,cg07476673,0.274327993
10265,cg07493901,-0.022598529
10292,cg07517669,0.132441117
10326,cg07547549,1.308543741
10335,cg07555170,0.025311404
10398,cg07600647,-0.855628152
10628,cg07774376,-0.677609658
10670,cg07800922,0.338179036
10859,cg07953353,0.056739109
10881,cg07965068,0.932571943
10909,cg07987507,0.25955778
10969,cg08030082,-0.056481143
11003,cg08058566,0.079598105
11029,cg08074329,2.586268455
11055,cg08107449,0.45105772
11180,cg08201223,0.114449405
11366,cg08340292,-0.028728892
11414,cg08376608,0.019465071
11416,cg08378313,-0.163894856
11447,cg08402704,0.252695083
11533,cg08472382,-0.057340758
11681,cg08574252,0.125496532
11895,cg08715005,0.094510406
12054,cg08846022,-0.263929072
12280,cg09004957,-0.147047224
12323,cg09031270,0.038709514
12593,cg09227056,1.027264173
12612,cg09244470,0.075196679
12626,cg09255391,-0.138705295
12705,cg09313705,-0.101001136
12910,cg09461098,-1.039040102
13165,cg09635425,0.02127436
13173,cg09642734,-0.431184754
13266,cg09705951,0.50263368
13276,cg09710440,2.169731177
13294,cg09722555,0.040781943
13340,cg09755893,0.032317511
13404,cg09807427,-0.216069557
13405,cg09809672,-0.224525178
13559,cg09931937,-0.732524066
13579,cg09955247,-0.143874577
13667,cg10022358,-0.031539874
13903,cg10213224,-0.161965955
14002,cg10278760,-1.006099238
14209,cg10451735,0.106928672
14251,cg10487127,0.215100607
14273,cg10501210,-0.045151119
14390,cg10586028,-0.064201166
14436,cg10609096,0.853105909
14486,cg10644072,-0.038535675
14530,cg10673821,1.670293523
14689,cg10792727,-0.597630182
14918,cg10976898,0.021295852
14975,cg11015311,-0.206761638
15065,cg11084334,1.042580602
15296,cg11235379,0.29455994
15513,cg11407867,-0.426296127
15528,cg11417778,0.633907859
15541,cg11422969,0.01027862
15568,cg11448454,-0.005796705
15627,cg11488183,-0.088648844
15801,cg11630337,0.101971269
15803,cg11632076,0.725919449
15897,cg11700079,0.144948832
15917,cg11716762,-0.170091049
15992,cg11777734,0.110008261
16003,cg11791324,0.118109633
16023,cg11803466,-0.974002457
16047,cg11817012,0.019854998
16064,cg11829696,0.144668273
16141,cg11887895,-0.000632235
16197,cg11927473,-0.318704598
16232,cg11958495,0.086515237
16287,cg11998710,-0.745466359
16376,cg12075801,-0.020593743
16450,cg12131127,0.190620257
16495,cg12166181,0.02804126
16596,cg12232760,-0.015289359
16633,cg12263847,0.000526508
16709,cg12307242,0.104652043
16741,cg12325485,-0.092015108
16759,cg12339478,-0.092339039
16809,cg12382554,-0.037436463
16872,cg12428891,0.687207751
16958,cg12483863,-0.126761117
17104,cg12600656,-0.969327142
17170,cg12651099,0.105584306
17247,cg12721805,0.056332366
17312,cg12774174,1.13639632
17407,cg12833353,0.031440433
17422,cg12841266,1.10650779
17469,cg12879445,0.368069816
17493,cg12898493,0.009408884
17528,cg12923877,0.365810665
17589,cg12958327,-0.286152132
17999,cg13249957,0.094839433
18070,cg13301933,-0.639812051
18088,cg13313332,-0.045271213
18245,cg13423078,-0.218620522
18483,cg13608832,-0.447125549
18504,cg13621099,0.02978325
18525,cg13636207,0.562577021
18687,cg13753818,-0.250568034
18712,cg13772153,0.006595048
18727,cg13780795,-0.136937617
18729,cg13782531,0.008340188
18751,cg13803050,-0.024122868
18797,cg13840252,0.38955185
18814,cg13851328,-0.005596583
18856,cg13884903,-0.004831725
19256,cg14172937,-0.003991185
19369,cg14258341,-0.171233446
19455,cg14322760,0.017810762
19504,cg14361875,-0.05778198
19690,cg14472711,-0.042066664
19922,cg14640670,-0.159555288
20229,cg14865782,-0.075364785
20308,cg14911328,-0.000240025
20523,cg15054687,-0.448130902
20689,cg15182157,-0.319454448
20801,cg15257614,-0.111740115
21020,cg15425194,0.623215902
21039,cg15436708,0.220213991
21044,cg15437942,0.6306038
21068,cg15451835,-0.104681976
21088,cg15471501,0.634152225
21109,cg15486794,-0.022605408
21211,cg15571248,-0.21841752
21416,cg15712548,0.003032078
21921,cg16095149,-0.002532682
22141,cg16255876,-0.088965776
22189,cg16287710,-0.397695726
22309,cg16384274,0.044592844
22317,cg16390944,0.279376824
22464,cg16513467,0.483417749
22487,cg16528216,-0.082078196
22596,cg16606638,-0.07143121
22719,cg16697952,1.658224957
22962,cg16867657,0.362990362
23087,cg16961544,-0.16131724
23157,cg17003896,-0.214093869
23192,cg17029750,-0.40540736
23437,cg17203937,0.109390698
23445,cg17206952,0.149830736
23456,cg17216365,0.299976845
23581,cg17314086,-0.451173288
23645,cg17357006,0.268703519
23719,cg17414768,-0.001842671
23755,cg17437489,-0.389846348
23925,cg17571329,0.044899726
24305,cg17854644,-0.018494201
24404,cg17927488,-0.466741144
24422,cg17942031,-0.002744463
24445,cg17958658,-0.624105275
24474,cg17979116,-0.096296485
24577,cg18060631,-0.187721392
24632,cg18111337,-0.077353543
24675,cg18141557,0.114393514
24846,cg18275891,0.065764279
24860,cg18284930,-0.076968351
25154,cg18480384,0.247601018
25186,cg18505571,-0.144435598
25549,cg18786067,-0.004224589
25689,cg18894136,-0.053469571
25786,cg18963985,-1.263295552
25793,cg18969723,-0.010075928
25826,cg18991750,-0.049962533
25935,cg19090691,-0.046778016
26283,cg19349548,0.01651518
26397,cg19437021,0.007281232
26788,cg19696052,-0.098583196
26813,cg19711579,1.650374825
26920,cg19789513,-0.081703084
26960,cg19820367,-0.234879756
26996,cg19839218,-8.48E-05
27177,cg19972243,0.019517447
27290,cg20059238,-0.79157417
27521,cg20221627,-0.423389294
27540,cg20237793,0.023254384
27580,cg20265593,0.127678816
27607,cg20284937,0.002119222
27686,cg20345626,-0.070951092
27720,cg20370622,0.001965909
27764,cg20397004,0.182635124
27781,cg20406361,-0.053937359
27868,cg20462091,-1.128297643
28019,cg20588435,0.020536256
28024,cg20591271,-0.742424287
28060,cg20615601,-0.672328786
28112,cg20657276,0.072447783
28152,cg20678942,-0.061735836
28171,cg20690148,0.076315579
28194,cg20710888,1.027957054
28245,cg20740669,0.181353561
28278,cg20766695,0.069384362
28320,cg20804050,-0.462050408
28499,cg20952375,-0.042215799
28506,cg20959523,-0.014832731
28778,cg21154081,-0.132370472
28815,cg21180487,0.149920126
29235,cg21482536,-0.252483061
29390,cg21599130,-0.01369272
29394,cg21602520,-0.051579915
29409,cg21611883,-0.130056434
29420,cg21617338,-0.078033902
29473,cg21652399,-0.145517889
29672,cg21799154,-0.512025011
29685,cg21808200,0.075352657
29702,cg21815808,-0.065522471
29737,cg21836538,-0.085276742
29837,cg21908378,-0.169859912
29906,cg21965982,-0.239278512
29952,cg22007666,-0.250313397
30031,cg22067905,0.609360931
30069,cg22100382,0.040916714
30142,cg22163848,-0.036333697
30168,cg22183370,0.099672219
30190,cg22199101,-0.007503158
30199,cg22204610,0.182788045
30222,cg22219469,0.165328037
30353,cg22324081,-0.104009976
30452,cg22391226,0.02159711
30530,cg22454306,-0.262286831
30531,cg22454769,0.099966515
30534,cg22457719,0.618744375
30614,cg22518437,-0.202610458
30746,cg22619012,-0.568694907
30812,cg22676465,0.535190475
30963,cg22792446,0.420168983
30973,cg22802229,-0.143373173
31059,cg22863320,-0.193668015
31156,cg22943590,-0.011294295
31328,cg23059642,0.229761339
31357,cg23087015,0.150768425
31489,cg23177112,0.05968448
31529,cg23200277,-0.063986464
31616,cg23262887,0.214146523
31681,cg23320654,0.091282642
31840,cg23440841,0.019351748
31858,cg23449696,0.035408178
32014,cg23567910,0.033056278
32169,cg23677945,0.044121019
32190,cg23692250,-0.083924106
32322,cg23789576,0.000507878
32374,cg23827201,0.020750697
32441,cg23869573,-0.523909143
32449,cg23873926,-0.120261672
32779,cg24148137,-0.00128571
32872,cg24231456,-1.126748093
32987,cg24312350,0.292708335
33004,cg24322955,-0.089602541
33049,cg24352905,1.083711154
33244,cg24504442,0.124242687
33472,cg24673572,-0.005823775
33636,cg24823649,-0.069683601
33699,cg24866418,0.201803623
33792,cg24941333,0.073789371
34035,cg25118671,-0.010279218
34267,cg25310556,-0.06193601
34459,cg25445920,0.73485085
34597,cg25540163,0.000465392
34620,cg25556035,0.236508467
34725,cg25622623,1.212536972
34825,cg25687751,-0.705145185
34941,cg25774993,0.170548093
35172,cg25950871,-0.484871081
35209,cg25979569,-0.020814017
35283,cg26041232,-0.058330899
35309,cg26056026,0.022778981
35346,cg26081366,-0.000167607
35398,cg26120306,-0.49816706
35513,cg26195623,0.110472304
35671,cg26301436,-0.118003642
35677,cg26304840,0.149512072
35775,cg26375896,-0.104505889
35796,cg26391562,-0.02174205
35876,cg26451479,-0.00620115
35921,cg26494183,-0.187224119
35949,cg26512254,1.182855082
36031,cg26581729,-0.021164075
36193,cg26702116,-0.016786199
36348,cg26813903,-0.272847819
36466,cg26920416,0.122455608
36467,cg26921187,-0.162624668
36496,cg26934211,0.005441948
36716,cg27096534,-0.024720758
