Probe_ID,M,U,col
cg00000165,NA,61688267,NA
cg00001209,NA,99653471,NA
cg00001364,NA,94653210,NA
cg00001582,NA,88781221,NA
cg00002920,NA,3643387,NA
cg00003994,NA,48737100,NA
cg00004555,NA,5682303,NA
cg00005112,NA,5780464,NA
cg00005271,NA,44726883,NA
cg00006213,NA,59624280,NA
cg00008998,NA,76742587,NA
cg00009248,NA,55645105,NA
cg00009319,NA,97715130,NA
cg00010445,NA,59653288,NA
cg00010903,NA,76745389,NA
cg00010926,NA,10697278,NA
cg00010977,NA,16769952,NA
cg00012521,NA,88676242,NA
cg00012879,NA,46732579,NA
cg00013189,99748589,76707585,G
cg00013247,NA,84754988,NA
cg00014011,NA,90753870,NA
cg00015001,NA,76775125,NA
cg00015319,NA,96681880,NA
cg00016215,NA,53617893,NA
cg00017571,NA,75694261,NA
cg00017737,NA,41710255,NA
cg00017842,NA,97772922,NA
cg00019068,NA,2632214,NA
cg00020468,NA,90778497,NA
cg00021588,NA,95619538,NA
cg00022035,NA,97694543,NA
cg00023292,NA,93710280,NA
cg00024300,NA,61652108,NA
cg00027030,NA,97764125,NA
cg00027863,NA,82706955,NA
cg00027948,NA,49776920,NA
cg00029553,NA,88637334,NA
cg00029755,NA,15672255,NA
cg00031262,NA,92737488,NA
cg00031896,67740140,71640234,R
cg00032045,NA,30779297,NA
cg00032807,NA,6685827,NA
cg00032872,NA,40668899,NA
cg00035308,NA,3675592,NA
cg00036621,NA,80653528,NA
cg00036705,NA,8772150,NA
cg00036709,NA,2740485,NA
cg00036788,NA,18706959,NA
cg00037013,NA,75785992,NA
cg00037518,NA,75670857,NA
cg00037619,80779901,43750955,R
cg00037952,NA,2753171,NA
cg00038038,NA,13769986,NA
cg00038306,NA,18643842,NA
cg00038376,NA,61707580,NA
cg00038849,NA,75741355,NA
cg00038872,NA,92691140,NA
cg00038955,NA,53758122,NA
cg00039469,NA,96704267,NA
cg00039845,NA,56715121,NA
cg00042664,NA,88781233,NA
cg00044472,NA,23653838,NA
cg00045146,NA,79723392,NA
cg00045149,NA,97632582,NA
cg00046033,NA,90714599,NA
cg00046073,NA,70704226,NA
cg00046146,NA,26746894,NA
cg00046614,NA,97762582,NA
cg00046850,27675150,51758894,G
cg00049527,NA,58661594,NA
cg00049667,NA,8804286,NA
cg00049718,30642842,96769355,G
cg00050268,NA,64632180,NA
cg00051709,NA,71611267,NA
cg00051782,NA,41630880,NA
cg00054169,NA,10765913,NA
cg00054831,NA,13740253,NA
cg00055211,NA,10717241,NA
cg00055619,21808875,62764176,R
cg00056413,NA,79723326,NA
cg00056578,NA,84787302,NA
cg00056596,NA,56773581,NA
cg00057767,NA,86725412,NA
cg00058449,69631244,90653880,R
cg00059117,NA,68637282,NA
cg00059486,51715830,97603952,G
cg00059897,NA,97704392,NA
cg00060304,NA,87616388,NA
cg00060633,NA,5780457,NA
cg00060978,NA,97800111,NA
cg00061093,NA,37777863,NA
cg00061684,NA,93810894,NA
cg00065957,NA,2784255,NA
cg00065997,NA,7804575,NA
cg00066554,NA,81724870,NA
cg00067370,NA,63800119,NA
cg00067520,NA,6623549,NA
cg00067701,NA,27614192,NA
cg00067884,NA,95657863,NA
cg00068326,NA,5653449,NA
cg00068760,NA,44601232,NA
cg00069876,NA,93790951,NA
cg00071267,NA,76783553,NA
